Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d20005487f3a4149da9d30b84bab351db96a8e5380482d29efc0f28dd20b1983,2014-11,Dorset Police,Dorset Police,-2.452577,50.608827,On or near ST ALBAN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
64d5d0dc2901cb66e09d9a141d43f166e826236e3a37097622089f3f9ec107ef,2014-11,Dorset Police,Dorset Police,-1.956759,50.608656,On or near INSTITUTE ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
fe66976850be4653997b4a79130f8fe89e32803dc80d484bfe02952886b09732,2014-11,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
57f6deb7121391ef4f2020b4f6ef72d007bbb77d4606ab0c1d1e768e1563bbaf,2014-11,Dorset Police,Dorset Police,-2.268356,50.669874,On or near Petrol Station,E01020490,Purbeck 004B,Investigation complete; no suspect identified
5c7967c7152861d8738623e4f00b33dc3170f77b405f61de0e02d736571a5987,2014-11,Dorset Police,Dorset Police,-2.830630,50.778490,On or near BLUNTSHAY LANE,E01020535,West Dorset 005D,Investigation complete; no suspect identified
c51de7709b1aa40a44dbc4a28e0fd306f1047b0d678373debb3acd0c43735a9f,2014-11,Dorset Police,Dorset Police,-2.303456,50.926939,On or near Parking Area,E01020458,North Dorset 004D,Investigation complete; no suspect identified
81e545e53d07a101d0e0f8ee30f3e5da8e1b0b66d9874ea220efd2a1db12378d,2014-11,Dorset Police,Dorset Police,-2.454616,50.607767,On or near ST EDMUND STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
670832becc55eb88205782a1778ee8565841a956dffc5f53774f5a71c595570c,2014-11,Dorset Police,Dorset Police,-2.136578,50.880988,On or near BERKELEY RISE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
40d7479c39933ffab98a6af6cebf0173b407c60636b4632a5fa67d2357f41f93,2014-11,Dorset Police,Dorset Police,-2.456302,50.605341,On or near ST LEONARD'S ROAD,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
42e14ff2524b81a7f551cd222d522fd88d2d91a8d1a45cacfd5696c9f578d441,2014-11,Dorset Police,Dorset Police,-1.961102,50.810507,On or near ROTARY CLOSE,E01020379,East Dorset 007B,Investigation complete; no suspect identified
44b0c2519e58af921a30a580fb821b3bdc4ecdf10d09324d33287ba853952cf1,2014-11,Dorset Police,Dorset Police,-2.041157,50.785219,On or near Sports/Recreation Area,E01020385,East Dorset 012D,Investigation complete; no suspect identified
c1c7000932b7fb5afeaee234c57419006054a1ce86e89b688487ec2e93640b9a,2014-11,Dorset Police,Dorset Police,-1.865996,50.819708,On or near COMPTON CRESCENT,E01020424,East Dorset 006D,Investigation complete; no suspect identified
72e67488209b897d6351d68c9bd10791658125ba6ae6d8886e128fdc48fbb194,2014-11,Dorset Police,Dorset Police,-2.469861,50.600395,On or near BELFIELD CLOSE,E01020583,Weymouth and Portland 006A,Investigation complete; no suspect identified
aa7f72c6a63cc4dbac58ce077187014570b8cfd82f00adb6fe58d31c421c0ffe,2014-11,Dorset Police,Dorset Police,-1.967241,50.738388,On or near KENYON ROAD,E01015449,Poole 011C,Investigation complete; no suspect identified
37606fd83f4e5150fe8f406fbc27a823c79c947ba2711d6e9488fb96537ed08a,2014-11,Dorset Police,Dorset Police,-1.997597,50.711451,On or near NORTON WAY,E01015423,Poole 016A,Investigation complete; no suspect identified
f039cf498899a944176f9114ce96cc7607424ed92520793de1b8384bee768a29,2014-11,Dorset Police,Dorset Police,-1.901278,50.723010,On or near LANDSEER ROAD,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
82852358f41fe52882eb294a480fe244b4b4a0b74c3940ea0e188769ff948589,2014-11,Dorset Police,Dorset Police,-1.945601,50.738264,On or near CYNTHIA ROAD,E01015443,Poole 008E,Investigation complete; no suspect identified
70b05ab3cb44dbb1956e3fcc9c4636b51cc4c16b9daa125dafb5b1502d90c1ae,2014-11,Dorset Police,Dorset Police,-1.939605,50.728755,On or near Bus/Coach Station,E01015460,Poole 013B,Investigation complete; no suspect identified
dd493f4c21b96264631ed304b3db37ffaba910bc0dfb8fde2d4bf5ba07611559,2014-11,Dorset Police,Dorset Police,-1.859712,50.727958,On or near CORPORATION ROAD,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
31e754571c6f4ac94969f031a1cc7baf38e5c214c4612b8f51b4d7c2ca93a6a3,2014-11,Dorset Police,Dorset Police,-1.933149,50.775594,On or near KNIGHTON LANE,E01015431,Poole 001A,Investigation complete; no suspect identified
dc0eb2e00b626ee7df0330fba41450da29fdf09d058e6326aefcd7143fcc551b,2014-11,Dorset Police,Dorset Police,-1.869187,50.734489,On or near CHARMINSTER ROAD,E01015326,Bournemouth 013A,Investigation complete; no suspect identified
1509ac8316d8753f6a65ce03962f168020d5743bb8043bfd090e88564e8d76f4,2014-11,Dorset Police,Dorset Police,-1.853786,50.729318,On or near SPRING ROAD,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
5689193bd7ae771cba2f53fb564811b8c170b22535b92ba832ed34118bbcbb57,2014-11,Dorset Police,Dorset Police,-1.892634,50.748892,On or near HIBBERD WAY,E01015358,Bournemouth 007E,Investigation complete; no suspect identified
0eaadcf9fc4903ad0869ab5015ead7a9e2c7811c00bb4cbe1ea6c33c7a91deef,2014-11,Dorset Police,Dorset Police,-1.858634,50.728542,On or near ELWYN ROAD,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
ffe3cd01e6a70755ec56c42a87ffbfe6cc1c4b0bf260c458e36c842e25800dfd,2014-11,Dorset Police,Dorset Police,-1.853786,50.729318,On or near SPRING ROAD,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
1dae5b88bab93b1d15d6a596e1cd061a3ef59111f4f04dd0b2912df1125a8202,2014-11,Dorset Police,Dorset Police,-2.007314,50.718933,On or near WOODLANDS CRESCENT,E01015425,Poole 016C,Investigation complete; no suspect identified
45cb18f8032037c72e86f03dfe857882fda323f9d659dc6828b41c11e378b835,2014-11,Dorset Police,Dorset Police,-1.883533,50.720557,On or near AVENUE LANE,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
4ebeaf07ccee35b005192a3ac9e884252ac6e4f0a73ea1c27f866945643dcc8b,2014-11,Dorset Police,Dorset Police,-1.867052,50.757867,On or near PRIORY VIEW PLACE,E01015325,Bournemouth 006D,Investigation complete; no suspect identified
937151200a9af6fb203b4d7b30290c1de57bf3c6c4ab94f843bd7b9e012fe766,2014-11,Dorset Police,Dorset Police,-2.016549,50.717133,On or near SOLOMON WAY,E01015428,Poole 014B,Investigation complete; no suspect identified
49f7e755f8728b077ba26254e7639b250c4128eea161113d6b07fba5b4025056,2014-11,Dorset Police,Dorset Police,-1.934178,50.729121,On or near SHELLEY ROAD,E01015390,Poole 010A,Investigation complete; no suspect identified
d1e121c5f6c4006882eb89d351b40f6c69da36ecfc3dc751a2d3b167fac62cc5,2014-11,Dorset Police,Dorset Police,-1.984492,50.723608,On or near STERTE ROAD,E01015465,Poole 015A,Investigation complete; no suspect identified
1c2da21011fb39506ea7cc4a7e936d4b85612ad5b84f137ef1c810f2b32e6e02,2014-11,Dorset Police,Dorset Police,-1.921975,50.740085,On or near SHILLINGSTONE GARDENS,E01015382,Poole 007C,Investigation complete; no suspect identified
14a3e86f95e32c1743cf0fef59af0268c9fecabefd789f414fb5dc5fb4097879,2014-11,Dorset Police,Dorset Police,-1.912296,50.762703,On or near POOLE LANE,E01015304,Bournemouth 002B,Investigation complete; no suspect identified
f6077f4abde1468bb5e9b043d710162efa23b4a0a7285b7adfded7c6155c6d8c,2014-11,Dorset Police,Dorset Police,-1.835674,50.750723,On or near HASTINGS ROAD,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
c8d251aeb09f1018ebb0d7b02b5af0ebec3ca1a86d33d12293ec9df5de9040df,2014-11,Dorset Police,Dorset Police,-1.855712,50.729617,On or near STANLEY ROAD,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
8853a40894ac8cae7d4961675a6db0b358d8748a27bf54730f49ed21fab24932,2014-11,Dorset Police,Dorset Police,-1.874884,50.718264,On or near Parking Area,E01015285,Bournemouth 021A,Investigation complete; no suspect identified
830ad97421d731de39ff72bc1970605d4a7c01419cbb7ce21a9a43cb0f69033c,2014-11,Dorset Police,Dorset Police,-2.015234,50.722979,On or near ALMER ROAD,E01015428,Poole 014B,Investigation complete; no suspect identified
845332c10db669770cff8920afe482a048d45c439f5d3a2a4ad5132b491c4678,2014-11,Dorset Police,Dorset Police,-2.015234,50.722979,On or near ALMER ROAD,E01015428,Poole 014B,Investigation complete; no suspect identified
377811686e1b7ad1ec51b636b3ffe721c8f2fdd530c2855233dd413ce81b64b6,2014-11,Dorset Police,Dorset Police,-1.915938,50.724289,On or near WILDERTON ROAD WEST,E01015402,Poole 018A,Investigation complete; no suspect identified
b1ae47062f769faa21fd145b06eb4fd7ab998f7ebc9f1e21e906800cf1b94830,2014-11,Dorset Police,Dorset Police,-1.939407,50.728638,On or near Supermarket,E01015460,Poole 013B,Investigation complete; no suspect identified
ca260708661e74a09258b8dc0dff7031b1446216d81d268c5707f445a0ba0d22,2014-11,Dorset Police,Dorset Police,-2.010217,50.713897,On or near ROCKLEY ROAD,E01015426,Poole 016D,Investigation complete; no suspect identified
12fae869f73116aec826ace5dedb1a720e682a320664962e7dc08afd056aed05,2014-11,Dorset Police,Dorset Police,-1.858946,50.737921,On or near RICHMOND WOOD ROAD,E01015330,Bournemouth 010B,Investigation complete; no suspect identified
90498f4c5af2c3acfc25d1298b523d36119631d837d94f195c2528921904461d,2014-11,Dorset Police,Dorset Police,-1.913370,50.749395,On or near WALLISCOTT ROAD,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
ecf3f08b814f58b5d57bc029e83d59f643c761ffa60ef05f7534597c37627013,2014-11,Dorset Police,Dorset Police,-1.899079,50.770678,On or near WEYMAN'S AVENUE,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
43c586ad546411b3deefa8b7ae1a1840434b59ff1190918bd550479924589b70,2014-11,Dorset Police,Dorset Police,-1.855467,50.730867,On or near STEWART CLOSE,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
25339cd5524b3382ea3a708daf17b88f87115e91e7d52164781a24ce6d2c3adb,2014-11,Dorset Police,Dorset Police,-1.897709,50.741784,On or near Further/Higher Educational Building,E01015388,Poole 009C,Investigation complete; no suspect identified
86217349db8db0e2135f90acc454a56ddc0397ccdc4d7531ef1783ee49354cea,2014-11,Dorset Police,Dorset Police,-1.924813,50.737865,On or near NEWLYN WAY,E01015385,Poole 007F,Investigation complete; no suspect identified
