Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
020b12dce767b46cca4061ed30e77f95973ce1322cb847090d4bb6b503c4d4a5,2014-05,Dorset Police,Dorset Police,-1.872834,50.727056,On or near CAVENDISH ROAD,E01015286,Bournemouth 017C,Investigation complete; no suspect identified
c093ba3567e244ddc8c0a39438cc6e26511a49cd76a47d6e46662acdb87d892e,2014-05,Dorset Police,Dorset Police,-2.008942,50.715389,On or near LEGION CLOSE,E01015426,Poole 016D,Investigation complete; no suspect identified
2ed76e4647d27c9d3502f6032530d7396cf0951f49a1d6b57ef01e84f993fccc,2014-05,Dorset Police,Dorset Police,-1.834145,50.726108,On or near CRABTON CLOSE ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
2c014a75d8032b739bcf7273dc54d0254d23b41d81a5301645db041cb721b869,2014-05,Dorset Police,Dorset Police,-1.843555,50.751076,On or near CASTLE LANE WEST,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
dad137644982b2c3b4b60541acf9279eb04c0e37ac48526b4996ed79d47126f5,2014-05,Dorset Police,Dorset Police,-1.873669,50.722309,On or near Nightclub,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
572a6864a8fab2aea20be463ed65f37fc82e421324fbb8793a8c606b658c7d42,2014-05,Dorset Police,Dorset Police,-1.791573,50.729008,On or near RIVERSIDE LANE,E01015299,Bournemouth 020D,Investigation complete; no suspect identified
f77bcbadfce84d906eb2c7e7102c40946d69382eb86d9f8642f97136423a79cb,2014-05,Dorset Police,Dorset Police,-1.853866,50.726351,On or near CARLTON ROAD,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
30f42e1e048e288072fb0f6a3db7c6bbeb34330cd0af91fa70de2c7ba44b233e,2014-05,Dorset Police,Dorset Police,-1.940090,50.748665,On or near Hospital,E01015380,Poole 007A,Investigation complete; no suspect identified
2c6ce9ac7b1a9ab037a97e223a2f723e516159e676aba3fd51d70b1512c19f26,2014-05,Dorset Police,Dorset Police,-1.980302,50.716404,On or near Parking Area,E01032660,Poole 015G,Investigation complete; no suspect identified
afc7e8bfb7204c93195ac8da3fab467d030d4e1575edbfcb426f2bf20e946167,2014-05,Dorset Police,Dorset Police,-1.846695,50.731278,On or near WINDHAM ROAD,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
a515d50f2b6f0601fd68761f8f1cf8d7e8dbbb88681f6ef087aed1e3c338afa9,2014-05,Dorset Police,Dorset Police,-1.898077,50.768141,On or near WIMBORNE ROAD,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
39a0417b10363ee7a76b2054956bc03e5f9af5f053a200c32ba767d1d3e789ac,2014-05,Dorset Police,Dorset Police,-1.862599,50.733933,On or near ST LEONARD'S ROAD,E01015326,Bournemouth 013A,Investigation complete; no suspect identified
4dcd54ccea39b3ebe026c2d934bddd6ec633121d46eaca5356134110d5008bee,2014-05,Dorset Police,Dorset Police,-1.841158,50.726154,On or near CHRISTCHURCH ROAD,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
618b3040fbd663e12d67b86d81df34ebf5f78dde36333a339095dce86c47fa69,2014-05,Dorset Police,Dorset Police,-1.983829,50.714597,On or near LAGLAND STREET,E01032659,Poole 015F,Investigation complete; no suspect identified
5223a2e314fcbc9f42bedffdb7238c6076446ca5fdc109d4242e9b094e09326b,2014-05,Dorset Police,Dorset Police,-1.899550,50.769096,On or near Supermarket,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
b8acfc316aa71999cff2b769509840e70dafdff971fb9f50285f741090a648d0,2014-05,Dorset Police,Dorset Police,-1.834884,50.741829,On or near SOVEREIGN CLOSE,E01015315,Bournemouth 011B,Investigation complete; no suspect identified
02649838ea5ca2b958fb72754c9f35ec2e3269306e5423ceffabea8d87e3aea2,2014-05,Dorset Police,Dorset Police,-1.863758,50.759635,On or near TINCLETON GARDENS,E01015350,Bournemouth 006E,Investigation complete; no suspect identified
cd88fa9d50ae809f7fe17885e8ffeda3b4a6e5a674cc4874963b23e172025012,2014-05,Dorset Police,Dorset Police,-1.925955,50.705726,On or near THE GLEN,E01015404,Poole 018C,Investigation complete; no suspect identified
10f3f0b6709f78ce4e797b32770ab4d8d22136d1a1959de2cbd614f9190f220b,2014-05,Dorset Police,Dorset Police,-1.868523,50.738706,On or near FITZHARRIS AVENUE,E01015376,Bournemouth 013D,Investigation complete; no suspect identified
b89e6143e45d03f8c84f77f5a4886e38159b7d213cb76b964ba18b508184cd2b,2014-05,Dorset Police,Dorset Police,-1.845040,50.725997,On or near AYLESBURY ROAD,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
93deb8a6e5aac4d50cebe1dd8436b40dc052a234cbb1058d5ce80f3f7def0d82,2014-05,Dorset Police,Dorset Police,-1.963405,50.750671,On or near YEATMINSTER ROAD,E01015415,Poole 004D,Investigation complete; no suspect identified
7d50692bb51a568e80c63a16f4a903bf2618751aec3ae3afbe21fae166e8faef,2014-05,Dorset Police,Dorset Police,-1.849221,50.730095,On or near AUSTIN CLOSE,E01015293,Bournemouth 015B,Investigation complete; no suspect identified
