Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9044dcaa98372a8036a41051afcb36c2b84276ed4658f86a894fc4479a8cec7,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.300480,52.889877,On or near HEATH LANE,E01026766,North Norfolk 005B,Suspect charged
404baef0951dda07a901fe099d0b8e5a05a44cab6315bda761ab1172a8b1f9ba,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.412315,52.714610,On or near WATERING LANE,E01026724,King's Lynn and West Norfolk 014E,Offender given a caution
002a529d40b11ba3393ab5a1764619181c2dc120de7d72ae045c24db4f70a946,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.736086,52.607937,On or near Nightclub,E01026623,Great Yarmouth 006B,Offender given a caution
64afee7b7c56723aa7d2882c739de922e65c2abeddac031e17385bc9d0ea2aa3,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.302641,52.628968,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,Suspect charged
32ed4ef0babddb7bd34e04cd975c17e998e608929540f646924160fa197c3830,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.385309,52.821761,On or near MARKET STREET,E01026760,North Norfolk 010H,Suspect charged
3457e49d4260bd75fc566bb5816f5d5be4c9c260b5faf23f7c971ab47a1ed981,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.310364,52.636505,On or near HEATHGATE,E01026848,Norwich 015A,Suspect charged
1bb7ea7f5c924024bf94bb1ad669f27718e2f1b96dfcffa9bc5f60fce33253ad,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.737125,52.412626,On or near PRIOR STEPHEN WAY,E01026474,Breckland 017A,Suspect charged
ca786632863a2d153bbfa26d9f5490c6658e44443aa63bae2115bda355c05162,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.292417,52.627050,On or near WILLIAM BOOTH STREET,E01026822,Norwich 007A,Offender given a caution
f5adefd1444fb10b918992fd8aede410ea18029a32c1873d393cd8d0073b88b8,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.288546,52.631007,On or near THREE KING LANE,E01026823,Norwich 007B,Suspect charged
d3444779a946944c9cc2605b7f878fd838133b8a039be8f31627b26da30f5fe6,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.434974,52.782187,On or near LITTLE WALSINGHAM CLOSE,E01026708,King's Lynn and West Norfolk 005C,Offender given a caution
e93ac427d3fa9a03db32fded0fb681f39cbd318780aaa6491e26088a205d984e,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.294860,52.625929,On or near WESTLEGATE,E01026822,Norwich 007A,Suspect charged
ea63ede8b6922bc4880496a2f4bf33e706d39a41a54a98df471df82968350062,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.296103,52.625760,On or near ALL SAINTS STREET,E01026822,Norwich 007A,Suspect charged
79496b2ec32af84bb900613b1c5b41ecc65f9696cba049c96f3cf704e0b99b6d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.293246,52.626082,On or near Shopping Area,E01026822,Norwich 007A,Suspect charged
035868f4ea13184288c7ded606f9906fc684e8c146eb68d2de488145ca64e5e6,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.308681,52.630661,On or near LOLLARDS ROAD,E01033438,Norwich 014A,Suspect charged
9e9d904b2428de4d788fb48dacbe02f11ee9d426aee272825a69b41aa133db9d,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.749413,52.416298,On or near Supermarket,E01026469,Breckland 016B,Suspect charged
8c67f8631ede189447a7f8976b2b894cdcc8c8662a83fa82ce2d406e2fecce1f,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.306744,52.915891,On or near STEVENS ROAD,E01026762,North Norfolk 005A,Suspect charged
54a0e03ead7b96bf77f5c6beba4aa1983ad99b0f4ef4d47aa07eda746a535bc1,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.740237,52.414191,On or near CANON'S CLOSE,E01026474,Breckland 017A,Suspect charged
61dc61075f74ba2510e3014aa91075ebf16a0b7a772c1e6b2dd937f3d8e6b20a,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.243665,52.642120,On or near WHITE ROSE CLOSE,E01026864,Norwich 006B,Offender given a caution
e44b128bc29b4e39e9a4cb9e6ae5ed318b0d6e8c715972ae902709411c213395,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.255743,52.633343,On or near IVY ROAD,E01026865,Norwich 006C,Suspect charged
4d9bed5e5ff8c13c58bb2588e7c8d6bdca6b2c74293366142dd2f8de7bf99ba7,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.957558,52.671843,On or near HURN ROAD,E01026427,Breckland 005C,Suspect charged
0cb1d1a77975c26016a8aab573c788e2dae4eb935290a0812e8122ab4554ac23,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.412142,52.765381,On or near LE STRANGE AVENUE,E01026690,King's Lynn and West Norfolk 007D,Suspect charged
0aa4831cc5e5b4c515ab57931b6de23d0dc94983f9fa4b8509abf09e75b45294,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.654128,52.566433,On or near Supermarket,E01026616,Great Yarmouth 012D,Suspect charged
dd81106bd357b83288b02fe208de8d357826a228cafc39ecdc891b6fbb2bc3a1,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.385309,52.821761,On or near MARKET STREET,E01026760,North Norfolk 010H,Suspect charged
3e198dcee6659357c04e33cb702618daf9c23eebd9e035003e472ab5d313115e,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.125584,52.497374,On or near GREENWAYS,E01026878,South Norfolk 011B,Suspect charged
c7d433c56b41a4c206d71ce00cefde695915b28f511782606a428d63da4c041a,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.480234,52.930124,On or near SOUTH BEACH ROAD,E01026683,King's Lynn and West Norfolk 001D,Suspect charged
a6dc1b550a597953a2dc359728f7e2e94359e237a5bcd6555d4aead9bc9afb9b,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.107533,52.377410,On or near ST NICHOLAS STREET,E01026891,South Norfolk 015D,Offender given penalty notice
16a3f92f312ea0e52fe2d36b90d094bfaeb21fd14abca7a93c86bf0ef51b4d18,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.333997,52.647111,On or near BARNES CLOSE,E01026805,Norwich 004C,Suspect charged
8b6bc33fdfcd499d9b1fd4763873f0a2c75c1eab4c7a0f39177d96fbdfbabc9f,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.405523,52.756371,On or near DODMANS CLOSE,E01026698,King's Lynn and West Norfolk 011A,Suspect charged
fa658082f0d88e62da51eada6c80158bcc1fd78fe61fa5b26300a146bb8ef67f,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.183178,52.664851,On or near SISKIN CLOSE,E01033538,South Norfolk 001G,Suspect charged
6d5de7988f705a1168771c3ba042dddbe90961f7ce0a2c314d9f538978e12ffa,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.288773,52.609613,On or near HALL ROAD,E01026820,Norwich 013E,Suspect charged
db460b0a7d95e66cdde3bbb11701ece7943ffe93f31461823781583539413ff8,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.330917,52.643555,On or near PORSON ROAD,E01026805,Norwich 004C,Local resolution
b4f19bd55a2e52e99ee630e961e62e28c3a609ca825adfd67da253669cc17b0a,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.404740,52.751576,On or near Sports/Recreation Area,E01026699,King's Lynn and West Norfolk 011B,Offender given a drugs possession warning
c0504cf4cf721c15e0025f82721de368d19905c5f845928176ab4b0c3c363a01,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.301488,52.633677,On or near ST MARTIN-AT-PALACE PLAIN,E01033438,Norwich 014A,Suspect charged
2d63a3e638793eff6f104a5dc7a1a73a099d2efe227b3e9b132cd14d7731ade8,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.292417,52.627050,On or near WILLIAM BOOTH STREET,E01026822,Norwich 007A,Suspect charged
5927b38b0eaac79aaaf265f252569732055d863281b0d5e664d71e27836ae335,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.294439,52.629377,On or near Shopping Area,E01026823,Norwich 007B,Suspect charged
0ab25741e56768dcb38e6c5dd4e4e3d3d92b2d9542c3cc6dafa2168aa8b6bb67,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.324882,52.633391,On or near NEWBEGIN CLOSE,E01026808,Norwich 004F,Offender given a caution
c51ca1ef8d8b14ce0f7db3dbb0918ce2182a230c5eb8e840c3ba0d0ed4a04ce2,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.397961,52.753890,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Suspect charged
6136a86b4c52d99b9ab5c640e8fe37fc9d8ab31b0bd46940f4cd8a0be72eddab,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.293790,52.626634,On or near Shopping Area,E01026822,Norwich 007A,Suspect charged
16feabc7f1c971d99a8ba03356b55f269973aa19715eaea8ce4a6c5e449a78d7,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.235759,52.638568,On or near WILKINS COURT,E01026793,Norwich 005C,Offender given a caution
65b340981e5e747780cc9cb79ecfac44c99a1ac9c09fc8061c3537d3b66ce085,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.301283,52.629186,On or near Nightclub,E01033438,Norwich 014A,Suspect charged
635328ee4219ecc98c1cc45d94eaa70eb1cf9b6485025f9c6976eb6e0d1e68ca,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.957558,52.671843,On or near HURN ROAD,E01026427,Breckland 005C,Offender given a caution
d61337159be875cf78743372fb850b9541bdbb9959fc54fc7211717f33f5dfd2,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.298723,52.930935,On or near CHAPEL STREET,E01026734,North Norfolk 003A,Suspect charged
1ae024a0fd1aeb0f5301aa9ef6614bee2304c2c388837c8d54c98a779e80e58d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.351634,52.627159,On or near THORPE MEWS,E01026577,Broadland 016D,Offender given a caution
1e65d63b0f47d15e34d5c00595bfed60bc6ce0b1b5b3932207b819b38f582d3f,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.305337,52.632571,On or near BISHOPGATE,E01033438,Norwich 014A,Suspect charged
c3d532f37579b311d7af25f7efd9a86387bd8b955e1fc7724b959771bf15c428,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.345622,52.644049,On or near ARMSTRONG ROAD,E01026569,Broadland 015A,Suspect charged
1e8b86a4a41dedcf8f46fdabc3a31bfd9ab64c1154c1480dc5dee134b8978184,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.749413,52.416298,On or near Supermarket,E01026469,Breckland 016B,Suspect charged
adf990698b210144208694cf92fc0ac13a5ce626ee06bae4cd75ce53e80efa94,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.405523,52.756371,On or near DODMANS CLOSE,E01026698,King's Lynn and West Norfolk 011A,Offender given a caution
f2135c2560b9432ba652b95cf7670f23c20cbaf829e9e09219d6a2159a4e5084,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.310667,52.628187,On or near ELLA ROAD,E01033439,Norwich 014B,Suspect charged
5d334c919efcec3c0fe7c8b5953191e340a8d672ec486ebb6ce15b588e3e03e2,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.291457,52.620961,On or near Supermarket,E01026855,Norwich 011D,Suspect charged
c9329b33801cb83f8fec5010e5fa449d087f2f465b21b80d6168017783e4837a,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.798422,52.791325,On or near A1065,E01026780,North Norfolk 009A,Suspect charged
780e5c31375144b7eebbd320d16051e376fc5e590a69063c0d154e51e2811c3f,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.279150,52.637590,On or near GOODMAN SQUARE,E01026827,Norwich 007F,Offender given a caution
45f2f2ca3a40c95cb0f8dd3f3805dd98215346255d360511574a84a0ba00249d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.295167,52.636309,On or near Supermarket,E01026826,Norwich 007E,Offender given a caution
e588342388a37bf3e9dd44b9a96b56769c190f1cad3796295fe188d8f7429345,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.179502,52.528592,On or near B1113,E01026897,South Norfolk 011C,Offender given a caution
