Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
53fb7530fd7285e45992e312f5e3fcd16c0fa3d9b9cdbe5d2b0ce26a5ee8cc85,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.189617,52.064890,On or near NORBURY ROAD,E01029999,Ipswich 004C,Investigation complete; no suspect identified
d7b330bfeff8f814988e8fcf64ed952e80d90ebd72f6f21adf6fd9e6ea9ae67f,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.580395,52.081278,On or near COMMON STREET,E01030101,St Edmundsbury 010B,Investigation complete; no suspect identified
ee2108a986b8a47302c49ad48d0ff0e68285bcaf37e5c9e8df0067b1af56c86b,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.671478,52.340001,On or near FAIRFIELD ROAD,E01030283,Waveney 014B,Investigation complete; no suspect identified
dd9359e91f8a30dc1fd26ab99ca918a310aba13840ad4b938377f63b81a9958c,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.404373,52.244355,On or near WELLINGTON STREET,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
2ed2820d729c0dc763d13b00e37b6f8454e10a5525bb957bf785df756442b7b7,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.136284,52.039538,On or near WALTHAM CLOSE,E01030019,Ipswich 015C,Investigation complete; no suspect identified
a5b53886c595993305d9288761aa63e5af020928ba7bed1f8f1688c0edc69e05,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.709183,52.232022,On or near Park/Open Space,E01030142,St Edmundsbury 009B,Investigation complete; no suspect identified
59243c25ce34120477f898e5614084addeaf2dd35f4cf77e167e7a58e52d8089,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.715574,52.250580,On or near CADNEY LANE,E01033049,St Edmundsbury 009G,Investigation complete; no suspect identified
447b30267ad2b1cdae7e637d19ff89119e8bd0cfd4c2a10b3eebc887ff851a54,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.479034,52.333256,On or near THE MEADOWS,E01029945,Forest Heath 003E,Investigation complete; no suspect identified
314b8636cb1fb2d1c5d3291ca49a82eb7cf7a5e9e220b72dc6e9c938c8c22a56,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.605116,52.402554,On or near THE RUN,E01030286,Waveney 011B,Investigation complete; no suspect identified
e4fce92cda0bb8597fb4752a18f20e5abc09ad2abd235b99064fb115126e308e,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.077214,52.034388,On or near DALES VIEW,E01029879,Babergh 005C,Investigation complete; no suspect identified
ec2a3e002d948693b8ae0bf8f800cd25b558cdb61a8bafb59aa616aecd02b426,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.692557,52.233437,On or near FOUNTAINS ROAD,E01030149,St Edmundsbury 007F,Investigation complete; no suspect identified
2fdca9a39984c8a8c8c3fdf19226dcee3cac29402fc9d4b1ca5552e5f7f9b3da,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.522877,52.351004,On or near YEW TREE CLOSE,E01029946,Forest Heath 004D,Investigation complete; no suspect identified
