Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ef0870d95ae4b0edfd03dae46d262b6bd68b7c694aa27a0ff402dd6145a678e2,2014-03,Dorset Police,Dorset Police,-2.930560,50.736647,On or near TIMBER HILL,E01020533,West Dorset 005C,Investigation complete; no suspect identified
ec1feb7168a247fcecced62fff43b6850a56c01a081a235ebd0e2b0d100b21a1,2014-03,Dorset Police,Dorset Police,-2.521432,50.948110,On or near CULVERS CLOSE,E01032642,West Dorset 001H,Investigation complete; no suspect identified
d70aef9e5af7a5feafcdec79f15f60426525e2d656301e5dad2d64c95e3bc851,2014-03,Dorset Police,Dorset Police,-2.741442,50.809766,On or near HOGSHILL STREET,E01020496,West Dorset 003C,Investigation complete; no suspect identified
76a54ff6ad7ab8fe5de25deda501bf9f7f532e57d5c0d3f6fd69a006f37ab583,2014-03,Dorset Police,Dorset Police,-2.465779,50.611922,On or near HOLLY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
267945a6d52d2bb7a1556f70196c1d72726044240368e10e98def45206e5091a,2014-03,Dorset Police,Dorset Police,-2.197300,51.004870,On or near GOLD HILL,E01020457,North Dorset 003D,Investigation complete; no suspect identified
8bab05cebe30470fd0b340dd4f0d69722b341068c79b12e5178ad7e2078a233e,2014-03,Dorset Police,Dorset Police,-2.113279,50.687277,On or near ROPER'S LANE,E01020486,Purbeck 003D,Investigation complete; no suspect identified
7e0e139cb3ad1fed1ac6363b3bee2e0a8bb80caaf079e655841ac95cefaeb8fe,2014-03,Dorset Police,Dorset Police,-2.479987,50.613753,On or near HEREFORD ROAD,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
d5b9792541c5d1648712f66fb826868c1d746258118837bc18ff27025fe4e817,2014-03,Dorset Police,Dorset Police,-2.013322,50.774911,On or near WARLAND WAY,E01020384,East Dorset 012C,Investigation complete; no suspect identified
a531352b66b47724b493ef9522760a9359e8fc39950121d440b44640870ffe84,2014-03,Dorset Police,Dorset Police,-1.892334,50.792920,On or near Supermarket,E01020402,East Dorset 011E,Investigation complete; no suspect identified
728efabfd74e8b20f88021652dbba540d4f944f4754750bf2222afbf8ede08a9,2014-03,Dorset Police,Dorset Police,-1.805819,50.761810,On or near HESTAN CLOSE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
e09045c2e82fffa59e58c4c4215cdce7ec041f34d1370226817ffd3ffc080cbc,2014-03,Dorset Police,Dorset Police,-1.966115,50.607778,On or near COWLEASE,E01020482,Purbeck 006E,Investigation complete; no suspect identified
b67e2b28fdacc9c91d74ecf79d362c4a2234ef867edc2c2e003c0d912ae38d5e,2014-03,Dorset Police,Dorset Police,-1.966115,50.607778,On or near COWLEASE,E01020482,Purbeck 006E,Investigation complete; no suspect identified
e8cb4a8e0635e2967e8064537ea6e1903e509d38a5d96b50a0e31576bb5c51e3,2014-03,Dorset Police,Dorset Police,-1.959656,50.609052,On or near ELDON TERRACE,E01020482,Purbeck 006E,Investigation complete; no suspect identified
08ca8212b31bc55b122c5b1e251a3e2d24c5b2ea637f73e1dfe4d3a1ce5afe38,2014-03,Dorset Police,Dorset Police,-2.090942,50.716775,On or near SANDFORD DRIVE,E01020476,Purbeck 003A,Investigation complete; no suspect identified
b262b93e90b48de9a944780b490db82476d51028e20ec383f99af6d1b2d00473,2014-03,Dorset Police,Dorset Police,-1.962631,50.832971,On or near HOLT LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
294b22398d4ad083d8cdb2ef019f6fe3920ba2de96f9ef747a84a44a9b5ee0a4,2014-03,Dorset Police,Dorset Police,-1.951825,50.804910,On or near CUTLERS PLACE,E01020377,East Dorset 007A,Investigation complete; no suspect identified
c00b11c1d922af3f05c9040dfd9a401a06a41df4a074ae4a12863a7760f29ee2,2014-03,Dorset Police,Dorset Police,-2.137189,50.682485,On or near A352,E01020467,Purbeck 005B,Investigation complete; no suspect identified
ebfe774ab4a434fa1d95bce1fd32c29b330ff760331c12177c8dddb2b8c0e12b,2014-03,Dorset Police,Dorset Police,-2.658842,50.830171,On or near BENVILLE LANE,E01020530,West Dorset 003E,Investigation complete; no suspect identified
dc6f27b93f1e9b22c6387aa1f69efb4d169fb2420587779c21270dff393da99b,2014-03,Dorset Police,Dorset Police,-1.796151,50.748278,On or near DARWIN AVENUE,E01020353,Christchurch 002C,Investigation complete; no suspect identified
80e79382acb8fffebb30569e8babe212e03e613c71d7be355ca0bc6dfee492e5,2014-03,Dorset Police,Dorset Police,-2.465381,50.611708,On or near ABBOTSBURY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
950006829d30c1001cdca4431fc45db1f254589031f929e258c05679f98e8f19,2014-03,Dorset Police,Dorset Police,-1.791995,50.748891,On or near RUTLAND ROAD,E01020353,Christchurch 002C,Investigation complete; no suspect identified
119deb3d064bdd0098f4be858e38cf0d7a96efa3ad56a723c81fe43feb0c922b,2014-03,Dorset Police,Dorset Police,-1.877610,50.873784,On or near SPRINGFIELD ROAD,E01020415,East Dorset 003E,Investigation complete; no suspect identified
68173ddbb8763cd206ead365084f0a6133dc08f169782a12bc71552ccc36cdad,2014-03,Dorset Police,Dorset Police,-1.791995,50.748891,On or near RUTLAND ROAD,E01020353,Christchurch 002C,Investigation complete; no suspect identified
e5b332fb75bfe8f0e67e9580918d4125b43242fe035edccd94ee413c70959271,2014-03,Dorset Police,Dorset Police,-2.764513,50.741524,On or near ALLINGTON MEAD,E01020499,West Dorset 006B,Investigation complete; no suspect identified
fe9ca3d36f0e1e3ceb0cf3a2d7c8d74786105227efc31de5917baef8e17701e4,2014-03,Dorset Police,Dorset Police,-2.465381,50.611708,On or near ABBOTSBURY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
582186826f89f687986d8b56d50a117d6809cacd1caeeff08d6057a268478f95,2014-03,Dorset Police,Dorset Police,-2.433884,50.713682,On or near Parking Area,E01032645,West Dorset 009I,Investigation complete; no suspect identified
23c192c64f58b6e034df307ac537c6249126560185f2f232a01bd08a44b7dcdd,2014-03,Dorset Police,Dorset Police,-2.435705,50.716094,On or near FRIARY LANE,E01032644,West Dorset 009H,Investigation complete; no suspect identified
1b0919451cf957c61fa80e4da31ab10f34dcf57306fe67ab19bff5387638bf85,2014-03,Dorset Police,Dorset Police,-2.457317,50.631254,On or near ST ANDREWS AVENUE,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
b91a5ec4f6732cb783bff54d99d9933afd262d857860cf78d897547439093222,2014-03,Dorset Police,Dorset Police,-2.519536,50.953020,On or near PRIESTLANDS,E01020544,West Dorset 001C,Investigation complete; no suspect identified
460a6aae7d4e08f3476068524762752c51c06d1318f1db3cecd4c5b49f9102ed,2014-03,Dorset Police,Dorset Police,-2.015687,50.806205,On or near Parking Area,E01020410,East Dorset 005D,Investigation complete; no suspect identified
64bb3bc5ecf2397d2f028b55cfd3ca009c2ec890f71f82e625590f135365e6af,2014-03,Dorset Police,Dorset Police,-2.266927,50.943530,On or near B3091,E01020459,North Dorset 004E,Investigation complete; no suspect identified
b7ce3ae9890c50396137090c86aa28b45b7377ca7c819186b24e535e29e48117,2014-03,Dorset Police,Dorset Police,-2.454754,50.611894,On or near GREAT GEORGE STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
fc51a531aa1cc609b1bfb944c7a81175ad00dd2c36ada55ed5b3529e282f3b39,2014-03,Dorset Police,Dorset Police,-1.968009,50.608309,On or near GORDON ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
22c04dfc499896732bd109658bd7bd9026a271b7cff06cc4c4e4bd235996d25d,2014-03,Dorset Police,Dorset Police,-2.283208,50.776825,On or near ORCHARD RISE,E01020430,North Dorset 008A,Investigation complete; no suspect identified
e658a9d56bac28735f74e60ced189b1662123cfb7bb25059e3fbac3093f474f2,2014-03,Dorset Police,Dorset Police,-2.517010,50.906288,On or near Sports/Recreation Area,E01020508,West Dorset 002B,Investigation complete; no suspect identified
e198a3ee84f64f2afaed228b732c4d1e62c63e3e782977990aeafc4b5fcd9e1c,2014-03,Dorset Police,Dorset Police,-2.305519,50.931241,On or near DENHALL CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
