Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bc54f454e615e8417cc6b0e8ab0c260e3e24b5aa662065630b22cc4b9e6f24de,2014-03,Lincolnshire Police,Lincolnshire Police,-0.432466,53.218787,On or near HEIGHINGTON FEN,E01026205,North Kesteven 005B,Investigation complete; no suspect identified
4ef9c738b3395ca18f1fd656d01ee2f0527bbf31e6cd9ca9b5d90a53c5c8d535,2014-03,Lincolnshire Police,Lincolnshire Police,-0.760666,53.395049,On or near THE DRIVE,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
5d1e3e674245c0a1f6ee31b94779b448bf7193e646fd9433daf626a761435c93,2014-03,Lincolnshire Police,Lincolnshire Police,-0.746891,53.390401,On or near Petrol Station,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
0731a15e65e578ef505ecb9121ceed900ec89fae277fef0fe580b17bb29f5623,2014-03,Lincolnshire Police,Lincolnshire Police,-0.659285,52.918439,On or near OAKHAM CLOSE,E01026320,South Kesteven 004A,Investigation complete; no suspect identified
4ca4b0d2dfeb64b38e8c74a021f4ea75fb38a2b7c5d9a666198bf9121b9fe830,2014-03,Lincolnshire Police,Lincolnshire Police,-0.501849,53.022173,On or near Parking Area,E01026209,North Kesteven 009A,Investigation complete; no suspect identified
7a13de08e06e44b16cfcfca5bcdf94bab03779cb7425308a11806bf000e7780e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.559216,53.190380,On or near BRADBURY AVENUE,E01026138,Lincoln 011B,Investigation complete; no suspect identified
2030ef83845edbd8861357af5eae347ecfb4759e59ac557f8c0746bb517ab799,2014-03,Lincolnshire Police,Lincolnshire Police,-0.524637,53.229277,On or near WINN STREET,E01026126,Lincoln 004D,Investigation complete; no suspect identified
fe2c43bb4ec769e1cbf2c6949731680ae89cd5284a0ea963fbdc10affe7f8b1e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.597872,53.213935,On or near METHERINGHAM CLOSE,E01026160,Lincoln 009D,Investigation complete; no suspect identified
a1e55ef4cff13ae11738ff43bc85e411db5ea9bfa530cc27d58215f097c54d87,2014-03,Lincolnshire Police,Lincolnshire Police,-0.643278,52.912342,On or near Further/Higher Educational Building,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
a444b1c45931d3db67da8202669d478ef246913ca7b1f6ccac1260a6117da50b,2014-03,Lincolnshire Police,Lincolnshire Police,-0.125588,52.843059,On or near GLEN GARDENS,E01026276,South Holland 001E,Investigation complete; no suspect identified
77b1bc6eb8dcb8217efb2c52104daeba455386dd81882eac5f914073f2b547f0,2014-03,Lincolnshire Police,Lincolnshire Police,-0.125588,52.843059,On or near GLEN GARDENS,E01026276,South Holland 001E,Investigation complete; no suspect identified
