Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6dd9c5c89c6522a2a35eca62d40944e427716f5225def88bb8a7e315514f83f7,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.014352,52.686886,On or near Parking Area,E01026479,Breckland 006A,Investigation complete; no suspect identified
60325090119991cfa68cfb6113d4bd268b245b858f4a51018d67f12aec523ca9,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.213046,52.635148,On or near HOLLYCROFT ROAD,E01026661,King's Lynn and West Norfolk 016C,Investigation complete; no suspect identified
fc18cf5eee804f51de2ff2ed2acf5c3f6a7e682a3bf0832fcf8226f24de503a1,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.323372,52.631815,On or near WILLIAM MEAR GARDENS,E01026808,Norwich 004F,Investigation complete; no suspect identified
ebcd9ab2b927ba96338aca26587f6f6182662fab7ec6f49db4cad2d5c00ea7f1,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.301005,52.638448,On or near WODEHOUSE STREET,E01026841,Norwich 003A,Investigation complete; no suspect identified
6164afd9d0111e60731db46df7b38d91d93e7a3a92c76f49962b93a84418f38d,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.301005,52.638448,On or near WODEHOUSE STREET,E01026841,Norwich 003A,Investigation complete; no suspect identified
f972f1b0a48b4bf96d5a061114e0d862611329a6bb1d50fa116541a51d1cc964,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.398564,52.755154,On or near OLDSUNWAY,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
1f4e7aea61213c044965f46eccfd3cdef85336c5f8f05db296c77c4fc1fe7307,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.078803,52.382893,On or near BELLROPE LANE,E01026931,South Norfolk 015E,Investigation complete; no suspect identified
4517b093f8b400b1a6090f97a9e684ef91baf93005b761863fdf3593d2bd984e,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.281538,52.636516,On or near RUSSELL STREET,E01026827,Norwich 007F,Investigation complete; no suspect identified
56360cc96a52360a0fee76673fe1d857458269c13cd699fe976bb8a8788afbfd,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.854900,52.568257,On or near CANBERRA ROAD,E01033040,Breckland 010F,Investigation complete; no suspect identified
25f8f7cd907e823e93886516f0d69707726e215bcd1265bebeeede4f7a5d71a4,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.062192,52.717242,On or near BACK LANE,E01026436,Breckland 001A,Investigation complete; no suspect identified
bc5737c4e6377155ee2fa2cbe9be98497d3d108feb77d1fdce343d814b6927cb,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.253031,52.617328,On or near PECKOVER ROAD,E01026814,Norwich 012E,Investigation complete; no suspect identified
6d566525b9d2c55868c09ce5bc3c22f105e3a08d661b998f2b6f17600b698c73,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.946630,52.678932,On or near Petrol Station,E01026426,Breckland 005B,Investigation complete; no suspect identified
46baeec088230f65e5ec29589224ebcaef791eb74542a82e217bd8084a17a57f,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.282076,52.644677,On or near BERNERS STREET,E01026830,Norwich 002C,Investigation complete; no suspect identified
6e48661a51ee33d27ff43368b7c7e5ce3beed10e50fa20729f3768c4623994f1,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.584310,52.689314,On or near Park/Open Space,E01026445,Breckland 002C,Investigation complete; no suspect identified
980866abe95dc510a6e7abeb430e152db17ccb26c514f6257cc94d8e07909dfb,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.302634,52.644168,On or near BELLINGHAM COURT,E01026842,Norwich 003B,Investigation complete; no suspect identified
08e76d5be4d3fbecb93ec98e1a1c4a273460319a0cdfa3e6e1ceba8af25a35da,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.712179,52.579124,On or near FORSYTHIA ROAD,E01026603,Great Yarmouth 009C,Investigation complete; no suspect identified
c43aaa392ea6725d5f61d418f9f9e019920f953e20f4f43411c11cecbecbb1ed,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.283201,52.642127,On or near BOOT BINDERS ROAD,E01026829,Norwich 002B,Investigation complete; no suspect identified
30b3fcd4a3be04848f7d8146e316c7f25d9ec5c2f712a65cde494525c280d6a1,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.285012,52.645971,On or near VICARAGE ROAD,E01026829,Norwich 002B,Investigation complete; no suspect identified
5270b59053479ea31d871a20e39689ef835927c927139f9be352f8849f6d1eb0,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.153981,52.653806,On or near ST PETERS DRIVE,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
aae91f3e049db7a4e5c3d2153d5febd31f60383972273631089125dcd0ff42ce,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.283543,52.766138,On or near NEW ROMAN BANK,E01026711,King's Lynn and West Norfolk 008B,Investigation complete; no suspect identified
25881851f049154c4fd10d9a0240179a39ed77c734b095b834087e40ec3d7556,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.283201,52.642127,On or near BOOT BINDERS ROAD,E01026829,Norwich 002B,Investigation complete; no suspect identified
4746a47f76d53b70dbdf626792b0dfd0b4f9cfb5ad9018b519fc682bb764bfec,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.385562,52.673943,On or near BRITTON CLOSE,E01026722,King's Lynn and West Norfolk 015C,Investigation complete; no suspect identified
5af856c42a32a4be88e0782b4b5478a7c0108456a45f6129513e7238dfc527a8,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.832163,52.570179,On or near DALE CLOSE,E01026488,Breckland 009C,Investigation complete; no suspect identified
d29281b640d63f9d39629336895f13bddaab15a96e5afceec4d7af2f4dbdd266,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.685838,52.646078,On or near ORCHARD PLACE,E01026455,Breckland 007A,Investigation complete; no suspect identified
a67f27132cbb80890caa226f2bdccad72cbc23733d1dd8be505bcecc32323184,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.307184,52.628257,On or near ASPLAND ROAD,E01033439,Norwich 014B,Investigation complete; no suspect identified
a475970d2f6a4d5ee4a58d781e9bb77296673e35d503b8494b84ea88eb86ad87,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.301805,52.629441,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
564166dcb2540d9fae87e0cc9970b4cd7defb2ea0bfe1bc3111949730450a9cd,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.397932,52.598081,On or near Petrol Station,E01026679,King's Lynn and West Norfolk 018A,Investigation complete; no suspect identified
fcf100b4f9a504dfab5f2e0806893f32281ad967de3527c55f54aba325bc3728,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.879134,52.576375,On or near MILL LANE,E01026464,Breckland 010D,Investigation complete; no suspect identified
a5ae4ed28f4b840b1d16201181a6bf3c055b584dcd483e48ebd718ea776b9594,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.409857,52.750591,On or near TENNYSON ROAD,E01026667,King's Lynn and West Norfolk 009B,Investigation complete; no suspect identified
5b5bbf4fa8250c49b628da71698e863bb84236966792529da6b965ce281d9694,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.393997,52.756451,On or near TUESDAY MARKET PLACE,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
c283e005fb7dd7e347476744d65e88187d40ee9b680b72f4d288e8aab37a5b72,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.284457,52.650996,On or near PALMER CLOSE,E01026800,Norwich 001D,Investigation complete; no suspect identified
6818ffdfd5450e3e6e7b4f90c6e891305d6cc09e3b3904d0471bd1b3ab435996,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.197616,52.731202,On or near FRENCH'S ROAD,E01026719,King's Lynn and West Norfolk 013C,Investigation complete; no suspect identified
bb004b1d7c268ce88047a2e5e702bcfdee71dbff13c26e20ef5766f93b0519b4,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.297304,52.613225,On or near KEYES CLOSE,E01026818,Norwich 013C,Investigation complete; no suspect identified
2ea251e0e6f820d5da55339f38d4f324c78c2b5ff138e1e6af7157cbf0a31294,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.395778,52.756236,On or near MARKET LANE,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
731dbe1fa1a10108ec4e77a1ee3b936d5ead46abb641d1b33b70f2c8ec150191,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.293222,52.641300,On or near WATERLOO ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
ba04d505dca91dbf75e66587c813aa41337c7c9bf673ac0fce673d5394fdb6b1,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.403251,52.756291,On or near LITTLEPORT STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
4c756b2db4fcac4dc0e283d91fc58d2b3626edd1538d7c1542b184a30b5f506f,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.489709,52.934979,On or near CHILTERN CRESCENT,E01026680,King's Lynn and West Norfolk 001A,Investigation complete; no suspect identified
d60dbe8f3d9b5365694c68b39e8223d83b3122dab580f31840b2ac276eda0203,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.251166,52.607919,On or near Shopping Area,E01026810,Norwich 012A,Investigation complete; no suspect identified
732e5e1eec886cc271addbca0fc94bc4e2cb1024b24fc669dfa5478d801e5ab5,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.252919,52.637720,On or near DEREHAM ROAD,E01026864,Norwich 006B,Investigation complete; no suspect identified
81dd2946276049d10b15470d6743d14bea29eb9c6a3b1a925c722c7e8e88da2d,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.290980,52.627791,On or near Conference/Exhibition Centre,E01026822,Norwich 007A,Investigation complete; no suspect identified
aea28d312aa7f31c925c66cffd446f24f45f9ed3723c6074cfe5f18dbe82fe0e,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.230858,52.634043,On or near SAVERY CLOSE,E01033436,Norwich 005H,Investigation complete; no suspect identified
3d3b97a09fe48caed1aeb362f2cce7e0f2712109c3b6fccc5117136882ebe007,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.251316,52.626072,On or near MORELLO CLOSE,E01026858,Norwich 010A,Investigation complete; no suspect identified
aff0ed7125802f77e7b048f8ec08c228bc3a0728334e9b85d8d67c7ad3d0fe65,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.403810,52.747342,On or near GUANOCK TERRACE,E01026667,King's Lynn and West Norfolk 009B,Investigation complete; no suspect identified
e067afda2a28bca053a7f6b31e426fa4b088958a90bead6d7bcdb4f5a4474a67,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.395518,52.750684,On or near NELSON STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
e6bf6fac46ba527a2790bd903d258421c2d8af8ce14c8bc9c1f6aeb43689e0a9,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.732793,52.412250,On or near ST JOHN'S WAY,E01026474,Breckland 017A,Investigation complete; no suspect identified
10d52d606657d3352f0d421c29267a5053aa08a4bbf5c8064140b1eb837769eb,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.251156,52.623316,On or near LOVELACE ROAD,E01026860,Norwich 010C,Investigation complete; no suspect identified
de1e435c7ce0d9c333243b06fe74667348198694d656e4906f46d2fd602b6956,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.725541,52.579298,On or near LOVEWELL ROAD,E01026630,Great Yarmouth 010D,Investigation complete; no suspect identified
052f377091334805d2e223c81eee771912629d2621c9ec90562cbfdcc7212c1f,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.251156,52.623316,On or near LOVELACE ROAD,E01026860,Norwich 010C,Investigation complete; no suspect identified
cef157589836ad677f0956e3e2b8d335fc76beb0e971b2066a51a643a05bde1e,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.218891,52.644397,On or near THE LINNETS,E01026917,South Norfolk 001B,Investigation complete; no suspect identified
c7a69f462269c0e7254faa6eeaab07d1b91bbab5e392d1988605b3717577061d,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.686996,52.867125,On or near B1454,E01026656,King's Lynn and West Norfolk 002C,Investigation complete; no suspect identified
bb4c1831f5df13839ac027d6a67e4763861b6ca224b627ed74e35b4e08f7b352,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.288546,52.631007,On or near THREE KING LANE,E01026823,Norwich 007B,Investigation complete; no suspect identified
aa4f2245bb583c496e585b125a6be28ab7d75492b86c4e0d1804c03b78ffd35a,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.412975,52.645238,On or near LAKELAND CLOSE,E01026545,Broadland 008A,Investigation complete; no suspect identified
6a97564ef05250359832a2d87a1074962dca8ecb9c39eb99d19ef44bc89064e0,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.317599,52.637562,On or near Prison,E01026806,Norwich 004D,Investigation complete; no suspect identified
e2d6e6b0367a7fcd50f5e1cc00d47979892b6e2168381dc03303fb8ffad3cbe6,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.251156,52.623316,On or near LOVELACE ROAD,E01026860,Norwich 010C,Investigation complete; no suspect identified
1398f171df21b0bc75d121814f22356d70852e8efc5320bd620e29983216205f,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.554227,52.640973,On or near WHERRY REACH,E01026497,Broadland 018A,Investigation complete; no suspect identified
9f37a75947cfc4d8a0a4208098d07b7cfe82d6c1eadba01aa359f679a626b736,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.945902,52.685712,On or near DANESFORT DRIVE,E01026429,Breckland 003B,Investigation complete; no suspect identified
d799bd85f53028c2d01f522d4bc6f36a47acc915a1faccde589ef57818d130ea,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.890425,52.671180,On or near MAYFAIR,E01026453,Breckland 004C,Investigation complete; no suspect identified
20f47bcd23dc3a3ff13ab401e92f9abef13a5d065e34477f577ba3f4f242730b,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.896479,52.695582,On or near LONGHAM ROAD,E01026452,Breckland 004B,Investigation complete; no suspect identified
4a33ddac4e3e8dfd4c66c5c806a83bbc61a23068001edcc39a2c52fd1b860f7b,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.400420,52.750621,On or near MILLFLEET,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
358564b8bdf915e75a6f7c0ce2eba718d55800227abf775e077dc2c3c4da63f7,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.288751,52.647135,On or near PHILADELPHIA LANE,E01026830,Norwich 002C,Investigation complete; no suspect identified
