12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2012,Dorset,South West,Robbery,237
31/03/2012,Dorset,South West,Sexual offences,582
31/03/2012,Dorset,South West,Shoplifting,3788
31/03/2012,Dorset,South West,Theft from the person,884
31/03/2012,Dorset,South West,Vehicle offences,4601
31/03/2012,Dorset,South West,Violence with injury,4326
31/03/2012,Dorset,South West,Violence without injury,3098
31/03/2012,Durham,North East,All other theft offences,5801
31/03/2012,Durham,North East,Bicycle theft,741
31/03/2012,Durham,North East,Criminal damage and arson,7775
31/03/2012,Durham,North East,Domestic burglary,1654
31/03/2012,Durham,North East,Drug offences,1434
31/03/2012,Durham,North East,Fraud offences to 2012/13,379
31/03/2012,Durham,North East,Homicide,11
31/03/2012,Durham,North East,Miscellaneous crimes against society,529
31/03/2012,Durham,North East,Non-domestic burglary,3081
31/03/2012,Durham,North East,Possession of weapons offences,277
31/03/2012,Durham,North East,Public order offences,1348
31/03/2012,Durham,North East,Robbery,103
31/03/2012,Durham,North East,Sexual offences,431
31/03/2012,Durham,North East,Shoplifting,2984
31/03/2012,Durham,North East,Theft from the person,202
31/03/2012,Durham,North East,Vehicle offences,3626
31/03/2012,Durham,North East,Violence with injury,2988
31/03/2012,Durham,North East,Violence without injury,1967
31/03/2012,Dyfed-Powys,Wales,All other theft offences,2651
31/03/2012,Dyfed-Powys,Wales,Bicycle theft,212
31/03/2012,Dyfed-Powys,Wales,Criminal damage and arson,4111
31/03/2012,Dyfed-Powys,Wales,Domestic burglary,562
31/03/2012,Dyfed-Powys,Wales,Drug offences,3335
31/03/2012,Dyfed-Powys,Wales,Fraud offences to 2012/13,534
31/03/2012,Dyfed-Powys,Wales,Homicide,4
31/03/2012,Dyfed-Powys,Wales,Miscellaneous crimes against society,213
31/03/2012,Dyfed-Powys,Wales,Non-domestic burglary,1153
31/03/2012,Dyfed-Powys,Wales,Possession of weapons offences,122
31/03/2012,Dyfed-Powys,Wales,Public order offences,1418
31/03/2012,Dyfed-Powys,Wales,Robbery,37
31/03/2012,Dyfed-Powys,Wales,Sexual offences,368
31/03/2012,Dyfed-Powys,Wales,Shoplifting,1551
31/03/2012,Dyfed-Powys,Wales,Theft from the person,66
31/03/2012,Dyfed-Powys,Wales,Vehicle offences,1177
31/03/2012,Dyfed-Powys,Wales,Violence with injury,2296
31/03/2012,Dyfed-Powys,Wales,Violence without injury,1353
31/03/2012,Essex,East of England,All other theft offences,15112
31/03/2012,Essex,East of England,Bicycle theft,2915
31/03/2012,Essex,East of England,Criminal damage and arson,16539
31/03/2012,Essex,East of England,Domestic burglary,7023
31/03/2012,Essex,East of England,Drug offences,4207
31/03/2012,Essex,East of England,Fraud offences to 2012/13,1891
31/03/2012,Essex,East of England,Homicide,14
31/03/2012,Essex,East of England,Miscellaneous crimes against society,912
31/03/2012,Essex,East of England,Non-domestic burglary,6988
31/03/2012,Essex,East of England,Possession of weapons offences,989
31/03/2012,Essex,East of England,Public order offences,3507
31/03/2012,Essex,East of England,Robbery,1159
31/03/2012,Essex,East of England,Sexual offences,1538
31/03/2012,Essex,East of England,Shoplifting,9517
31/03/2012,Essex,East of England,Theft from the person,1583
31/03/2012,Essex,East of England,Vehicle offences,12889
31/03/2012,Essex,East of England,Violence with injury,9291
31/03/2012,Essex,East of England,Violence without injury,9003
31/03/2012,Fraud: Action Fraud,Action Fraud,Action Fraud,46658
31/03/2012,Fraud: Cifas,Fraud: Cifas,Cifas,235499
31/03/2012,Fraud: FFA,FFA,FFA,121478
31/03/2012,Gloucestershire,South West,All other theft offences,5207
31/03/2012,Gloucestershire,South West,Bicycle theft,1234
31/03/2012,Gloucestershire,South West,Criminal damage and arson,5835
31/03/2012,Gloucestershire,South West,Domestic burglary,3017
31/03/2012,Gloucestershire,South West,Drug offences,1526
31/03/2012,Gloucestershire,South West,Fraud offences to 2012/13,481
31/03/2012,Gloucestershire,South West,Homicide,2
31/03/2012,Gloucestershire,South West,Miscellaneous crimes against society,366
31/03/2012,Gloucestershire,South West,Non-domestic burglary,2726
31/03/2012,Gloucestershire,South West,Possession of weapons offences,149
31/03/2012,Gloucestershire,South West,Public order offences,931
31/03/2012,Gloucestershire,South West,Robbery,252
31/03/2012,Gloucestershire,South West,Sexual offences,514
31/03/2012,Gloucestershire,South West,Shoplifting,3017
31/03/2012,Gloucestershire,South West,Theft from the person,451
31/03/2012,Gloucestershire,South West,Vehicle offences,3970
31/03/2012,Gloucestershire,South West,Violence with injury,2818
31/03/2012,Gloucestershire,South West,Violence without injury,2106
31/03/2012,Greater Manchester,North West,All other theft offences,29519
31/03/2012,Greater Manchester,North West,Bicycle theft,5377
31/03/2012,Greater Manchester,North West,Criminal damage and arson,35330
31/03/2012,Greater Manchester,North West,Domestic burglary,15735
31/03/2012,Greater Manchester,North West,Drug offences,11414
31/03/2012,Greater Manchester,North West,Fraud offences to 2012/13,3144
31/03/2012,Greater Manchester,North West,Homicide,33
31/03/2012,Greater Manchester,North West,Miscellaneous crimes against society,2557
31/03/2012,Greater Manchester,North West,Non-domestic burglary,14583
31/03/2012,Greater Manchester,North West,Possession of weapons offences,1408
31/03/2012,Greater Manchester,North West,Public order offences,8176
31/03/2012,Greater Manchester,North West,Robbery,4199
31/03/2012,Greater Manchester,North West,Sexual offences,2634
31/03/2012,Greater Manchester,North West,Shoplifting,14939
31/03/2012,Greater Manchester,North West,Theft from the person,4681
31/03/2012,Greater Manchester,North West,Vehicle offences,21420
31/03/2012,Greater Manchester,North West,Violence with injury,16962
31/03/2012,Greater Manchester,North West,Violence without injury,15412
31/03/2012,Gwent,Wales,All other theft offences,5596
31/03/2012,Gwent,Wales,Bicycle theft,581
31/03/2012,Gwent,Wales,Criminal damage and arson,7530
31/03/2012,Gwent,Wales,Domestic burglary,2011
31/03/2012,Gwent,Wales,Drug offences,2793
31/03/2012,Gwent,Wales,Fraud offences to 2012/13,344
31/03/2012,Gwent,Wales,Homicide,5
31/03/2012,Gwent,Wales,Miscellaneous crimes against society,402
31/03/2012,Gwent,Wales,Non-domestic burglary,3280
31/03/2012,Gwent,Wales,Possession of weapons offences,244
31/03/2012,Gwent,Wales,Public order offences,1859
31/03/2012,Gwent,Wales,Robbery,126
31/03/2012,Gwent,Wales,Sexual offences,556
31/03/2012,Gwent,Wales,Shoplifting,3389
31/03/2012,Gwent,Wales,Theft from the person,183
31/03/2012,Gwent,Wales,Vehicle offences,4526
31/03/2012,Gwent,Wales,Violence with injury,3560
31/03/2012,Gwent,Wales,Violence without injury,1894
31/03/2012,Hampshire,South East,All other theft offences,19047
31/03/2012,Hampshire,South East,Bicycle theft,4889
31/03/2012,Hampshire,South East,Criminal damage and arson,22085
31/03/2012,Hampshire,South East,Domestic burglary,4994
31/03/2012,Hampshire,South East,Drug offences,6498
31/03/2012,Hampshire,South East,Fraud offences to 2012/13,2612
31/03/2012,Hampshire,South East,Homicide,4
31/03/2012,Hampshire,South East,Miscellaneous crimes against society,1446
31/03/2012,Hampshire,South East,Non-domestic burglary,8227
31/03/2012,Hampshire,South East,Possession of weapons offences,585
31/03/2012,Hampshire,South East,Public order offences,5732
31/03/2012,Hampshire,South East,Robbery,950
31/03/2012,Hampshire,South East,Sexual offences,1905
31/03/2012,Hampshire,South East,Shoplifting,12808
31/03/2012,Hampshire,South East,Theft from the person,1806
31/03/2012,Hampshire,South East,Vehicle offences,10492
31/03/2012,Hampshire,South East,Violence with injury,13450
31/03/2012,Hampshire,South East,Violence without injury,11739
31/03/2012,Hertfordshire,East of England,All other theft offences,8874
31/03/2012,Hertfordshire,East of England,Bicycle theft,1676
31/03/2012,Hertfordshire,East of England,Criminal damage and arson,10059
31/03/2012,Hertfordshire,East of England,Domestic burglary,3313
31/03/2012,Hertfordshire,East of England,Drug offences,5034
31/03/2012,Hertfordshire,East of England,Fraud offences to 2012/13,1507
31/03/2012,Hertfordshire,East of England,Homicide,8
31/03/2012,Hertfordshire,East of England,Miscellaneous crimes against society,858
31/03/2012,Hertfordshire,East of England,Non-domestic burglary,3789
31/03/2012,Hertfordshire,East of England,Possession of weapons offences,322
31/03/2012,Hertfordshire,East of England,Public order offences,2377
31/03/2012,Hertfordshire,East of England,Robbery,563
31/03/2012,Hertfordshire,East of England,Sexual offences,684
31/03/2012,Hertfordshire,East of England,Shoplifting,5942
31/03/2012,Hertfordshire,East of England,Theft from the person,1427
31/03/2012,Hertfordshire,East of England,Vehicle offences,7087
31/03/2012,Hertfordshire,East of England,Violence with injury,4348
31/03/2012,Hertfordshire,East of England,Violence without injury,4383
31/03/2012,Humberside,Yorkshire and the Humber,All other theft offences,10974
31/03/2012,Humberside,Yorkshire and the Humber,Bicycle theft,2452
31/03/2012,Humberside,Yorkshire and the Humber,Criminal damage and arson,13186
31/03/2012,Humberside,Yorkshire and the Humber,Domestic burglary,4336
31/03/2012,Humberside,Yorkshire and the Humber,Drug offences,2720
31/03/2012,Humberside,Yorkshire and the Humber,Fraud offences to 2012/13,1013
31/03/2012,Humberside,Yorkshire and the Humber,Homicide,3
31/03/2012,Humberside,Yorkshire and the Humber,Miscellaneous crimes against society,922
31/03/2012,Humberside,Yorkshire and the Humber,Non-domestic burglary,6580
31/03/2012,Humberside,Yorkshire and the Humber,Possession of weapons offences,431
31/03/2012,Humberside,Yorkshire and the Humber,Public order offences,3005
31/03/2012,Humberside,Yorkshire and the Humber,Robbery,507
31/03/2012,Humberside,Yorkshire and the Humber,Sexual offences,1154
31/03/2012,Humberside,Yorkshire and the Humber,Shoplifting,6852
31/03/2012,Humberside,Yorkshire and the Humber,Theft from the person,672
31/03/2012,Humberside,Yorkshire and the Humber,Vehicle offences,5873
31/03/2012,Humberside,Yorkshire and the Humber,Violence with injury,7299
31/03/2012,Humberside,Yorkshire and the Humber,Violence without injury,4038
31/03/2012,Kent,South East,All other theft offences,18156
31/03/2012,Kent,South East,Bicycle theft,2031
31/03/2012,Kent,South East,Criminal damage and arson,19582
31/03/2012,Kent,South East,Domestic burglary,5139
31/03/2012,Kent,South East,Drug offences,3809
31/03/2012,Kent,South East,Fraud offences to 2012/13,2103
31/03/2012,Kent,South East,Homicide,11
31/03/2012,Kent,South East,Miscellaneous crimes against society,999
31/03/2012,Kent,South East,Non-domestic burglary,6958
31/03/2012,Kent,South East,Possession of weapons offences,402
31/03/2012,Kent,South East,Public order offences,2156
31/03/2012,Kent,South East,Robbery,953
31/03/2012,Kent,South East,Sexual offences,1392
31/03/2012,Kent,South East,Shoplifting,9941
31/03/2012,Kent,South East,Theft from the person,837
31/03/2012,Kent,South East,Vehicle offences,9579
31/03/2012,Kent,South East,Violence with injury,9897
31/03/2012,Kent,South East,Violence without injury,7848
31/03/2012,Lancashire,North West,All other theft offences,16205
31/03/2012,Lancashire,North West,Bicycle theft,2614
31/03/2012,Lancashire,North West,Criminal damage and arson,18949
31/03/2012,Lancashire,North West,Domestic burglary,4279
31/03/2012,Lancashire,North West,Drug offences,4732
31/03/2012,Lancashire,North West,Fraud offences to 2012/13,1379
31/03/2012,Lancashire,North West,Homicide,19
31/03/2012,Lancashire,North West,Miscellaneous crimes against society,989
31/03/2012,Lancashire,North West,Non-domestic burglary,7549
31/03/2012,Lancashire,North West,Possession of weapons offences,568
31/03/2012,Lancashire,North West,Public order offences,2869
31/03/2012,Lancashire,North West,Robbery,679
31/03/2012,Lancashire,North West,Sexual offences,1509
31/03/2012,Lancashire,North West,Shoplifting,8567
31/03/2012,Lancashire,North West,Theft from the person,944
31/03/2012,Lancashire,North West,Vehicle offences,8584
31/03/2012,Lancashire,North West,Violence with injury,10929
31/03/2012,Lancashire,North West,Violence without injury,7711
31/03/2012,Leicestershire,East Midlands,All other theft offences,11211
31/03/2012,Leicestershire,East Midlands,Bicycle theft,2556
31/03/2012,Leicestershire,East Midlands,Criminal damage and arson,11670
31/03/2012,Leicestershire,East Midlands,Domestic burglary,4231
31/03/2012,Leicestershire,East Midlands,Drug offences,2601
31/03/2012,Leicestershire,East Midlands,Fraud offences to 2012/13,1008
31/03/2012,Leicestershire,East Midlands,Homicide,9
31/03/2012,Leicestershire,East Midlands,Miscellaneous crimes against society,802
31/03/2012,Leicestershire,East Midlands,Non-domestic burglary,4003
31/03/2012,Leicestershire,East Midlands,Possession of weapons offences,332
31/03/2012,Leicestershire,East Midlands,Public order offences,3106
31/03/2012,Leicestershire,East Midlands,Robbery,935
31/03/2012,Leicestershire,East Midlands,Sexual offences,883
31/03/2012,Leicestershire,East Midlands,Shoplifting,5535
31/03/2012,Leicestershire,East Midlands,Theft from the person,1432
31/03/2012,Leicestershire,East Midlands,Vehicle offences,6752
31/03/2012,Leicestershire,East Midlands,Violence with injury,5143
31/03/2012,Leicestershire,East Midlands,Violence without injury,6033
31/03/2012,Lincolnshire,East Midlands,All other theft offences,8033
31/03/2012,Lincolnshire,East Midlands,Bicycle theft,1864
31/03/2012,Lincolnshire,East Midlands,Criminal damage and arson,8123
31/03/2012,Lincolnshire,East Midlands,Domestic burglary,2178
31/03/2012,Lincolnshire,East Midlands,Drug offences,1543
31/03/2012,Lincolnshire,East Midlands,Fraud offences to 2012/13,516
31/03/2012,Lincolnshire,East Midlands,Homicide,8
31/03/2012,Lincolnshire,East Midlands,Miscellaneous crimes against society,613
31/03/2012,Lincolnshire,East Midlands,Non-domestic burglary,4044
31/03/2012,Lincolnshire,East Midlands,Possession of weapons offences,282
31/03/2012,Lincolnshire,East Midlands,Public order offences,1687
31/03/2012,Lincolnshire,East Midlands,Robbery,191
31/03/2012,Lincolnshire,East Midlands,Sexual offences,655
31/03/2012,Lincolnshire,East Midlands,Shoplifting,3954
31/03/2012,Lincolnshire,East Midlands,Theft from the person,401
31/03/2012,Lincolnshire,East Midlands,Vehicle offences,3751
31/03/2012,Lincolnshire,East Midlands,Violence with injury,3466
31/03/2012,Lincolnshire,East Midlands,Violence without injury,2855
31/03/2012,"London, City of",London,All other theft offences,1979
31/03/2012,"London, City of",London,Bicycle theft,459
31/03/2012,"London, City of",London,Criminal damage and arson,231
31/03/2012,"London, City of",London,Domestic burglary,32
31/03/2012,"London, City of",London,Drug offences,706
31/03/2012,"London, City of",London,Fraud offences to 2012/13,183
31/03/2012,"London, City of",London,Homicide,1
31/03/2012,"London, City of",London,Miscellaneous crimes against society,178
31/03/2012,"London, City of",London,Non-domestic burglary,264
31/03/2012,"London, City of",London,Possession of weapons offences,35
31/03/2012,"London, City of",London,Public order offences,177
31/03/2012,"London, City of",London,Robbery,46
31/03/2012,"London, City of",London,Sexual offences,35
31/03/2012,"London, City of",London,Shoplifting,742
31/03/2012,"London, City of",London,Theft from the person,324
31/03/2012,"London, City of",London,Vehicle offences,194
31/03/2012,"London, City of",London,Violence with injury,260
31/03/2012,"London, City of",London,Violence without injury,273
31/03/2012,Merseyside,North West,All other theft offences,11347
31/03/2012,Merseyside,North West,Bicycle theft,1895
31/03/2012,Merseyside,North West,Criminal damage and arson,18093
31/03/2012,Merseyside,North West,Domestic burglary,7441
31/03/2012,Merseyside,North West,Drug offences,12804
31/03/2012,Merseyside,North West,Fraud offences to 2012/13,983
31/03/2012,Merseyside,North West,Homicide,24
31/03/2012,Merseyside,North West,Miscellaneous crimes against society,920
31/03/2012,Merseyside,North West,Non-domestic burglary,6073
31/03/2012,Merseyside,North West,Possession of weapons offences,771
31/03/2012,Merseyside,North West,Public order offences,4160
31/03/2012,Merseyside,North West,Robbery,1398
31/03/2012,Merseyside,North West,Sexual offences,1263
31/03/2012,Merseyside,North West,Shoplifting,8036
31/03/2012,Merseyside,North West,Theft from the person,2401
31/03/2012,Merseyside,North West,Vehicle offences,8612
31/03/2012,Merseyside,North West,Violence with injury,6244
31/03/2012,Merseyside,North West,Violence without injury,4096
31/03/2012,Metropolitan Police,London,All other theft offences,135792
31/03/2012,Metropolitan Police,London,Bicycle theft,23146
31/03/2012,Metropolitan Police,London,Criminal damage and arson,71978
31/03/2012,Metropolitan Police,London,Domestic burglary,63791
31/03/2012,Metropolitan Police,London,Drug offences,60799
31/03/2012,Metropolitan Police,London,Fraud offences to 2012/13,23394
31/03/2012,Metropolitan Police,London,Homicide,103
31/03/2012,Metropolitan Police,London,Miscellaneous crimes against society,8345
31/03/2012,Metropolitan Police,London,Non-domestic burglary,32390
31/03/2012,Metropolitan Police,London,Possession of weapons offences,4696
31/03/2012,Metropolitan Police,London,Public order offences,29475
31/03/2012,Metropolitan Police,London,Robbery,38897
31/03/2012,Metropolitan Police,London,Sexual offences,10036
31/03/2012,Metropolitan Police,London,Shoplifting,38800
31/03/2012,Metropolitan Police,London,Theft from the person,42111
31/03/2012,Metropolitan Police,London,Vehicle offences,104183
31/03/2012,Metropolitan Police,London,Violence with injury,61242
31/03/2012,Metropolitan Police,London,Violence without injury,65447
31/03/2012,Norfolk,East of England,All other theft offences,6251
31/03/2012,Norfolk,East of England,Bicycle theft,1513
31/03/2012,Norfolk,East of England,Criminal damage and arson,8787
31/03/2012,Norfolk,East of England,Domestic burglary,1461
31/03/2012,Norfolk,East of England,Drug offences,2163
31/03/2012,Norfolk,East of England,Fraud offences to 2012/13,394
31/03/2012,Norfolk,East of England,Homicide,7
31/03/2012,Norfolk,East of England,Miscellaneous crimes against society,383
31/03/2012,Norfolk,East of England,Non-domestic burglary,2799
31/03/2012,Norfolk,East of England,Possession of weapons offences,278
31/03/2012,Norfolk,East of England,Public order offences,1578
31/03/2012,Norfolk,East of England,Robbery,217
31/03/2012,Norfolk,East of England,Sexual offences,919
31/03/2012,Norfolk,East of England,Shoplifting,3761
31/03/2012,Norfolk,East of England,Theft from the person,420
31/03/2012,Norfolk,East of England,Vehicle offences,3057
31/03/2012,Norfolk,East of England,Violence with injury,4217
31/03/2012,Norfolk,East of England,Violence without injury,3949
31/03/2012,North Wales,Wales,All other theft offences,6304
31/03/2012,North Wales,Wales,Bicycle theft,777
31/03/2012,North Wales,Wales,Criminal damage and arson,8588
31/03/2012,North Wales,Wales,Domestic burglary,1888
31/03/2012,North Wales,Wales,Drug offences,1751
31/03/2012,North Wales,Wales,Fraud offences to 2012/13,650
31/03/2012,North Wales,Wales,Homicide,6
31/03/2012,North Wales,Wales,Miscellaneous crimes against society,676
31/03/2012,North Wales,Wales,Non-domestic burglary,3503
31/03/2012,North Wales,Wales,Possession of weapons offences,272
31/03/2012,North Wales,Wales,Public order offences,2023
31/03/2012,North Wales,Wales,Robbery,159
31/03/2012,North Wales,Wales,Sexual offences,639
31/03/2012,North Wales,Wales,Shoplifting,4045
31/03/2012,North Wales,Wales,Theft from the person,169
31/03/2012,North Wales,Wales,Vehicle offences,2954
31/03/2012,North Wales,Wales,Violence with injury,4461
31/03/2012,North Wales,Wales,Violence without injury,4349
31/03/2012,North Yorkshire,Yorkshire and the Humber,All other theft offences,6414
31/03/2012,North Yorkshire,Yorkshire and the Humber,Bicycle theft,1472
31/03/2012,North Yorkshire,Yorkshire and the Humber,Criminal damage and arson,6743
31/03/2012,North Yorkshire,Yorkshire and the Humber,Domestic burglary,1897
31/03/2012,North Yorkshire,Yorkshire and the Humber,Drug offences,2165
31/03/2012,North Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,641
31/03/2012,North Yorkshire,Yorkshire and the Humber,Homicide,1
31/03/2012,North Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,411
31/03/2012,North Yorkshire,Yorkshire and the Humber,Non-domestic burglary,3123
31/03/2012,North Yorkshire,Yorkshire and the Humber,Possession of weapons offences,229
31/03/2012,North Yorkshire,Yorkshire and the Humber,Public order offences,1327
31/03/2012,North Yorkshire,Yorkshire and the Humber,Robbery,164
31/03/2012,North Yorkshire,Yorkshire and the Humber,Sexual offences,547
31/03/2012,North Yorkshire,Yorkshire and the Humber,Shoplifting,3626
31/03/2012,North Yorkshire,Yorkshire and the Humber,Theft from the person,623
31/03/2012,North Yorkshire,Yorkshire and the Humber,Vehicle offences,3291
31/03/2012,North Yorkshire,Yorkshire and the Humber,Violence with injury,3801
31/03/2012,North Yorkshire,Yorkshire and the Humber,Violence without injury,2241
31/03/2012,Northamptonshire,East Midlands,All other theft offences,7671
31/03/2012,Northamptonshire,East Midlands,Bicycle theft,1355
31/03/2012,Northamptonshire,East Midlands,Criminal damage and arson,9031
31/03/2012,Northamptonshire,East Midlands,Domestic burglary,2509
31/03/2012,Northamptonshire,East Midlands,Drug offences,1851
31/03/2012,Northamptonshire,East Midlands,Fraud offences to 2012/13,1034
31/03/2012,Northamptonshire,East Midlands,Homicide,7
31/03/2012,Northamptonshire,East Midlands,Miscellaneous crimes against society,566
31/03/2012,Northamptonshire,East Midlands,Non-domestic burglary,3390
31/03/2012,Northamptonshire,East Midlands,Possession of weapons offences,266
31/03/2012,Northamptonshire,East Midlands,Public order offences,1256
31/03/2012,Northamptonshire,East Midlands,Robbery,711
31/03/2012,Northamptonshire,East Midlands,Sexual offences,750
31/03/2012,Northamptonshire,East Midlands,Shoplifting,3852
31/03/2012,Northamptonshire,East Midlands,Theft from the person,795
31/03/2012,Northamptonshire,East Midlands,Vehicle offences,5117
31/03/2012,Northamptonshire,East Midlands,Violence with injury,4799
31/03/2012,Northamptonshire,East Midlands,Violence without injury,4611
31/03/2012,Northumbria,North East,All other theft offences,10115
31/03/2012,Northumbria,North East,Bicycle theft,2086
31/03/2012,Northumbria,North East,Criminal damage and arson,15035
31/03/2012,Northumbria,North East,Domestic burglary,3553
31/03/2012,Northumbria,North East,Drug offences,5385
31/03/2012,Northumbria,North East,Fraud offences to 2012/13,1047
31/03/2012,Northumbria,North East,Homicide,15
31/03/2012,Northumbria,North East,Miscellaneous crimes against society,1127
31/03/2012,Northumbria,North East,Non-domestic burglary,5045
31/03/2012,Northumbria,North East,Possession of weapons offences,852
31/03/2012,Northumbria,North East,Public order offences,3235
31/03/2012,Northumbria,North East,Robbery,537
31/03/2012,Northumbria,North East,Sexual offences,997
31/03/2012,Northumbria,North East,Shoplifting,9227
31/03/2012,Northumbria,North East,Theft from the person,950
31/03/2012,Northumbria,North East,Vehicle offences,6348
31/03/2012,Northumbria,North East,Violence with injury,6496
31/03/2012,Northumbria,North East,Violence without injury,3346
31/03/2012,Nottinghamshire,East Midlands,All other theft offences,12057
31/03/2012,Nottinghamshire,East Midlands,Bicycle theft,2468
31/03/2012,Nottinghamshire,East Midlands,Criminal damage and arson,13503
31/03/2012,Nottinghamshire,East Midlands,Domestic burglary,4401
31/03/2012,Nottinghamshire,East Midlands,Drug offences,3659
31/03/2012,Nottinghamshire,East Midlands,Fraud offences to 2012/13,694
31/03/2012,Nottinghamshire,East Midlands,Homicide,16
31/03/2012,Nottinghamshire,East Midlands,Miscellaneous crimes against society,950
31/03/2012,Nottinghamshire,East Midlands,Non-domestic burglary,5470
31/03/2012,Nottinghamshire,East Midlands,Possession of weapons offences,498
31/03/2012,Nottinghamshire,East Midlands,Public order offences,2566
31/03/2012,Nottinghamshire,East Midlands,Robbery,1136
31/03/2012,Nottinghamshire,East Midlands,Sexual offences,848
31/03/2012,Nottinghamshire,East Midlands,Shoplifting,6819
31/03/2012,Nottinghamshire,East Midlands,Theft from the person,1754
31/03/2012,Nottinghamshire,East Midlands,Vehicle offences,7837
31/03/2012,Nottinghamshire,East Midlands,Violence with injury,6679
31/03/2012,Nottinghamshire,East Midlands,Violence without injury,6066
31/03/2012,South Wales,Wales,All other theft offences,13176
31/03/2012,South Wales,Wales,Bicycle theft,2139
31/03/2012,South Wales,Wales,Criminal damage and arson,15714
31/03/2012,South Wales,Wales,Domestic burglary,4362
31/03/2012,South Wales,Wales,Drug offences,5776
31/03/2012,South Wales,Wales,Fraud offences to 2012/13,927
31/03/2012,South Wales,Wales,Homicide,6
31/03/2012,South Wales,Wales,Miscellaneous crimes against society,870
31/03/2012,South Wales,Wales,Non-domestic burglary,5816
31/03/2012,South Wales,Wales,Possession of weapons offences,439
31/03/2012,South Wales,Wales,Public order offences,4463
31/03/2012,South Wales,Wales,Robbery,486
31/03/2012,South Wales,Wales,Sexual offences,946
31/03/2012,South Wales,Wales,Shoplifting,7717
31/03/2012,South Wales,Wales,Theft from the person,2072
31/03/2012,South Wales,Wales,Vehicle offences,10086
31/03/2012,South Wales,Wales,Violence with injury,7722
31/03/2012,South Wales,Wales,Violence without injury,4632
31/03/2012,South Yorkshire,Yorkshire and the Humber,All other theft offences,17943
31/03/2012,South Yorkshire,Yorkshire and the Humber,Bicycle theft,1973
31/03/2012,South Yorkshire,Yorkshire and the Humber,Criminal damage and arson,19254
31/03/2012,South Yorkshire,Yorkshire and the Humber,Domestic burglary,7654
31/03/2012,South Yorkshire,Yorkshire and the Humber,Drug offences,4785
31/03/2012,South Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,950
31/03/2012,South Yorkshire,Yorkshire and the Humber,Homicide,18
31/03/2012,South Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,725
31/03/2012,South Yorkshire,Yorkshire and the Humber,Non-domestic burglary,9095
31/03/2012,South Yorkshire,Yorkshire and the Humber,Possession of weapons offences,585
31/03/2012,South Yorkshire,Yorkshire and the Humber,Public order offences,2290
31/03/2012,South Yorkshire,Yorkshire and the Humber,Robbery,861
31/03/2012,South Yorkshire,Yorkshire and the Humber,Sexual offences,824
31/03/2012,South Yorkshire,Yorkshire and the Humber,Shoplifting,9122
31/03/2012,South Yorkshire,Yorkshire and the Humber,Theft from the person,1347
31/03/2012,South Yorkshire,Yorkshire and the Humber,Vehicle offences,12331
31/03/2012,South Yorkshire,Yorkshire and the Humber,Violence with injury,8017
31/03/2012,South Yorkshire,Yorkshire and the Humber,Violence without injury,3078
31/03/2012,Staffordshire,West Midlands,All other theft offences,10337
31/03/2012,Staffordshire,West Midlands,Bicycle theft,1317
31/03/2012,Staffordshire,West Midlands,Criminal damage and arson,12691
31/03/2012,Staffordshire,West Midlands,Domestic burglary,3102
31/03/2012,Staffordshire,West Midlands,Drug offences,3659
31/03/2012,Staffordshire,West Midlands,Fraud offences to 2012/13,1166
31/03/2012,Staffordshire,West Midlands,Homicide,7
31/03/2012,Staffordshire,West Midlands,Miscellaneous crimes against society,952
31/03/2012,Staffordshire,West Midlands,Non-domestic burglary,4407
31/03/2012,Staffordshire,West Midlands,Possession of weapons offences,329
31/03/2012,Staffordshire,West Midlands,Public order offences,2521
31/03/2012,Staffordshire,West Midlands,Robbery,458
31/03/2012,Staffordshire,West Midlands,Sexual offences,817
31/03/2012,Staffordshire,West Midlands,Shoplifting,5061
31/03/2012,Staffordshire,West Midlands,Theft from the person,631
31/03/2012,Staffordshire,West Midlands,Vehicle offences,5181
31/03/2012,Staffordshire,West Midlands,Violence with injury,7082
31/03/2012,Staffordshire,West Midlands,Violence without injury,5962
31/03/2012,Suffolk,East of England,All other theft offences,6264
31/03/2012,Suffolk,East of England,Bicycle theft,1702
31/03/2012,Suffolk,East of England,Criminal damage and arson,8677
31/03/2012,Suffolk,East of England,Domestic burglary,1967
31/03/2012,Suffolk,East of England,Drug offences,1709
31/03/2012,Suffolk,East of England,Fraud offences to 2012/13,956
31/03/2012,Suffolk,East of England,Homicide,9
31/03/2012,Suffolk,East of England,Miscellaneous crimes against society,668
31/03/2012,Suffolk,East of England,Non-domestic burglary,3192
31/03/2012,Suffolk,East of England,Possession of weapons offences,245
31/03/2012,Suffolk,East of England,Public order offences,2481
31/03/2012,Suffolk,East of England,Robbery,332
31/03/2012,Suffolk,East of England,Sexual offences,762
31/03/2012,Suffolk,East of England,Shoplifting,4071
31/03/2012,Suffolk,East of England,Theft from the person,457
31/03/2012,Suffolk,East of England,Vehicle offences,4088
31/03/2012,Suffolk,East of England,Violence with injury,4182
31/03/2012,Suffolk,East of England,Violence without injury,3879
31/03/2012,Surrey,South East,All other theft offences,9986
31/03/2012,Surrey,South East,Bicycle theft,1829
