Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4a24f083f10b9b589bb3c7c60c387d5ebdcc1d93e9163a66313a31627f7948e2,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.440137,52.082261,On or near BROOK SERVICE ROAD,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
c3e590c47fa5c36ffe1822fcb7fe028ecc6bd9c31ba338fee4df0f949afda2eb,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.174584,52.054773,On or near MELVILLE ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
face120eab3ac27d32d7aecd63d2119e2512e61d90d246e0ac9ad0747b32b08e,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.416150,52.127397,On or near PINE CLOSE,E01033445,Suffolk Coastal 007G,Investigation complete; no suspect identified
a46f1954696a7c60a211213c3a5e64e4459630c8f50e99b7802ddaabf6b6c55f,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.994260,52.178688,On or near JUBILEE AVENUE,E01030079,Mid Suffolk 008C,Investigation complete; no suspect identified
5edb0b321a5aaba59fc2e2ca1c6e59d4c5cb9b08db1b4f987596f878c5bc2aa2,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.007176,52.342776,On or near CHAPEL LANE,E01030066,Mid Suffolk 002D,Investigation complete; no suspect identified
6349e424b89d4e04b7539a8d4b73d5c7c440c629454e465db77d9d205e2c42cd,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.140002,52.065297,On or near NORWICH ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
7f65015cf73325aa37d8a500ce635383bd22cb2fff90fe50af208f83c5e30730,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.868647,52.092409,On or near BARN CLOSE,E01029907,Babergh 001C,Investigation complete; no suspect identified
adfc7ca4a9d7deec0406ea554a1a6e18722983d765f82332cd9f4758da4b65c0,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.894850,52.278971,On or near SAXON MEADOWS,E01030040,Mid Suffolk 004A,Investigation complete; no suspect identified
a651c8362486cca78f38598edbdf14c7146c16184cda456d586f607943bd41e7,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.431619,52.092841,On or near FOREST GLADE,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
e27b6b7d5c3095e739c686d0ee522ea750925643cfcccca6b8376831baaa36a8,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.193690,52.071858,On or near KINROSS ROAD,E01029998,Ipswich 004B,Investigation complete; no suspect identified
88e7246e563f77f236a409d9cf5e0e0785cff9b609416f40a08646d3b42358d8,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.733529,52.467770,On or near TOM CRISP WAY,E01030257,Waveney 008A,Investigation complete; no suspect identified
5f7c57a39afb57e0a26b961f92b7055f62231869f1c50f7af00c9b11cf989854,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.747006,52.476447,On or near ALMA STREET,E01030250,Waveney 004D,Investigation complete; no suspect identified
97260eb90eb84623b26e10a17c706eb6480174629e6a09845959552e94802d5f,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.168060,52.055560,On or near KINGS AVENUE,E01029962,Ipswich 007E,Investigation complete; no suspect identified
c4b3adfd49c73f27d7b2604c44dbeb32cd9a0660f1d78eb8e953562403695224,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.150569,52.057451,On or near MUSEUM STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
9d69308ef56c49eb0b0eb53a596ddce6889c8e82f55b7d58c2a57da835f5f6cf,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.997591,52.177533,On or near SCHOOL MEADOW,E01030080,Mid Suffolk 008D,Investigation complete; no suspect identified
14ad9466d32eea93b76ecb6be8105fde94579e507fb48f54ae2f9b3a0e04c541,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.697415,52.247849,On or near Petrol Station,E01030123,St Edmundsbury 007B,Investigation complete; no suspect identified
9b50ca63315915f1cf6c205ffd2a332900278583a062a8938391ddbd6c53a42d,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.344367,52.066523,On or near METHERSGATE HALL DRIVE,E01033448,Suffolk Coastal 007I,Investigation complete; no suspect identified
8f167ae35049078256961d9c2e9624569c6c71f062dbbdbaf0a9f9c16bee1d49,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.431501,52.077772,On or near CORNWALLIS ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
60503f6aac8d1532605145efcbbf36e3d26fba1ac53e15442134968a85eb7f82,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.161088,52.007243,On or near FRESTON STREET,E01029873,Babergh 011B,Investigation complete; no suspect identified
4e0b494658e4b39f73e018da829977fa7eadff7eb8fcfbfffe566bfff5e11f15,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.703158,52.483874,On or near CUTLER ROAD,E01030267,Waveney 003B,Investigation complete; no suspect identified
5934e704c818d628e4c846672f1b27c982febb4ff5083095f6a2776cde50f4d5,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.389685,52.244177,On or near MANDERSTON ROAD,E01029949,Forest Heath 008B,Investigation complete; no suspect identified
2079c128b1c84a9419b0812c106f2aeac4f5c9f2759428dfccdb2de3d9155d15,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.730033,52.044865,On or near CLARENCE ROAD,E01029915,Babergh 007D,Investigation complete; no suspect identified
e2edfc7a60f9406499a33f0560ff02d2a6607665d5af30f1d078db8357d8a117,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.113529,52.056052,On or near WOODWARD CLOSE,E01029878,Babergh 005B,Investigation complete; no suspect identified
9c243fb5eec3176a7b133dc342451778d8a1b9f4190745debc55c3a91c3a6587,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.162786,52.055046,On or near GRIMWADE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
a0e66939d60fc4cc73065e87ffb8014294c8cdfd4761725fbf3c6229e053b408,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.354651,51.965035,On or near GAINSBOROUGH ROAD,E01030167,Suffolk Coastal 015D,Investigation complete; no suspect identified
145aec25e415e27716c77362f8177df1944c407eb5a0c339f805853847131c1e,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.748771,52.250980,On or near BROOMLEY GREEN ROAD,E01033044,St Edmundsbury 005E,Investigation complete; no suspect identified
edcdddba6546274474a7ddacae5510b49ce6972ba4bf610f781401dc0c6f1eda,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.160326,52.057396,On or near Theatre/Concert Hall,E01033129,Ipswich 007H,Investigation complete; no suspect identified
7666263dd701539dc3033a969ecfdf284d7e851d81898209bc96459f0fc3423a,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.751062,52.483595,On or near CHURCH ROAD,E01030246,Waveney 004A,Investigation complete; no suspect identified
53f04fb2c9f4d03e45a7cf091d793430218f16f7c198b6c32e157ae1225434b3,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.496528,52.373838,On or near THE POPLARS,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
48d9ecbb2ef4acd138f30f236bd1334be8fdd1c12c013ebf47686bf9a4296ee1,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.626813,52.443969,On or near HEATH ROAD,E01029927,Forest Heath 001B,Investigation complete; no suspect identified
c9ed5c1382b8155c536037303d419bb8d12ee38f462893805981db9d44f724eb,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.485464,52.370178,On or near THE STREET,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
aa98bc017286a49ab37753027c4d6915ba11dbe8550a70fffb36c402312b4a71,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.322267,52.094554,On or near SUTTON CLOSE,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
1a7680d91efb2ef522847b3f4cdf02a8a7fb2a9e7c5ff4fd5e6286d023c04604,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.339842,51.970304,On or near CAGE LANE,E01030160,Suffolk Coastal 014A,Investigation complete; no suspect identified
2baa01f5670afd9bf9664ef428c5ecca3c9fea760b5d6f33dbca412096c51bf4,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.711817,52.261521,On or near FORNHAM ROAD,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
f6e88ba04914f646a71abae7238e8b5afdb9ee7c9d9768b1488c14c77294c0ec,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.500075,52.337015,On or near BRAMFIELD ROAD,E01030245,Waveney 015D,Investigation complete; no suspect identified
9d0443c044ef8489534c7eeef0a04ea70cad16d91435eb0236152409650aeae9,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.201006,52.050496,On or near BIXLEY ROAD,E01029965,Ipswich 009C,Investigation complete; no suspect identified
555dac2b5a1ea270406bed748951bc93b8b6c3abdd4034525c25ef8d7deafbb4,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.791255,52.203705,On or near Park/Open Space,E01030138,St Edmundsbury 004C,Investigation complete; no suspect identified
27a40c549fc111757d88754e4a596dbbcfb5454f2207fc8eecfe2058fe1a4ed1,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.031082,52.072809,On or near FLOWTON ROAD,E01030042,Mid Suffolk 012A,Investigation complete; no suspect identified
0c395cf538a3a0d4c6c95db1820b657d2d9000929835e1955b8a2e73899e460a,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.425184,52.080519,On or near YORK ROAD,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
79b7932b32e931d82dfd04ca35a8fff9dfd8d1d2834de2d018d92439b65c917f,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.132095,52.044075,On or near EMMANUEL CLOSE,E01030019,Ipswich 015C,Investigation complete; no suspect identified
87af6050ee64fe062eded1d2157da3d97dc63869aa2771fcd3e22b40e06d38fb,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.116160,52.033067,On or near GREEN OAK GLADE,E01029908,Babergh 005D,Investigation complete; no suspect identified
ddb5ce17c6fcac4069e7e05e77064f59b9207d05fd20e74b7729019ecc832737,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.405501,52.245169,On or near Shopping Area,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
00751e269b071f407db31d6265d3a8c1f6407fea4532d0000a4bff1145fe7f0c,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.112266,52.046903,On or near SWALLOW ROAD,E01030014,Ipswich 013C,Investigation complete; no suspect identified
5b0fe4fa891c9a8b84b8c33cbe7dd380a8d89478b1d4839f33a4bda1186343c6,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.865276,52.366368,On or near RUSHFORD ROAD,E01030095,St Edmundsbury 001A,Investigation complete; no suspect identified
a12d8b7643e3cd7d52a96bde12ac4b06ed1595f1cf0ec6a783c9bc7fee6c6ed5,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.713085,52.252535,On or near STATION HILL,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
fb35873c8be65dd6ccfd374725395e646d2229ce9e2eb679efb3c2e4c9a82511,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.712709,52.246132,On or near Parking Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
c541c177990a795c81d2bfc7a381c0787a8626a6c967347ba73d3abe26659b66,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.118365,52.114744,On or near CHURCH LANE,E01030046,Mid Suffolk 012D,Investigation complete; no suspect identified
bf07d3f6b11caefeb327549bf85cd3a37b00cd4d6f602772f6e896dfb8dd5954,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.197184,52.027422,On or near LOGANBERRY ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
c3dca4957956f5a607aecb21ae8c2975c0168c15383c5a506b45a4716b83e165,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.587376,52.246159,On or near LITTLE MILL LANE,E01030098,St Edmundsbury 008A,Investigation complete; no suspect identified
