Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
2272c592684d49356da72a8cae702f1706be9ec666582c839f9c0d40c82b889e,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029652,51.714750,On or near CHESHUNT WASH,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
b166c3e190a629f9e549b63e005c371815d41062098e845601f9d083f40a4abe,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030977,51.713918,On or near HIGH STREET,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
d0f6589359d45c651f46537747b0794fdc4f3d8d4d1496aa8835062a056fb3e2,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038537,51.684064,On or near CREASY COURT,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
a5e5afc6d7b0db753ae4224ef55d961d59bd31ef9e8ec44301178d9e73391f4c,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027385,51.696997,On or near GARLAND CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
265e86b321ebf1636c5a5fa84e54d3841339cca90159c22ee4c840e694361d0d,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035114,51.699303,On or near WALNUT TREE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
bdb96047104a1d85d38b61ab976756b2a2abc5d99f7de2393b761973a6b55052,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027930,51.701754,On or near GIRTON COURT,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
16bb653ff3e09007873e4cd9e043c76a3446fcc3fc180c5f85e3a2367cf1890c,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032000,51.699691,On or near KING ARTHUR COURT,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
2ee8d205ecc2dc2aee1cf83886b3ba1eedb80583b760d7a8fb399c36a45df125,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033943,51.713608,On or near BROOKFIELD LANE EAST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
5d60598896bc2c076587880633cb3bd82fc0c6111852b99eb5251622f63d592d,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035114,51.699303,On or near WALNUT TREE CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
98bd0f59bbae69d99e7715e2ba98034b61c619c649111e4a8c3dad32be322140,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043279,51.712307,On or near CHADWELL AVENUE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
12bfdf08efa4d3bad24f687bf4657c15ed04c5515388a41b1d250444c66e6658,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
142417eb4de80a7b10ca239b46e4b7d30b4abe0f151ed4fb2c57b9d110cc275b,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.092062,51.713658,On or near BEEHIVE ROAD,E01023313,Broxbourne 007C,Investigation complete; no suspect identified
ad8de6c9d2e272489e040ab1cbbd708a8747f36f4a47246468a0f5132a0bee1c,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040172,51.701474,On or near LITTLEBROOK GARDENS,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
6b767c6c317c768b58c8ce964cbec8667309baa1e075dd9f7c3f23eb182a9280,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032211,51.686494,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
973e0c3dcebc8ea84a89f4ba525955d4a9c7ab7e5f8291b54f8da37837abf9d2,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033271,51.683059,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
