Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e96340e9edaacefa94ce6c1af9f8a106846b9213ce3bc3e3e379699ecaf58d1a,2014-04,Dorset Police,Dorset Police,-1.873333,50.810319,On or near Parking Area,E01020394,East Dorset 008E,Investigation complete; no suspect identified
77c230a1ca5d1050c9a29801c9fa7724c8d2dbf6433e55115eaf915fb4c12ab7,2014-04,Dorset Police,Dorset Police,-2.454267,50.647876,On or near Shopping Area,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
f658b0cbf0a3d63228c78c8d22588624f129bcaae7ed737238eef1da3896d4a8,2014-04,Dorset Police,Dorset Police,-2.278389,51.051347,On or near PURNS MILL LANE,E01020450,North Dorset 002B,Investigation complete; no suspect identified
0cc4053cff0b5993ffa69a651ab05a36d7f9233aa0993dfbc578e7c242fb8b32,2014-04,Dorset Police,Dorset Police,-2.278389,51.051347,On or near PURNS MILL LANE,E01020450,North Dorset 002B,Investigation complete; no suspect identified
47cec781f37513b20c1056b4286ffb392cf935513a394e95c044fa9a7bdfb271,2014-04,Dorset Police,Dorset Police,-2.375494,50.698687,On or near HIGHGATE LANE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
4144ec521b44aa2c725652c4b6d17a88ed662019da108ece0866445b77f08a0f,2014-04,Dorset Police,Dorset Police,-2.189303,50.846950,On or near FAIR MILE ROAD,E01020452,North Dorset 006B,Investigation complete; no suspect identified
1ca880572da3487a5bf0a0cf48fc1d538909436f0abeab8c099d65a3be2cec35,2014-04,Dorset Police,Dorset Police,-2.259272,51.030835,On or near SHAFTESBURY ROAD,E01033156,North Dorset 002E,Investigation complete; no suspect identified
560031545993456b00b2533bb27860bff4b3cb5b57de265e4064757a7ae21006,2014-04,Dorset Police,Dorset Police,-2.452603,50.601318,On or near REDCLIFF VIEW,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
54cd7072b90de65abe3001a653b02dadb80306ceea05d497f6acc1e55306910e,2014-04,Dorset Police,Dorset Police,-2.422398,50.712196,On or near STINSFORD VIEW,E01020518,West Dorset 010A,Investigation complete; no suspect identified
20e55ead243a44a341f1edc90ea32bbc0d053e57ea92eff4f230396ac5c4872e,2014-04,Dorset Police,Dorset Police,-2.448593,50.533238,On or near RIP CROFT,E01020566,Weymouth and Portland 009D,Investigation complete; no suspect identified
3b94b02d549e614eb6f83191dd9e3aac69c7cafe1e42a9154537f0b517ace857,2014-04,Dorset Police,Dorset Police,-1.957684,50.617964,On or near HIGHCLIFFE ROAD,E01020480,Purbeck 006C,Investigation complete; no suspect identified
8a264e105853077b0a6bcc15d0d170ed8cb3505eeae8ab29a538b57d1a717264,2014-04,Dorset Police,Dorset Police,-2.035317,50.735879,On or near PEARCE ROAD,E01020475,Purbeck 002E,Investigation complete; no suspect identified
ec3b0505625df2827efbca453c2cbeee6739ae3ebe504b7aa37e476b4b10d4df,2014-04,Dorset Police,Dorset Police,-1.785598,50.731173,On or near WILLOW WAY,E01020367,Christchurch 006D,Investigation complete; no suspect identified
