Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7c6ebd71cbf95d1652ee27fd180e9e7aa154615575e8844de4b6bb15438c61c,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.289582,52.648749,On or near RACKHAM ROAD,E01026800,Norwich 001D,Investigation complete; no suspect identified
2472b511cfc98aab515f922ff1a53cb3b9c0f15e86bc5c24a0bdbe96b128a338,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.544992,52.639037,On or near MILL LANE,E01026498,Broadland 018B,Investigation complete; no suspect identified
27573f049e9d16b502595b921bd50c38213239a47f05bd8e9406f77488696110,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.724331,52.607831,On or near STONECUTTERS WAY,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
086b90e14c30d306ecc963ee06b507926d50806468ee411d6be6545acb8fc5a0,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.732512,52.594594,On or near BARKIS ROAD,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
96d95a495ecbd878fc333d22bf773d7d3a6ffa149ce8881187ab179cb05ed2ba,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.738448,52.419017,On or near ST ALBANS WAY,E01026465,Breckland 015A,Investigation complete; no suspect identified
95da58d9e56736307f7d8db34a7298495163c9a7c98b99a841ee2fe50fe77b71,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.248868,52.752270,On or near STATION ROAD NORTH,E01026719,King's Lynn and West Norfolk 013C,Investigation complete; no suspect identified
37233b3239dd0e3a17dbce99debb6ba21504f8012cb3410e28ac3b590d6aabf3,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.235903,52.633905,On or near BRERETON CLOSE,E01026796,Norwich 005F,Investigation complete; no suspect identified
e48b74196ddeb90b91f8ddc1bd637cdd002319e1097c00aa96b7d95aff99456c,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.298827,52.634066,On or near HANSARD LANE,E01026823,Norwich 007B,Investigation complete; no suspect identified
74b15a44c9ac9b4a2f0504630db2c8f5201e8f44cba11c95fae526afc8673f89,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.248868,52.752270,On or near STATION ROAD NORTH,E01026719,King's Lynn and West Norfolk 013C,Investigation complete; no suspect identified
dd197740062a1e8bf88fc757b6318592a70b32e12b9540a3d5ec17776f3d5913,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.729109,52.536469,On or near MANOR ROAD,E01026588,Great Yarmouth 013D,Investigation complete; no suspect identified
