Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7fbf101c97fb2cb45e823deefe312976f9dea1bfd37a3c3e584091505d54a086,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048723,51.713612,On or near GREENBANK,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
8c5fcf6ccd53df6f8a6421433f93f873b4ce39ed5bf4104f056b483d2f6f76ee,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023875,51.685554,On or near ELEANOR CROSS ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
e06ac890db7c35764d8185e76b7aacea7ab389ae8115c3eb12b3b2e7303e12e1,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
cf2b0b37db21ba25bcaebcc9dc765615fdb2d5a44ca06a13515d2d0b0c0f8738,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045364,51.710948,On or near THE GREEN,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
5d255336b9fd5cbbbe7826e2ce24a312a9d99b6972ce576f21f912d658d50530,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.067359,51.720286,On or near HILLTOP CLOSE,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
985b9156447f1865c23e2453caa951cb024420c3190b6486505e21b867ce28de,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031306,51.717008,On or near HERONGATE ROAD,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
4ea0661df352e62c1407a2680ef398b5f21b4987724910ccd4ab46e931067d8f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019704,51.683343,On or near LONG CROFT DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
3fbbed4708cc437ad34fa6852afd829b580e2ede3779641801c0b915a3984191,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043132,51.702620,On or near COLLEGE ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
fc063d2f03e2a3a9b65a66d4dad1b5a9de2816e397b17ecec41e543a8fe84fdb,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032104,51.723640,On or near VANCOUVER ROAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
e268798885262bf57984c34afa8124e32f17a49d7ad74b9270f568383928eab3,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036931,51.707121,On or near HIGH STREET,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
de43a7ba1a159b6c55824bc8aa86f1f773112056135aa9d9d574d6c094a38800,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036906,51.688992,On or near LEVEN CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
acf139f088e06b1f1c5d7cfd195634d4688d0d62c925d63ff9e5cc856e84bc86,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
b556701c38f0bff44aa49ea41207d9599e9bf12a06806b11607cc46d2e2bfccf,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.058504,51.711031,On or near CRANLEIGH CLOSE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
86ae7e95d56f78f5c513767968077af8bf35850d7172c4864793ea4b95f31557,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018609,51.684889,On or near QUEEN'S DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
4cd0be7477e12e9713662af05aca97ae07ad39430cd31ec38c3caba5208db907,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044776,51.707458,On or near DEWHURST ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
89c7dc7feefe2002195bde5fc414dab857eaf83463a9a6661df81910e414730f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
c259d0798f69de386f23969a6532e2002ba38d6961b090a5b411d1b55f88b441,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
61b2484e78ec440a643c1aabe146d91db792167fc52bfa87247b7db025e97fa6,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.015614,51.683913,On or near Sports/Recreation Area,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
b2f4589fd1f7de7bd93f0e75fe2ac86e37171aadbc02f226251cad221f714fba,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053882,51.706063,On or near Sports/Recreation Area,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
b9ddd193c7b60fdb62e9e0461aa07a58fd3308e48cc094775962b09801ebf88d,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026581,51.690527,On or near MARSH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
5eb30f89d4fd20b1fcae4f4c6d2a33811e0839fa182db5604409c8a32ede9740,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040651,51.686024,On or near BROADLANDS CLOSE,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
b8353a3547b96b4e0a83f354b18d026569b157bdd7a748570d970e0c3849d3e0,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037456,51.708370,On or near Supermarket,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
