Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01d0f8b07becadd73c08871bb5a7fe83212fe5cc9dda7294b84b097bf6671286,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.130147,52.052509,On or near WALLER'S GROVE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
a7b38a4d5e9cf4ab8979ab0aa9fcf96c510eb58271536753ad5cc7367f0ef947,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.740040,52.476640,On or near STEVENS STREET,E01030265,Waveney 004F,Investigation complete; no suspect identified
2317bfd1745d16e52558a903f39d3aeec6c721d737b94774be3ffcd85c341bfe,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.699517,52.455780,On or near MAYFIELD ROAD,E01030236,Waveney 009B,Investigation complete; no suspect identified
9448a9dae70ae14d045a946df54ef20ac79b0a20e54a3aaa7ac53c62c1443430,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.335191,51.965723,On or near CHESTNUT CLOSE,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
39f706705f7993e8d2272855daf833373618ccba24b942d92735f414570ad0a4,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.137739,52.053422,On or near BROOMWADE CLOSE,E01029985,Ipswich 010B,Investigation complete; no suspect identified
9dcb2c20e95a7a7ddc2a9a5c3e0020022336327ad2e46baef27f0f821a137112,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.675192,52.222564,On or near THE OAKS,E01030119,St Edmundsbury 008C,Investigation complete; no suspect identified
99b6cbc32b7a999de8dc5934242b65e44fb5551d1e9307b74700dd8233de6806,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.992747,52.196452,On or near Sports/Recreation Area,E01030076,Mid Suffolk 010D,Investigation complete; no suspect identified
d43053c0642a20be88d48966b0ee8b36dc6c67a2c8a527de74754d4bc0ca0bfe,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.090606,52.038471,On or near CHAPEL LANE,E01029879,Babergh 005C,Investigation complete; no suspect identified
cc426fb1e457b148353dc876f0a4607825807f5ac3a3b7b396e9c075d5a25a7d,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.802165,52.103272,On or near BRENT ELEIGH ROAD,E01029898,Babergh 001B,Investigation complete; no suspect identified
9ffabc58857bbab183e1eadf4879858cdaf7f3937f909a8467d8530a343fc7e8,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.150299,52.044084,On or near Sports/Recreation Area,E01029970,Ipswich 012C,Investigation complete; no suspect identified
262c71f78f6738f64e22ccbea4f2993de4d6304e43051aaaf62d224b2abca649,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.153387,52.056035,On or near FALCON STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
7dd640f789561fe74203dcbab31957b0a27faed8b9c4eb7708a100929bc74a22,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.951585,52.022153,On or near OVERBURY HALL ROAD,E01029902,Babergh 009C,Investigation complete; no suspect identified
63d1e019279d0c956508fcbb4f440aef2f10daa14c271d4c839636fd64943a1c,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.730532,52.453941,On or near Supermarket,E01030272,Waveney 012E,Investigation complete; no suspect identified
a0a505980c1a255d3791e7bfac73c8c60d4e28346b7bc6d67e757304ff1fe815,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.741252,52.465934,On or near ST LEONARD'S ROAD,E01030256,Waveney 007C,Investigation complete; no suspect identified
c6fd8941559656e205ba2204ddbd4f50a65998c8367bf1d1505d98aa10b82536,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.901546,52.261171,On or near ASHFIELD ROAD,E01030040,Mid Suffolk 004A,Investigation complete; no suspect identified
ddb181c6b30afd6747fa0ac1d007bef88f4092bbb4a941baad6fbaeaed8a24d7,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.337064,51.951935,On or near BEACH STATION ROAD,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
7f0190eb2124162f1b2c76028046c8a87b9d6c40a7d2a91ccd432f944a234c1d,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.176322,52.055626,On or near TENNYSON ROAD,E01029961,Ipswich 007D,Investigation complete; no suspect identified
6919109398029a656e8c4fba0736b50f654589bbaae868923d6db78ea84428f3,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.132124,52.063033,On or near MILLERS VIEW,E01030022,Ipswich 006A,Investigation complete; no suspect identified
d8d06fd1c4f7bddeddbaf939fe0b0035ffa1310bf82d244734200473736ec622,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.335191,51.965723,On or near CHESTNUT CLOSE,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
894d029b1bf9eaad4fe17d65d59d9a33bc39fbc1c306e3bc1607489ac381c316,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.197999,52.056802,On or near Further/Higher Educational Building,E01029965,Ipswich 009C,Investigation complete; no suspect identified
aac89cc9e5b90bb980274f30ee9c007d8294a84f2e9404e7b3c478839b6d2654,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.578990,52.207787,On or near PROSPECT PLACE,E01030188,Suffolk Coastal 004D,Investigation complete; no suspect identified
c0bcc9c71d907496359d8a9bcae2fd9aae36ff36abfaae1ebabe3f05fe845833,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.299326,52.089803,On or near OLD BARRACK ROAD,E01030185,Suffolk Coastal 008B,Investigation complete; no suspect identified
b02a1985104a1eeafe67c7646aa51c4d2072ddd563b635e7f89d3b92424740d2,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.737700,52.036449,On or near CORNARD ROAD,E01029918,Babergh 007F,Investigation complete; no suspect identified
91afd97eddcfcacb228d46331542429f98197cb678678fc78df8b5ca238e8b50,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.740967,52.047416,On or near SECOND AVENUE,E01029912,Babergh 007A,Investigation complete; no suspect identified
4284e93e8ca6c3a940ea106e9d911912619ad892326c593e2c0f88f2bac19414,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.506476,52.345329,On or near QUEEN'S DRIVE,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
d32eaa991bedb58af7034f31018787e10b76254b9f158df0eb2c6714df0f8fc9,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.401189,52.242091,On or near HIGH STREET,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
20e03439e17ce26303e6e5518c2fd86b33035f53c524cd286ca957f87519a597,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.708866,52.477650,On or near CALDECOTT ROAD,E01030269,Waveney 006D,Investigation complete; no suspect identified
1cc17b9953a523af81f8139abe16b1c8c7cf6dae4212f27a3539e06c41660201,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.251871,52.058474,On or near THOMAS CRESCENT,E01033444,Suffolk Coastal 010H,Investigation complete; no suspect identified
e192ab127c5d4ce10a82d8b650923cef169e00b446a5d666575d596a52adb33a,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.147190,52.059610,On or near Supermarket,E01029988,Ipswich 010E,Investigation complete; no suspect identified
9639a377ca8a24734a1aa7a9e7ac744dde5b8494e6a3a8646e985e9e63a87351,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.548997,52.171088,On or near NUNNERY GREEN,E01030150,St Edmundsbury 010C,Investigation complete; no suspect identified
e9fca44be5ed0ff48d5f7b9289220df23e4f44f781a7b0c8f4ef298ed9c96df6,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.321801,51.960885,On or near FERRY LANE,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
d533ee6ed7f203232baae337a7e92df5ab2346f0260c1659b18121f2fde5fe6e,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.534945,52.337356,On or near Petrol Station,E01029945,Forest Heath 003E,Investigation complete; no suspect identified
4273ce8e46d8ce614fea0b7fd3468e9ff920c7ccb7488c971f32e45eaf69b962,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.510931,52.342590,On or near ST ANDREW'S STREET,E01029947,Forest Heath 004E,Investigation complete; no suspect identified
6577fee6e90922b26c284b82ed27d70d15c6abdf00fabaeea3733f30d7261d61,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.749965,52.471568,On or near Parking Area,E01030258,Waveney 007D,Investigation complete; no suspect identified
9a386cb611bb3dd5780a0e55adca1ebe1fa8001e9e22fdef00a98cb0c5162b91,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.728470,52.446972,On or near WILLOW ROAD,E01030272,Waveney 012E,Investigation complete; no suspect identified
bfe0855ed042001bb56055c70947e4d795f3698787b6c91a9fe8e845a8f13e59,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.332310,51.946332,On or near MANOR TERRACE,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
f0f0079ed13e580fa7da37ca8f104581d04bda3067f402f1b17842df7a59432d,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.730227,52.040633,On or near NORTH STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
ee949185cb9338731a9781342842a3e05dfef7f6e5ff35269c0c5dccd02dc280,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.164003,52.052045,On or near COPROLITE STREET,E01033126,Ipswich 011F,Investigation complete; no suspect identified
21ff3a8b611946d4d45738d51d975f062d35fd80c3e2f678f198345d68512442,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.748666,52.240038,On or near BOLDERO ROAD,E01033050,St Edmundsbury 005G,Investigation complete; no suspect identified
f2df6d9899ac83c85e158e0f457d5a052a06d726cba4b6c50199396356d35c89,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.717559,52.456716,On or near ASPINALL CLOSE,E01030274,Waveney 008B,Investigation complete; no suspect identified
9f0b3b25cb79f4c21313ca9ff4b498d720c941701f5a4fe88a38e88f4cbcac11,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.711588,52.421635,On or near DOWSON DRIVE,E01030253,Waveney 012D,Investigation complete; no suspect identified
f93def8da1795cebfe7b22f4d05bac4d9a76207c5fc0d93b3510afc0883dc4a8,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.155435,52.047211,On or near WHERSTEAD ROAD,E01029968,Ipswich 012A,Investigation complete; no suspect identified
d4d9b170fb6a2bab85fcedc8ba8d1e7862fc63cf245b4afc4ab79c39fa36f813,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.387119,52.262690,On or near Pedestrian Subway,E01029953,Forest Heath 006B,Investigation complete; no suspect identified
c7ad24f9584ee59209d3ba503619bd777033c5ee100ec8b1b6154a06bf11c17f,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.132389,52.067028,On or near Supermarket,E01030022,Ipswich 006A,Investigation complete; no suspect identified
7b83075ce73ffab9ccffd3612f341b4d6d2114b21a2c761541610b1dd65b8b09,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.675254,52.335251,On or near LONG MARSH CLOSE,E01030284,Waveney 014C,Investigation complete; no suspect identified
a75cf6fa6bc38023dde70bc2193ff43c09a2bd2f7d0e224891284ac8a246884c,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.100796,52.039894,On or near A1214,E01029908,Babergh 005D,Investigation complete; no suspect identified
