Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
76672af3d77f1f82178b79574ac62f1ba4131dcc8a9362d83acb278a08f70037,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287445,53.706852,On or near Petrol Station,E01025356,Rossendale 004A,Investigation complete; no suspect identified
b9c8c132c3be9dc66e3cef0587794d661cdde0c1bce22c222da0940381573b63,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287445,53.706852,On or near Petrol Station,E01025356,Rossendale 004A,Investigation complete; no suspect identified
6cbde7c027ee8297f6c838e7e2e63c2e92d70ac9c761159243591b6a345f76bc,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.283989,53.704389,On or near Parking Area,E01025356,Rossendale 004A,Investigation complete; no suspect identified
434b8c1a4d9d360b2d85b299434f614dd1154b2433e905e7067bc813d401593b,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287212,53.706008,On or near TAYLOR STREET,E01025356,Rossendale 004A,Investigation complete; no suspect identified
cfe9d88afa0cdbd291fca2c7e0d1dde0b6fa4d38c436ffed4d624e78d9cf0ff0,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286285,53.705651,On or near KENYON STREET,E01025356,Rossendale 004A,Investigation complete; no suspect identified
6c01fd7ae67fc2d675cadef5fe054d4cdf25a336da64d8cb73819de1a97f0fd9,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286285,53.705651,On or near KENYON STREET,E01025356,Rossendale 004A,Investigation complete; no suspect identified
97712840dccc766ccb38c57faed8126f7960700313fb8c43a73e18bc223c3030,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.290533,53.717550,On or near BURNLEY ROAD,E01025355,Rossendale 001A,Investigation complete; no suspect identified
c6c981928c3e2739b60465165bdb0d03cef9559a3ef75eefda6c7615fbb56bdf,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.283685,53.744755,On or near Park/Open Space,E01024874,Burnley 011A,Investigation complete; no suspect identified
6c1d60e52c9a531749d37001a17d530935dfeef35b02834182ca209f02f345dd,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.290549,53.735247,On or near GOODSHAW FOLD ROAD,E01025361,Rossendale 001B,Investigation complete; no suspect identified
ab0fe116eca22d214f6ceb474787c1183ac4fb34adf96de8c68c96c9ac83935f,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.290549,53.735247,On or near GOODSHAW FOLD ROAD,E01025361,Rossendale 001B,Investigation complete; no suspect identified
aed4e559567770c185ec3d97258108583506a5fac8d313a98eba9f928e0d2714,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.290549,53.735247,On or near GOODSHAW FOLD ROAD,E01025361,Rossendale 001B,Investigation complete; no suspect identified
08a4f78344c4b7a35d276f3a36d7af797009b313aea1e1d82381346a002a2e16,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287461,53.729206,On or near SCHOOL STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
1cb03302fae300b8c0e55310a1ed0b77e16dac7ace2397d3df996827973735d1,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287087,53.727696,On or near TURTON HOLLOW ROAD,E01025361,Rossendale 001B,Investigation complete; no suspect identified
6abb7146d6ebd1aafbf4ce4e31d22935e2d7d7bff7055e1cdb21523daa3b6b98,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.282861,53.732659,On or near ULLSWATER WAY,E01025362,Rossendale 001C,Investigation complete; no suspect identified
7c7d51b47cc007e258017e08cd1a5b22eaf03c1d0c11089ec40647b3bd1201da,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286895,53.728497,On or near LAWSON STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
