Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
14512fac7a8fbc517e8201502b9dc68d97e061227396b9491b0402dbda41b80c,2013-09,Essex Police,Essex Police,0.712369,51.536949,On or near CLIFFTOWN ROAD,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
8a3adb68b320c3eb69e6309900ad3510035c580b06c180a74e09df499c1e4f8b,2013-09,Essex Police,Essex Police,0.911100,51.862410,On or near DARWIN CLOSE,E01021640,Colchester 018D,Investigation complete; no suspect identified
70a015cf3af9e43b6069e1476d264e4105f79d9f87fa096b179bbfe101145f3a,2013-09,Essex Police,Essex Police,0.942969,51.875728,On or near VALLEY ROAD,E01021736,Colchester 017A,Investigation complete; no suspect identified
b68deacaabc4958db403b3d5a319758a7e6bacaaddc55189bbe45e45c7c3aa7d,2013-09,Essex Police,Essex Police,0.474330,51.737563,On or near VICTORIA COURT,E01033141,Chelmsford 010G,Investigation complete; no suspect identified
9b100017b6362f64bb0238bff46cd4660c630e41d6eb7b9ffe37c417782fe5ad,2013-09,Essex Police,Essex Police,0.701377,51.536897,On or near ST VINCENT'S ROAD,E01015853,Southend-on-Sea 015C,Investigation complete; no suspect identified
e289f937d74622dd5c0731af5ffd3533053643aa9bebb7625f8b7a6cb4caa6b2,2013-09,Essex Police,Essex Police,0.831180,51.888321,On or near WOODRUSH END,E01021718,Colchester 012A,Investigation complete; no suspect identified
7c960927784ef47d34cf4c6bd9d089ea7e78e86b38810a33565b251574ef3b1c,2013-09,Essex Police,Essex Police,0.668396,51.673329,On or near CHERRY BLOSSOM LANE,E01021902,Maldon 007F,Investigation complete; no suspect identified
7cbf0dfb0fcedb01d161f233f7d299dbe3be710ea224abc9ef3125bb3e13c6a8,2013-09,Essex Police,Essex Police,0.893012,51.922080,On or near BOXTED ROAD,E01021680,Colchester 004B,Investigation complete; no suspect identified
216d320b56d0aedbb077ffb19eff18208d9bb6f5c548da5e1693e38191d9c47a,2013-09,Essex Police,Essex Police,0.517688,51.625288,On or near CARLTON ROAD,E01021595,Chelmsford 021C,Investigation complete; no suspect identified
20ff15a6f218dd2617f629108adea3ad4c179fa63070d0d0e26e662f260045d8,2013-09,Essex Police,Essex Police,0.091046,51.717457,On or near B181,E01021741,Epping Forest 002A,Investigation complete; no suspect identified
fdb7475c95d0855d8ffc61413d7eff4b0a7b806d4e4d20467e8e7aa8f8b83af8,2013-09,Essex Police,Essex Police,0.121283,51.705260,On or near WINCH VIEW,E01021761,Epping Forest 005B,Investigation complete; no suspect identified
4a8a2d8fbd5ced00cdba0d1123ca25c68556f80cf6eca7f58737b37c87248e0e,2013-09,Essex Police,Essex Police,0.467419,51.724255,On or near VICARAGE ROAD,E01021580,Chelmsford 012D,Investigation complete; no suspect identified
ab78d4e5e3341f212c19851c72f0f8fb9190d39cee3b6d172baba9d3769e842d,2013-09,Essex Police,Essex Police,0.712497,51.540310,On or near Bus/Coach Station,E01015895,Southend-on-Sea 010A,Investigation complete; no suspect identified
a2e740293841987ed33bb2850da17f52767609816c01c8165d295b8bcb866f71,2013-09,Essex Police,Essex Police,0.487039,52.041649,On or near THE STREET,E01021414,Braintree 001C,Investigation complete; no suspect identified
f21391a5b2f1ba0ad769dc13b69f62f62453b1f77839b249660ca42a0ed922f6,2013-09,Essex Police,Essex Police,0.732557,51.548946,On or near RYLANDS ROAD,E01015870,Southend-on-Sea 006B,Investigation complete; no suspect identified
a1ac8835bd7d9fb1e1d46bf7ffd93dc17f1f291b727dddc19aac8723011ab6cf,2013-09,Essex Police,Essex Police,1.237391,51.836662,On or near CRANFORD CLOSE,E01021987,Tendring 008A,Investigation complete; no suspect identified
3904fa66e9e78bcdf38f2708ebbd88354c722963118db45d3c9c00210ed6d7da,2013-09,Essex Police,Essex Police,0.504052,51.566305,On or near Supermarket,E01021316,Basildon 018D,Investigation complete; no suspect identified
cf9063e3e06e1eaf1ef7ebcf08a519f0b8c90a9e8daae1dd12140a7a217bb260,2013-09,Essex Police,Essex Police,0.117296,51.785653,On or near Petrol Station,E01021848,Harlow 002E,Investigation complete; no suspect identified
7984a8c7c1093c5c72f3c2132ff0aeb5ce4b81bc20876b9e6d636b000c89948e,2013-09,Essex Police,Essex Police,0.409884,51.808768,On or near GRANGE ROAD,E01021550,Chelmsford 003A,Investigation complete; no suspect identified
3515484ac145f89a262eba4d3c2b0a362ac6f5876f7c7a231e89e2c60dc792d2,2013-09,Essex Police,Essex Police,0.929287,51.920948,On or near CLOUGH ROAD,E01033720,Colchester 002F,Investigation complete; no suspect identified
cd37f55be88f98d088277b44896cb7df28c445a4a30f85b5d0405b99aa7c3b9e,2013-09,Essex Police,Essex Police,0.899199,51.888534,On or near TRINITY STREET,E01021649,Colchester 007D,Investigation complete; no suspect identified
52396292426bdae17fbeb7f76cd32a5cceed1146139b83ff256ca410c726464f,2013-09,Essex Police,Essex Police,1.161613,51.856255,On or near MILL LANE,E01021973,Tendring 007A,Investigation complete; no suspect identified
99b624a647d2a0106f3cb58648c55496ea9575d758124fb101cd6d4e66d165fe,2013-09,Essex Police,Essex Police,0.538620,51.616932,On or near RUBICON AVENUE,E01021337,Basildon 007B,Investigation complete; no suspect identified
bce2b6d0f6e9a388488b52716e23c736ae6b6fbc748451241d82f68c11115bd5,2013-09,Essex Police,Essex Police,0.553495,51.574637,On or near MANDEVILLE WAY,E01021514,Castle Point 001B,Investigation complete; no suspect identified
9ccfaa87a88eceb4cd46524a3491d73768d426d0e25eb96c6f6b24d1291ab7d8,2013-09,Essex Police,Essex Police,0.067921,51.646555,On or near ALDERTON RISE,E01021772,Epping Forest 013B,Investigation complete; no suspect identified
ad1b59a0b6e45c920392db74ace4a1b312bfc7373569b50e7c3a8a0a72f219ca,2013-09,Essex Police,Essex Police,0.846294,51.877721,On or near PEARTREE ROAD,E01021721,Colchester 012D,Investigation complete; no suspect identified
f89212b73089d11c60eabce20ce5ebc321d08db12d5402c016d1cef4744d787a,2013-09,Essex Police,Essex Police,0.532566,51.618466,On or near Sports/Recreation Area,E01021334,Basildon 005A,Investigation complete; no suspect identified
846595608e231b3e6cf2cfa098ac42707cc33bb12780ee2b4b1b4d9777b5cf3a,2013-09,Essex Police,Essex Police,0.477608,51.733690,On or near Supermarket,E01033141,Chelmsford 010G,Investigation complete; no suspect identified
ba07ce3724b0011f7f68eea6e468d4b155183b27f36b4c1c20e269401319f610,2013-09,Essex Police,Essex Police,0.531643,51.615904,On or near CARTLODGE AVENUE,E01021334,Basildon 005A,Investigation complete; no suspect identified
4955d4f389e05f99f879cfe509dc82122c7da0d123844731d1ee6297ff56a17a,2013-09,Essex Police,Essex Police,0.322420,51.582991,On or near CHILDERDITCH HALL DRIVE,E01021473,Brentwood 008D,Investigation complete; no suspect identified
49eac2166acaf8cfe923537ae154865a58ff46764d59695857036294e50db272,2013-09,Essex Police,Essex Police,0.951323,51.891456,On or near SANDPIPER CLOSE,E01021705,Colchester 022G,Investigation complete; no suspect identified
96c3f2a95767d24125d5ff7b4534a8bdd63fa1fcb8f2855bd404c81ec4648a9a,2013-09,Essex Police,Essex Police,0.264850,51.609036,On or near Petrol Station,E01021468,Brentwood 006D,Investigation complete; no suspect identified
86bf090ef91abc5bbd2fec6f17440e3c341eb73d5984073f42195693e31330c0,2013-09,Essex Police,Essex Police,0.299070,51.496417,On or near HARRINGTON CRESCENT,E01015942,Thurrock 020C,Investigation complete; no suspect identified
a7e12fb59f2eecb30d72279c5899dcc3927b36a7b97bb520c936fac80580bc7d,2013-09,Essex Police,Essex Police,0.447659,51.562549,On or near RANTREE FOLD,E01021294,Basildon 020A,Investigation complete; no suspect identified
f0a3ee4f05928af1997a4e0d469cd897c21d907059a3a7bb74d3d312ceebd884,2013-09,Essex Police,Essex Police,0.463838,51.585035,On or near Parking Area,E01021268,Basildon 015B,Investigation complete; no suspect identified
6f20eb11e40e80c140a0081989ad49bf4283263d06148fa9223c45c55a04e670,2013-09,Essex Police,Essex Police,0.658349,51.544671,On or near LEIGH HALL ROAD,E01015849,Southend-on-Sea 011E,Investigation complete; no suspect identified
836ad6ae2f17fd39e1b707514706ed78936277ea3e78ef40c8ff5620f736727e,2013-09,Essex Police,Essex Police,0.423245,51.573938,On or near Supermarket,E01021290,Basildon 016D,Investigation complete; no suspect identified
ec865737cb0209c3d33031cce4c57b11de86f1b5fc002e2126ed24e3bfddf642,2013-09,Essex Police,Essex Police,0.571378,51.877210,On or near Supermarket,E01021368,Braintree 011A,Investigation complete; no suspect identified
7c8896684d355cbe3d8f15a190572152d179336a143522f4354549cab0866f1d,2013-09,Essex Police,Essex Police,0.085261,51.775147,On or near HODINGS ROAD,E01021839,Harlow 004A,Investigation complete; no suspect identified
5e3e702569745fb5471e3798c3f91f14586e2a9740877f9854cc2a992aafe2a8,2013-09,Essex Police,Essex Police,0.127685,51.760539,On or near CAMPBELL CLOSE,E01021836,Harlow 008D,Investigation complete; no suspect identified
3a6be40e86b30e813facab42adbe6a293ce3d1ef47754fbf57ac661da0518810,2013-09,Essex Police,Essex Police,0.715963,51.544987,On or near GREYHOUND WAY,E01015898,Southend-on-Sea 010D,Investigation complete; no suspect identified
6b4b08807624a1b14ff6b3eba4f2786a96f07b852e59e19343d172a6f12bae5c,2013-09,Essex Police,Essex Police,0.500720,51.569758,On or near Pedestrian Subway,E01021305,Basildon 013D,Investigation complete; no suspect identified
99a76f16a6efd75250d19ab4fa110dcabbf0052d2e8e9e7821d0020eb933ea62,2013-09,Essex Police,Essex Police,0.467419,51.724255,On or near VICARAGE ROAD,E01021580,Chelmsford 012D,Investigation complete; no suspect identified
cf527f18048c6b9684c50f146bb6a8b5a0ad5ef491a6a1f96da44a65d9ea107a,2013-09,Essex Police,Essex Police,0.734768,51.540116,On or near SURBITON AVENUE,E01015884,Southend-on-Sea 009B,Investigation complete; no suspect identified
d8f8743f8008e1c8ac99dff8ecee02d3fafcf82dc102ea6a3a6058ff73b6a06b,2013-09,Essex Police,Essex Police,0.906740,51.888726,On or near Sports/Recreation Area,E01021648,Colchester 007C,Investigation complete; no suspect identified
544c17506dd723da58e3a28186d7121bda32c4ba113cd80b3c5fd8b79888b088,2013-09,Essex Police,Essex Police,0.881071,51.873484,On or near HOLLYTREE COURT,E01033723,Colchester 015G,Investigation complete; no suspect identified
48b24984dd5ad3dfe1e4a3e94c84ba369a8a365726323d00ac142fbc7bdac750,2013-09,Essex Police,Essex Police,0.311333,51.477380,On or near BELMONT ROAD,E01015951,Thurrock 017A,Investigation complete; no suspect identified
fb16e0a7e790e01bdb4f4f763a9c0121df4c9ca32dd6498376c7338890d9eea1,2013-09,Essex Police,Essex Police,0.689093,51.553827,On or near Hospital,E01015858,Southend-on-Sea 004B,Investigation complete; no suspect identified
dcb985f0d59a34ef5b615af731318ac64c6f775625c9a6aa471b6fbd1a009527,2013-09,Essex Police,Essex Police,0.527990,51.643736,On or near WARREN ROAD,E01021594,Chelmsford 021B,Investigation complete; no suspect identified
8d5221ec6ea7d3f3eb580637021a8ef21e689096f62ffe203c8f39dbccc9d2e1,2013-09,Essex Police,Essex Police,0.495275,52.042896,On or near MOAT ROAD,E01021414,Braintree 001C,Investigation complete; no suspect identified
1917931acdc6470b94104ee2d305a104131f2fc1f25aa8afbc95d05d27056cc4,2013-09,Essex Police,Essex Police,0.415101,51.861557,On or near WORRIN ROAD,E01033053,Uttlesford 008G,Investigation complete; no suspect identified
aa5736b6048f155416b16731d07502607cbe59261fefe01f9a2d5f41d897cea9,2013-09,Essex Police,Essex Police,0.240951,52.027237,On or near Parking Area,E01022078,Uttlesford 002C,Investigation complete; no suspect identified
2a1b5f95a4831c31b3fb2e8cbbc6b14da907f28016b439b8e49ef6c7f7848f91,2013-09,Essex Police,Essex Police,0.466202,51.526844,On or near FOBBING ROAD,E01015946,Thurrock 001C,Investigation complete; no suspect identified
0c0f205015f1ab948203295e45245c0a5937192c9cf0e219cab8994d293a0363,2013-09,Essex Police,Essex Police,0.675936,51.718772,On or near CONYER CLOSE,E01021897,Maldon 005E,Investigation complete; no suspect identified
c9de2f7ff97a7a4468e91f1630b4578117944331697e9d3d09da1696ecb5ec0a,2013-09,Essex Police,Essex Police,0.504052,51.566305,On or near Supermarket,E01021316,Basildon 018D,Investigation complete; no suspect identified
68c3f85802c628440813e41280e77614bc7e23b3705bd97b2a1a2cc3b17f2e9b,2013-09,Essex Police,Essex Police,0.305593,51.497206,On or near Sports/Recreation Area,E01015942,Thurrock 020C,Investigation complete; no suspect identified
ad6c987314316fa880e9f434ecde28cf451ce18d5238a71cd874456eef94bd70,2013-09,Essex Police,Essex Police,0.617864,51.649887,On or near Pedestrian Subway,E01021613,Chelmsford 019C,Investigation complete; no suspect identified
08f0d8aa0dd77894431aad1813f92f65e0b35fcfcb67a15b1b7c9036c214f12c,2013-09,Essex Police,Essex Police,0.829939,51.713426,On or near ANCHORAGE VIEW,E01021901,Maldon 006A,Investigation complete; no suspect identified
5e70117ab50bbb035028c8acb5e35378bf19893d043f2b41cfabfa6f45e7648e,2013-09,Essex Police,Essex Police,1.112967,51.787417,On or near LEICESTER CLOSE,E01021989,Tendring 018B,Investigation complete; no suspect identified
f2b58aa4d03d88b892d24391c31e96088df61998976ad3699b043d215618ed3a,2013-09,Essex Police,Essex Police,0.435357,51.771597,On or near WOODHALL HILL,E01021550,Chelmsford 003A,Investigation complete; no suspect identified
5b6ce1ec20cad7372ecfcdf2482b8f38695585490307201ac060b36cef5f0914,2013-09,Essex Police,Essex Police,0.264244,51.667079,On or near CHURCH ROAD,E01021443,Brentwood 001C,Investigation complete; no suspect identified
a5e66eb579a563efc8eb6cedfb3b8e9ff291bfa3157879571f5f61e70cc12f25,2013-09,Essex Police,Essex Police,1.279812,51.934568,On or near MARINE PARADE,E01022001,Tendring 001D,Investigation complete; no suspect identified
cb3277e51b7e305d3ff8e893bd51049746de8b5f1933e20e2b24809fe497cfef,2013-09,Essex Police,Essex Police,0.498488,51.739632,On or near CHELMER ROAD,E01021547,Chelmsford 008D,Investigation complete; no suspect identified
