Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
74ad942d48e58c4aaa46e5c0584e107c04f16586eb67f2d6f5d25ab28f180095,2013-09,Greater Manchester Police,Greater Manchester Police,-2.255379,53.464807,On or near SADLER COURT,E01005214,Manchester 019D,Investigation complete; no suspect identified
6b2e278a2891234169798103e5b914e5cc69c08e24d9f61048b7f96ccab04c9d,2013-09,Greater Manchester Police,Greater Manchester Police,-2.203780,53.459828,On or near Petrol Station,E01005239,Manchester 020E,Investigation complete; no suspect identified
9457694966f05b3466036e0858e6d79e4074d2f6a9ca67a25cb5a962e9c6a22c,2013-09,Greater Manchester Police,Greater Manchester Police,-2.216712,53.458735,On or near Hospital,E01005231,Manchester 022C,Investigation complete; no suspect identified
892f308c8f02faa70e6bde6d833ddc41f31425f2fb798e9e63301570861b12d6,2013-09,Greater Manchester Police,Greater Manchester Police,-2.219874,53.406075,On or near DENHOLM ROAD,E01005171,Manchester 045E,Investigation complete; no suspect identified
9d2fd85181677087dfe1515400591fa050f3a7354ef44446cf011b31504ce181,2013-09,Greater Manchester Police,Greater Manchester Police,-2.192596,53.454597,On or near HOLLINS GROVE,E01005233,Manchester 027D,Investigation complete; no suspect identified
f30792d70bfd000f884e3d839fac10c44fd2591e81cc1d5a6e527c0395bd588b,2013-09,Greater Manchester Police,Greater Manchester Police,-2.218259,53.455002,On or near DENISON ROAD,E01005284,Manchester 026C,Investigation complete; no suspect identified
38b686e3511a7b9f9886e8c2e1613d58aecd812cb71f34f374c4e6051ddb6a3d,2013-09,Greater Manchester Police,Greater Manchester Police,-2.263853,53.390984,On or near BROADOAK DRIVE,E01005087,Manchester 050A,Investigation complete; no suspect identified
cfe0e6b80f3cd272d93a87ba553a16efdcb405b3c1ad50596b6b23d615c25b5c,2013-09,Greater Manchester Police,Greater Manchester Police,-2.232472,53.432459,On or near BRIGADIER CLOSE,E01005276,Manchester 038C,Investigation complete; no suspect identified
2205c69fc41237ed79d5ee2e5768639b6fa2cd7c03b3f04098a9cb199c8ea92e,2013-09,Greater Manchester Police,Greater Manchester Police,-2.268016,53.426488,On or near GODBERT AVENUE,E01005084,Manchester 042D,Investigation complete; no suspect identified
d6071f8de01a0a034d05833366ea6dc12a4283486d6fdb51116fb1f027d7eeb1,2013-09,Greater Manchester Police,Greater Manchester Police,-2.199402,53.457543,On or near Shopping Area,E01005232,Manchester 020C,Investigation complete; no suspect identified
1c3b920ab0324dca502bb92434e3cc3b6c619ebbe4a94fddac555fe393728774,2013-09,Greater Manchester Police,Greater Manchester Police,-2.254893,53.469275,On or near COLIN MURPHY ROAD,E01005213,Manchester 059A,Investigation complete; no suspect identified
fc18766bd6e39afce8e64f237ae83d53a4c0bd852be210fffeb2957cccbcfc3f,2013-09,Greater Manchester Police,Greater Manchester Police,-2.242643,53.450272,On or near PARKSIDE ROAD,E01005182,Manchester 030E,Investigation complete; no suspect identified
1a41ad8a88c76ba2cca46033cc4728c7e1c029777bd29103b8aacbed3e4fe014,2013-09,Greater Manchester Police,Greater Manchester Police,-2.239445,53.427789,On or near CLAREMONT AVENUE,E01005076,Manchester 039A,Investigation complete; no suspect identified
8046aa4ffd042df2369c50c2a2d7c31e609b3c543bf5fecccd76899e4992e25d,2013-09,Greater Manchester Police,Greater Manchester Police,-2.267560,53.447352,On or near MARLBOROUGH AVENUE,E01005299,Manchester 029F,Investigation complete; no suspect identified
633b5f8073efdf8f00a12227f42f1ac97f5504433e09d30e9edce402deb4abe8,2013-09,Greater Manchester Police,Greater Manchester Police,-2.226259,53.418809,On or near GADDUM ROAD,E01005174,Manchester 043C,Investigation complete; no suspect identified
5e84d999ae14d5363062bd334e456840c889bed7735f400ca0f6375f5cced04a,2013-09,Greater Manchester Police,Greater Manchester Police,-2.218254,53.442248,On or near Conference/Exhibition Centre,E01005185,Manchester 032B,Investigation complete; no suspect identified
f78435e6f5c8918c3650b23d64e649171975d9d1d6c843fb20b56b0a6738596f,2013-09,Greater Manchester Police,Greater Manchester Police,-2.222606,53.439561,On or near GRANVILLE ROAD,E01005271,Manchester 032C,Investigation complete; no suspect identified
3867aefdb026da32060f7abd80b0d8a0e07256fbc3fe1facc816cb3dc976aaaa,2013-09,Greater Manchester Police,Greater Manchester Police,-2.201655,53.427617,On or near PEARN ROAD,E01005119,Manchester 041A,Investigation complete; no suspect identified
4517b4ce52ee8dd1fb4aa9fab54744545c3ff5e615eb023c87629323342f6cd6,2013-09,Greater Manchester Police,Greater Manchester Police,-2.251165,53.383793,On or near ACRES FOLD AVENUE,E01005289,Manchester 049D,Investigation complete; no suspect identified
2e0889032e99a151af1880743ba0f636769db38b6aaa08b79ef077e1cad0b2dc,2013-09,Greater Manchester Police,Greater Manchester Police,-2.205453,53.460005,On or near HAYLEY STREET,E01033657,Manchester 022G,Investigation complete; no suspect identified
a830c034305bcb492049e4ebc68be3db57061db7ebef524cd863ce903c01fa61,2013-09,Greater Manchester Police,Greater Manchester Police,-2.235532,53.460398,On or near DENMARK ROAD,E01005209,Manchester 019B,Investigation complete; no suspect identified
c67f8b98db7871140fa0a324d5bdb4efaac13b3d5a4215934c39fb8a411798e5,2013-09,Greater Manchester Police,Greater Manchester Police,-2.248933,53.462466,On or near BOSTON STREET,E01005208,Manchester 019A,Investigation complete; no suspect identified
bb5e21890cabef4c3a4ea456820e3eccc06b62e4f965d2f94be832fcf889b0ee,2013-09,Greater Manchester Police,Greater Manchester Police,-2.217940,53.436801,On or near BIRCHACRE GROVE,E01005312,Manchester 036E,Investigation complete; no suspect identified
8192a35fbfd9cf9ee77b81cb366f194cd02abb8214488d2884bb6038369df9a0,2013-09,Greater Manchester Police,Greater Manchester Police,-2.182037,53.439926,On or near VENTNOR AVENUE,E01005222,Manchester 031D,Investigation complete; no suspect identified
b03c96a47b0e8e0c3b0b34e1bbb8d9aa03743a3cf19fa97fbe3d39e40f9872ab,2013-09,Greater Manchester Police,Greater Manchester Police,-2.221790,53.441873,On or near SHERWOOD AVENUE,E01005185,Manchester 032B,Investigation complete; no suspect identified
b20c693ce2a2e9a9b3c05f5df32e3b05b991db33dd808a6a26998ec22d5d3142,2013-09,Greater Manchester Police,Greater Manchester Police,-2.224854,53.454765,On or near WILMSLOW ROAD,E01005288,Manchester 025E,Investigation complete; no suspect identified
4da418d1dfb3abff92c49d68c448ef4f262bbd9e486a4f45ad78e08eea903683,2013-09,Greater Manchester Police,Greater Manchester Police,-2.272100,53.382624,On or near Sports/Recreation Area,E01005090,Manchester 050C,Investigation complete; no suspect identified
f15060893b7d4dd56293155ae7da365e222e11d8ac1e1d8a1715e5299b4028fe,2013-09,Greater Manchester Police,Greater Manchester Police,-2.235510,53.442826,On or near VENTURA CLOSE,E01005183,Manchester 030F,Investigation complete; no suspect identified
389f787af85b0fa5547512b3b930706d3babb26ece022de15f14cae26d437455,2013-09,Greater Manchester Police,Greater Manchester Police,-2.187374,53.441698,On or near GLOUCESTER AVENUE,E01005221,Manchester 031C,Investigation complete; no suspect identified
efd08073913f2bffd84a68458ba69e7fb08154aad52e6ef7573dcf24b04d8f8e,2013-09,Greater Manchester Police,Greater Manchester Police,-2.196731,53.440092,On or near LINDEN PARK,E01005218,Manchester 034F,Investigation complete; no suspect identified
42920469701c3fb1540b3e08304761089cf1b6bffa5f2df7b05b295ef020788a,2013-09,Greater Manchester Police,Greater Manchester Police,-2.259646,53.440888,On or near KILDARE ROAD,E01005300,Manchester 033D,Investigation complete; no suspect identified
53f9efad7e0d4aca728ae755bd082cf42321f3cd9a604adca35198f6d95083db,2013-09,Greater Manchester Police,Greater Manchester Police,-2.220581,53.440985,On or near WYNNSTAY GROVE,E01005271,Manchester 032C,Investigation complete; no suspect identified
6d72d8f4bec5e807cb1b92d4af391f9b2500a250bc194507f7e6dc65fb34049e,2013-09,Greater Manchester Police,Greater Manchester Police,-2.204011,53.467153,On or near DENEHURST STREET,E01005061,Manchester 018A,Investigation complete; no suspect identified
a430ba652c8fc455e8976b8776ea3245e2409820d33718f3c8c08d2bc2a00aba,2013-09,Greater Manchester Police,Greater Manchester Police,-2.255365,53.424844,On or near PRINCESS ROAD,E01005079,Manchester 042C,Investigation complete; no suspect identified
932f717518ff184cdf9d8207a8270c619d6bd2935fec83926f48cb8e5ecb0ac1,2013-09,Greater Manchester Police,Greater Manchester Police,-2.269749,53.443464,On or near ELLESMERE ROAD,E01005301,Manchester 033E,Investigation complete; no suspect identified
67775f832dde082768786f1c0d8ddb1a45486a205ef2ba2b46b15bb2406b0b71,2013-09,Greater Manchester Police,Greater Manchester Police,-2.289435,53.402789,On or near Sports/Recreation Area,E01005117,Manchester 048E,Investigation complete; no suspect identified
1c9d76fe66f3409d550c0e35a97feb89a5e2ba0beef0e3674f0c89d87f9533f4,2013-09,Greater Manchester Police,Greater Manchester Police,-2.268176,53.387459,On or near NEARMAKER ROAD,E01005088,Manchester 050B,Investigation complete; no suspect identified
01fed4db0cf2fa7f7a8ac2fe66497d117ba38d75af0515dbdbc516d938115a4e,2013-09,Greater Manchester Police,Greater Manchester Police,-2.237044,53.420999,On or near PARKFIELD ROAD SOUTH,E01005172,Manchester 043A,Investigation complete; no suspect identified
0879f1d0d3382144fe70cc82ee3d241950b34ec4e695e30b9f69c21d0aac3b68,2013-09,Greater Manchester Police,Greater Manchester Police,-2.236856,53.470912,On or near Conference/Exhibition Centre,E01005066,Manchester 018E,Investigation complete; no suspect identified
36e61a06a5e7975a3f90769a685167fbd50965d46e83638ffa72ac01361256da,2013-09,Greater Manchester Police,Greater Manchester Police,-2.286309,53.409889,On or near BOXHILL DRIVE,E01005115,Manchester 044A,Investigation complete; no suspect identified
ffab31bb3c77cddfc7f23dde8d5eed00a17410cee10d51f95491186c5f212cd0,2013-09,Greater Manchester Police,Greater Manchester Police,-2.222962,53.470112,On or near A6,E01005065,Manchester 018D,Investigation complete; no suspect identified
4e75cc39f172b1b805acd627d45abc5b9b9d7cf37d688844ad1bfa2a59722d8f,2013-09,Greater Manchester Police,Greater Manchester Police,-2.219269,53.431864,On or near ASHDENE ROAD,E01005305,Manchester 036A,Investigation complete; no suspect identified
08115318728b0ad7987d20ed1afabafc7525d8c6db8d80357c869819280b09c5,2013-09,Greater Manchester Police,Greater Manchester Police,-2.208839,53.453266,On or near KELSTERN AVENUE,E01005287,Manchester 026E,Investigation complete; no suspect identified
0e39e8fea43004fe4c4ab4dfcad86a5f5f8cf77ffe2ccc9c2d91eedd97b3b929,2013-09,Greater Manchester Police,Greater Manchester Police,-2.192596,53.454597,On or near HOLLINS GROVE,E01005233,Manchester 027D,Investigation complete; no suspect identified
61a98e277e8b4ecda006c3bd0d76345fff03a23f9857e28221297fd8abf5b8a7,2013-09,Greater Manchester Police,Greater Manchester Police,-2.224549,53.468312,On or near CUNARD CLOSE,E01005065,Manchester 018D,Investigation complete; no suspect identified
1610fbf2c7e0d8205b422bfda4ac2ed7b312f10e21a8afa4c5a2e35cda01eec9,2013-09,Greater Manchester Police,Greater Manchester Police,-2.253361,53.386449,On or near RIPPLETON ROAD,E01005289,Manchester 049D,Investigation complete; no suspect identified
d35bca113673f728ba375baeffdaea9b36712bb2e0a0e805c9a758f0b59d9802,2013-09,Greater Manchester Police,Greater Manchester Police,-2.247342,53.364997,On or near WYNFIELD AVENUE,E01005317,Manchester 052E,Investigation complete; no suspect identified
caa873e1bcec0013e9253a910aed65510d72dc4fa4a231509fa7e3cba42f0738,2013-09,Greater Manchester Police,Greater Manchester Police,-2.219696,53.429886,On or near STEPHENS ROAD,E01005308,Manchester 040E,Investigation complete; no suspect identified
dbac8489e091ec9264b37d0374509f3c543cb3a07e38db3f45e255e827ca235a,2013-09,Greater Manchester Police,Greater Manchester Police,-2.266560,53.446356,On or near LISBURN AVENUE,E01005299,Manchester 029F,Investigation complete; no suspect identified
06cd5ccb4ab7d107c3a41071f751d4a62a2c0bf35120ca3b4e0359655061c3ae,2013-09,Greater Manchester Police,Greater Manchester Police,-2.268109,53.453256,On or near FONTWELL CLOSE,E01006115,Trafford 004C,Investigation complete; no suspect identified
5dcbd8c684badac6e858ff30f096f808e54fcd0e8dafadeec560e6eddfbf7b74,2013-09,Greater Manchester Police,Greater Manchester Police,-2.225879,53.457828,On or near RUSHOLME PLACE,E01005284,Manchester 026C,Investigation complete; no suspect identified
