Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6ca6c542e236726a2ddfe83c1228e817179107fa3f75a5b6636deb2ed1c0207d,2013-09,Northamptonshire Police,Northamptonshire Police,-1.165202,52.258337,On or near Pedestrian Subway,E01026992,Daventry 007D,Investigation complete; no suspect identified
5ef1817d558a05bdb1bc7e137f972f3df2b8604b084f95373e59f7ff92a8195a,2013-09,Northamptonshire Police,Northamptonshire Police,-0.607492,52.290866,On or near BLOOMFIELD CLOSE,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
1deeb04ca577756c6fb7efaebe10fc4a742b43258e33f13f0f545de8728615c0,2013-09,Northamptonshire Police,Northamptonshire Police,-0.598102,52.289218,On or near CHURCH STREET,E01027069,East Northamptonshire 009E,Investigation complete; no suspect identified
7ffb352d75c73370684647c39637870934026733b6456957ed8daeefcadffe83,2013-09,Northamptonshire Police,Northamptonshire Police,-0.902296,52.261536,On or near GARFIELD CLOSE,E01027190,Northampton 008A,Investigation complete; no suspect identified
8f74f71669273cc9a62ad9dc5e1bf845871c2e67703b1552d614ab62518ddc9b,2013-09,Northamptonshire Police,Northamptonshire Police,-1.003017,52.127388,On or near GREEN LANE,E01027300,South Northamptonshire 004D,Investigation complete; no suspect identified
99d55ff8e0e767b85ac4a85ae21432a77b34dc5ca011680d5289369f3b5ee914,2013-09,Northamptonshire Police,Northamptonshire Police,-1.137432,52.042262,On or near Petrol Station,E01027266,South Northamptonshire 009B,Investigation complete; no suspect identified
2c9334f40dc23bb108a5f099e2d0a120d920e1575c0c3cdbeb9ab0470456d896,2013-09,Northamptonshire Police,Northamptonshire Police,-1.137432,52.042262,On or near Petrol Station,E01027266,South Northamptonshire 009B,Investigation complete; no suspect identified
b6744a6d42b3f69af9e6a3da3da5d8defbc9c7eeef77483ed01b2680856ea37b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.920583,52.275415,On or near THE AVENUE,E01027144,Northampton 003B,Investigation complete; no suspect identified
9e60911a844911e705152e0d3675aa5b3214bb879d7259101d8140908fee0d89,2013-09,Northamptonshire Police,Northamptonshire Police,-0.835483,52.257021,On or near Supermarket,E01027198,Northampton 007C,Investigation complete; no suspect identified
6e979357aa9be81ffb7517ba5d25679ee3bfa9cb9dcd4393a24d211259e27c30,2013-09,Northamptonshire Police,Northamptonshire Police,-0.689823,52.304225,On or near CANNON STREET,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
aa6eb2cbda16e7788b02ce5c658e6e8469d3c423f89b6460c7560f966b54025f,2013-09,Northamptonshire Police,Northamptonshire Police,-0.868682,52.279460,On or near BOARDEN CLOSE,E01027221,Northampton 002C,Investigation complete; no suspect identified
60e5cee97689af29a50587d769527ebeeb6a9e48927fbc38fee45e07b3e57f81,2013-09,Northamptonshire Police,Northamptonshire Police,-0.901237,52.228494,On or near ST LEONARDS COURT,E01032980,Northampton 028E,Investigation complete; no suspect identified
c540176626e1fe49cd9b2ce766dee73631302ee9f620bf35181fc00b04d41359,2013-09,Northamptonshire Police,Northamptonshire Police,-0.691117,52.300643,On or near Nightclub,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
bba1ac957f97ee83dbd772e9a9f3e17706cd4751a816b68d3ff4c3d0c689dfce,2013-09,Northamptonshire Police,Northamptonshire Police,-1.003017,52.127388,On or near GREEN LANE,E01027300,South Northamptonshire 004D,Investigation complete; no suspect identified
2f39cc1ed5ca2da4e68b92378a16d5e72b04c55e760a31646dfd937d60db5dfa,2013-09,Northamptonshire Police,Northamptonshire Police,-0.865093,52.269051,On or near COPPICE DRIVE,E01027219,Northampton 002B,Investigation complete; no suspect identified
68ee2d0c0957b272f7796f6bb97a070dda0d4adbddbd7a7eae0d8e85404da85c,2013-09,Northamptonshire Police,Northamptonshire Police,-0.941995,52.285921,On or near SANDY LANE,E01026998,Daventry 004A,Investigation complete; no suspect identified
62043a37d8e8b232b3544d1c3ef0428ceb7766558e7e0a097dbdae6008e64be4,2013-09,Northamptonshire Police,Northamptonshire Police,-1.003017,52.127388,On or near GREEN LANE,E01027300,South Northamptonshire 004D,Investigation complete; no suspect identified
4821efa2b8ea347fd4e891088bc04f82b73a85160fcaf28ca97209fc84b6eb5d,2013-09,Northamptonshire Police,Northamptonshire Police,-0.662988,52.253872,On or near POPLAR PLACE,E01027354,Wellingborough 010E,Investigation complete; no suspect identified
b549b9af4b8ef8bde1ab8944220eb6ffd1928d4d17415748386fe1359c805ebf,2013-09,Northamptonshire Police,Northamptonshire Police,-0.990235,52.132575,On or near PARK STREET,E01027303,South Northamptonshire 004E,Investigation complete; no suspect identified
ad70a5fbd02e2ca807405e911a7d71dc43041b9381c387bdfe9c33c0b5fee193,2013-09,Northamptonshire Police,Northamptonshire Police,-0.894572,52.239265,On or near Supermarket,E01027155,Northampton 023A,Investigation complete; no suspect identified
eca0860f7257eb52e6aa976cbbb4afa4a4187c81777af4d21f6413b3f776489e,2013-09,Northamptonshire Police,Northamptonshire Police,-1.081012,52.303213,On or near SANDERS TERRACE,E01027017,Daventry 009B,Investigation complete; no suspect identified
c813071c1810c1edb35c08b793d282b7d6b2074b3d70bf8093aa84b0c9142a1f,2013-09,Northamptonshire Police,Northamptonshire Police,-1.157638,52.257735,On or near FRIARY CLOSE,E01026991,Daventry 007C,Investigation complete; no suspect identified
08855760098576fad97afe8e56580e3b7e2494e90bd4addc5c7e2190f7ee1c87,2013-09,Northamptonshire Police,Northamptonshire Police,-0.689501,52.395064,On or near ST STEPHEN'S ROAD,E01027122,Kettering 008E,Investigation complete; no suspect identified
55699be2ef12979a5204161e10cb154342b8e718f0ae27cfbe24ea034a77fb5e,2013-09,Northamptonshire Police,Northamptonshire Police,-0.814967,52.251692,On or near FIELDMILL ROAD,E01027140,Northampton 011A,Investigation complete; no suspect identified
