Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e553df9b68ea4036d4e823219122e23de3f30dbfa5b3af64278234d8ada9d523,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.335160,52.334489,On or near FOUNTAIN LANE,E01018052,East Cambridgeshire 006F,Investigation complete; no suspect identified
6492ff1fd003514c1f8728f7e6c8e7059ab9db1695563c98ea4e2e31c084f7ab,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.115528,52.248650,On or near Hospital,E01018276,South Cambridgeshire 021A,Investigation complete; no suspect identified
e6c30372e86d61d21ac7f12612f72f83a9200d5cc8804567e05fb0ae64a3fbcc,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.085462,52.291047,On or near ORCHARD END,E01018233,South Cambridgeshire 002A,Investigation complete; no suspect identified
e2b093df6a6de92c784c593d737079cccc92cbae6b5bca9936acf4f8a12a5be5,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.048309,52.278776,On or near RECTORY CLOSE,E01018266,South Cambridgeshire 003B,Investigation complete; no suspect identified
8cee78cbb07bd82116679bd38ba196a8675e8bdd32ec9ed878b223dd38f1a61e,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.150404,52.676538,On or near BANK DRIVE,E01018096,Fenland 001C,Investigation complete; no suspect identified
1caeb988718e40b2b23a8367885361ac1ed83e8ab4c9dace0dff21318d72b9d8,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.290978,52.543172,On or near BIFIELD,E01015642,Peterborough 021E,Investigation complete; no suspect identified
db4c1853663b5576d804eb5fca68f24450d5a62677bfb37c0b01518d3f508b34,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.165608,52.621440,On or near CHURCH ROAD,E01018066,Fenland 004A,Investigation complete; no suspect identified
a4e26f54d73836ea28248e13a06899c2cac6718f7914a51ffcb9badfaf77cabf,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.126526,52.197114,On or near BENTINCK STREET,E01018005,Cambridge 012D,Investigation complete; no suspect identified
9ba032a23371fd683b94bd09f0056861f9c660bfd2fc57f42d9c71cf936423a8,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.103386,52.204443,On or near HERSCHEL ROAD,E01017986,Cambridge 007F,Investigation complete; no suspect identified
9d830815e6165f3733661423711bf1934af8584767f5c0e1cd05406fc5a7049d,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.151542,52.196084,On or near MADRAS ROAD,E01018001,Cambridge 009E,Investigation complete; no suspect identified
53c2c5d712d14437bf0ff9290306c9b9ab91bb7c696e83ccaad54a1570f48cd8,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.230900,52.575043,On or near FIELD WALK,E01015611,Peterborough 013B,Investigation complete; no suspect identified
