Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
be061945656f8763dfbb7b016a97f4d4316a21063ea72d8df41b628d5b560131,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.292730,52.628858,On or near GAOL HILL,E01026822,Norwich 007A,Investigation complete; no suspect identified
1aa8adbaa8fc9bc47897821f6f4911dbc94d25eff77110280087f20b57ea1fb9,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.322697,52.633237,On or near NEWBRGIN ROAD,E01026807,Norwich 004E,Investigation complete; no suspect identified
2f2b61570a6b51c8c45135a6985420f15f14faec7650961dccded4be13a08412,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.737912,52.417725,On or near SALISBURY WAY,E01026465,Breckland 015A,Investigation complete; no suspect identified
591d85c9a83037232c3d15bb8b60a75b5c6f87e5a6b65f9d80f933d246ab2b74,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.191735,52.689092,On or near BROADGATE,E01026564,Broadland 006C,Investigation complete; no suspect identified
578790118f731b46b09ab7b5738f89ebfb72729d383bae03bde506c1c684faa2,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.730830,52.621523,On or near HAMILTON ROAD,E01026639,Great Yarmouth 004B,Investigation complete; no suspect identified
631778f15fe168d234369e622d546294cb4d76720cfa398d724a710026b0f342,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.318233,52.623478,On or near SCOTT ROAD,E01026849,Norwich 015B,Investigation complete; no suspect identified
4d2c9d958ab6552e1773ff69e90ec506a89a760b371b75e23a69227e17c17da8,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.228215,52.561357,On or near A1101,E01026716,King's Lynn and West Norfolk 016E,Investigation complete; no suspect identified
c6546692223ac6a4897ef633b5ce042d3b3b1d27bfd3a8caf0d928f3eff7277a,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.166946,52.648631,On or near Park/Open Space,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
dd44d06edf3251a48a8349f3b6b5e069bf23bd700afba0f40ce1e231b24b3d4f,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.196782,52.536472,On or near STEVEN'S LANE,E01026920,South Norfolk 009E,Investigation complete; no suspect identified
0773f2107129c20d7c033e6f04f36a3f90220bd285d8d17dd239190f70ce1659,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.122503,52.573584,On or near VIMY RIDGE,E01026945,South Norfolk 007D,Investigation complete; no suspect identified
e0163151fb249dfb372a16afe20b5b38929363628c13fde42d4f5ce71764d687,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.333110,52.582399,On or near HIGHLAND,E01026926,South Norfolk 006C,Investigation complete; no suspect identified
e6010ca3518d265a1550d632f18b03414efae1858771cd44969e95e9a41cbb9c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.298386,52.621334,On or near FINKELGATE,E01026853,Norwich 011B,Investigation complete; no suspect identified
a3f9a967fd1a019e79b21fd7f46eab24af8bef77f2d69322dd6f8b748cac01b7,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.297304,52.629936,On or near REDWELL STREET,E01026822,Norwich 007A,Investigation complete; no suspect identified
6362dfc738f20b4a02c73f366e11cc5d3d37268df640824a2c9a3e908cf612b3,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.890425,52.671180,On or near MAYFAIR,E01026453,Breckland 004C,Investigation complete; no suspect identified
2e18ea8a4b95c65481444331e4b87980da2ac0165e967dc2e6f412e3c93aba0f,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.480234,52.930124,On or near SOUTH BEACH ROAD,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
353e2fa7e58da1d0b64b0ff7b3d5d0cf37e825cae1f94aa8470ef979c2c19170,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.335277,52.660044,On or near Supermarket,E01026561,Broadland 013E,Investigation complete; no suspect identified
3ca75cc4244b858da7159b1077e55ef644dfa969055f391557254c90613d9274,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.489350,52.527886,On or near LITTLE MONEY ROAD,E01026912,South Norfolk 008D,Investigation complete; no suspect identified
8bfaa054edcb4952f025097584844e4e1e60eb61f8d0018462ac9f543937edc2,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.281593,52.634482,On or near HASLIPS CLOSE,E01026824,Norwich 007C,Investigation complete; no suspect identified
9306a55d0b1ff870f97e88a43061feaeb0590c2142636d41de591cf670e7a370,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.190484,52.773321,On or near HOLT ROAD,E01026523,Broadland 002B,Investigation complete; no suspect identified
78172ade0234c35409b5fefe82499c914eab5c8563f14b10b3a68a422cbe7d64,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.142930,52.404228,On or near AUDLEY CLOSE,E01026874,South Norfolk 014B,Investigation complete; no suspect identified
dcc29f99ea489d498e7e979ed292de3d6664ddb9abdb4ea5ce4e76c0ff483d06,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.504169,52.953962,On or near GOLF COURSE ROAD,E01026681,King's Lynn and West Norfolk 001B,Investigation complete; no suspect identified
77b52ad540b8617cf795d524a1482892beedb2da0814bc68953e3224c290157b,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.410450,52.757296,On or near GAYWOOD ROAD,E01026668,King's Lynn and West Norfolk 009C,Investigation complete; no suspect identified
2b6be7e3c8367101aca31ef7e37d802454ae15bde94c7dd01ce300e58e99dc4c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.277798,52.654103,On or near LOSINGA CRESCENT,E01026832,Norwich 002E,Investigation complete; no suspect identified
327e4768855e37e9227bc3b66ed273b290a76ad7a4781a3934607050574ad2b0,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.345640,52.627248,On or near OLD RECTORY CLOSE,E01026577,Broadland 016D,Investigation complete; no suspect identified
9842dd479389a8e3268cc46dcce400454f63bc76369a0d9f529f55625fe206ec,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.708690,52.574188,On or near RAMBOUILLET CLOSE,E01026620,Great Yarmouth 011D,Investigation complete; no suspect identified
b15b5f484eaf0601c488be39f2ce90d66748c22e9162946cf510cbf977bd6c56,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.016625,52.661036,On or near THE BEECHES,E01026480,Breckland 006B,Investigation complete; no suspect identified
7ff9ded258c46f14a10bcd1e93d13ab30b4a210e3c1e61106eee0ab34aea1c22,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.394488,52.845026,On or near TRUNCH ROAD,E01026738,North Norfolk 007A,Investigation complete; no suspect identified
cc8b49c65db4e93664b820d39925857afcf45dc9590bd4db7f43cdf8dea81381,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.434015,52.750646,On or near BIRCHGROVE ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
5c24f9fccf584600ad253c164b35944f915f75b884e881ba511db1785db2dc94,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.290561,52.641509,On or near EADE ROAD,E01026831,Norwich 002D,Investigation complete; no suspect identified
c16286b67c95f9af4fbec45653697dbafe18e548d94bee09189cfafb28ff4152,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.340474,52.647513,On or near LISHMAN ROAD,E01026809,Norwich 004G,Investigation complete; no suspect identified
ba682fb0a9849006a1ccd681c179c5d4b06c6da65f4b75a713ad33d9deeec52d,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.952434,52.668688,On or near STEPHEN BEAUMONT WAY,E01026427,Breckland 005C,Investigation complete; no suspect identified
36372d14e846a95614ea569b32a85d0a0d0ded82668a435e6f8ce524cb6ff15e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.263411,52.637467,On or near MAPLE DRIVE,E01026866,Norwich 006D,Investigation complete; no suspect identified
f2ac36335059b39b93325967fc9ee409bcc764cdd104ecb60aaccae330d5d8fb,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.720508,52.858655,On or near NORMAN WAY,E01026695,King's Lynn and West Norfolk 002D,Investigation complete; no suspect identified
