Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
23d9d40b291b7c22f3a434f3a0c8c85532b5009316f492f32ca677c236a8bc59,2015-06,Surrey Police,Surrey Police,-0.402173,51.382580,On or near RODNEY CLOSE,E01030354,Elmbridge 008A,Investigation complete; no suspect identified
130eb7ff5f2b3b1d22f2d04b5fd7077eff2222db60a28719f603066c13be89b3,2015-06,Surrey Police,Surrey Police,-0.389567,51.378154,On or near MOLESEY ROAD,E01030365,Elmbridge 008D,Investigation complete; no suspect identified
da5c7d31577e07bfefd4d87ae4fd97155ae427762c720384313c98f6a9059a32,2015-06,Surrey Police,Surrey Police,-0.419808,51.379600,On or near ASHLEY PARK AVENUE,E01030367,Elmbridge 010D,Investigation complete; no suspect identified
a9ee489ac9350fa3e1751f01f7e96f46f60eb26e72ca239101232514b49dd7db,2015-06,Surrey Police,Surrey Police,-0.419808,51.379600,On or near ASHLEY PARK AVENUE,E01030367,Elmbridge 010D,Investigation complete; no suspect identified
d35fdbd1977bc4791e5d25d572fc3d79bfb44b5bc754e1f388165666b6de6805,2015-06,Surrey Police,Surrey Police,-0.417968,51.382938,On or near WOODSIDE,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
25e3b27f0a64009f2596c3436c74159705c2143981f58421f48c59f2d7624eab,2015-06,Surrey Police,Surrey Police,-0.415004,51.374724,On or near WYNTON GROVE,E01030366,Elmbridge 010C,Investigation complete; no suspect identified
7951f52ea5d5fbc8f61a9f7c246ff21e09e19ab0f04ffbdb538795050a293f39,2015-06,Surrey Police,Surrey Police,-0.419047,51.372881,On or near GAINSBOROUGH COURT,E01030366,Elmbridge 010C,Investigation complete; no suspect identified
3299aa705db4ca3b6751419f5a9f343deb0664bb47f75c213eed00d2179a5a84,2015-06,Surrey Police,Surrey Police,-0.411182,51.375976,On or near ST VINCENT ROAD,E01030366,Elmbridge 010C,Investigation complete; no suspect identified
9d97b3c5677f5f821910d44fb009ee3983b9f65bebe2df089dae8142dcb50c7e,2015-06,Surrey Police,Surrey Police,-0.416613,51.384323,On or near COLBY ROAD,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
0284cc9e049a170734480a99a71fc1f5b6cedd1ff0c4f4b90d36690920b378ce,2015-06,Surrey Police,Surrey Police,-0.415154,51.382028,On or near HERSHAM ROAD,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
b03b0fdcc1ab2aa3b8e113ce83b96feb34742f86333dd19aab749493ec78c524,2015-06,Surrey Police,Surrey Police,-0.410101,51.388110,On or near EGMONT ROAD,E01030356,Elmbridge 008C,Investigation complete; no suspect identified
