Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8027f86cb61a3b7721872a4315cdba5d76356395ad269a1ec19d03f481bdf806,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.135105,52.198433,On or near WILKIN STREET,E01017988,Cambridge 008B,Investigation complete; no suspect identified
f12a56f34bb654ebf11762a6492ae38c38ead2c06c823f4986652e3a3203a1be,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.267950,52.519775,On or near STEPHENSON CLOSE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
9a0a9b119b2705a202a948f5af51960780174c3754b7201bb33608789769f255,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.166617,52.318436,On or near ALMOND CLOSE,E01018133,Huntingdonshire 014C,Investigation complete; no suspect identified
2bbdb7ccf12e7c51fea3122fa8d91f43b3bef8ffbd24e61d0322487fe9b443c7,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.095120,52.314293,On or near SADLERS WAY,E01018203,Huntingdonshire 016D,Investigation complete; no suspect identified
1cf07815dcead235a2017153e83b96f9236c9c18d63c822e7b2163efbc4f9a0b,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.099202,52.550786,On or near BADGENEY ROAD,E01018078,Fenland 007B,Investigation complete; no suspect identified
4c21d4bd28396f1f5b0dcc522c1d112bfc23ed53e060ebf944c3908dfda1122c,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.072731,52.555299,On or near YARROW CLOSE,E01018086,Fenland 009B,Investigation complete; no suspect identified
bb08acf69ca1e71eac3f11011bab8aa23c455818697be0e065eb26b363e79625,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134474,52.201754,On or near GUEST ROAD,E01017988,Cambridge 008B,Investigation complete; no suspect identified
0224f3bff36ac4ed4dafd7d10a31ae6a10259ea95b05396b3a5da5b05ea9f9fd,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.164535,52.316264,On or near STUART CLOSE,E01018131,Huntingdonshire 014A,Investigation complete; no suspect identified
46dc8ca0cd09d6df041f14fbe39235086333830858d0849a61fff431cfd26a53,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125754,52.207630,On or near BELMONT PLACE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
b8689ac1980298c1043a51084c5c9f2d6f48a1e0d7e38b72c11f2fcfb1f021ce,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
690d6f42cda058023ca84159fe4ae11e09a294f8cf48bc654fe153d1f5b3880b,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119723,52.213754,On or near CARLYLE ROAD,E01017950,Cambridge 002B,Investigation complete; no suspect identified
28ec99136c341fc112f4397dc222a67024ea5bf513622478f7296424183e8797,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129299,52.199105,On or near DROSIER ROAD,E01018005,Cambridge 012D,Investigation complete; no suspect identified
