Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d363b0acb1e172301081ce4d61fa35d110d1849be4bc3c113cea44447b10eed,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.857819,52.835680,On or near WATERFIELD AVENUE,E01026749,North Norfolk 011E,Investigation complete; no suspect identified
97494ebf5c9eac1e599d1c61f1d24a96ec5eba8d94ccf8d80fe2f5632ad6ea01,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.723432,52.650126,On or near CHURCH CLOSE,E01026590,Great Yarmouth 003B,Investigation complete; no suspect identified
56d5e8a2a2d868cfed9d79a6eec5806a75d434950e4b62ea366635539161aca9,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.305764,52.637641,On or near ANCHOR STREET,E01026848,Norwich 015A,Investigation complete; no suspect identified
8b283bcde704604fceaec7d7711e150e59812a6d8a58724649c00a90feeb180f,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
8afbdda7b4afd9120ca735b4b9cbe3f35f79cc6bdf254be4df6f784c89ad2e99,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.740237,52.414191,On or near CANON'S CLOSE,E01026474,Breckland 017A,Investigation complete; no suspect identified
bd223e7f0aeb0c12ea9273ddca32e918589e330ab66ce8fb2700a77a3facaa6a,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.196905,52.660596,On or near TOWER CLOSE,E01033540,South Norfolk 001H,Investigation complete; no suspect identified
e522f84ac06fd444ead97a68db83ee0cd9ce1e5382460e274e6035cb950515ef,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.397707,52.748446,On or near WHITEFRIARS TERRACE,E01026700,King's Lynn and West Norfolk 011C,Investigation complete; no suspect identified
c5d361091274bf964d703d8ac89415e7cda9ab5183011de0f0883cdc1950ecd8,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.840210,52.567945,On or near GRISTON ROAD,E01026490,Breckland 009E,Investigation complete; no suspect identified
5cd66f62f70a021614e8f539d2ec110b5b90b98878cc31fe672bd547e60d632e,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.290561,52.641509,On or near EADE ROAD,E01026831,Norwich 002D,Investigation complete; no suspect identified
1fdef15e00f2c65c2a23ec6ca715d24681afc4fb26e8c905585515553af97fcd,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.731741,52.593683,On or near COPPERFIELD AVENUE,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
c60a4491b2df06dc13c8bcbb32740c5d3c691f1307c3e10030fe19db200c5366,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.688632,52.648730,On or near LYNN STREET,E01026455,Breckland 007A,Investigation complete; no suspect identified
