Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
650b3e19cc10742812c7cf3bb51d25db94fae8331acd492970ee38fcea92d214,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.380604,51.783298,On or near REDBOURNBURY LANE,E01023722,St Albans 006A,Investigation complete; no suspect identified
e0dca9ad8ede9d9eb1f49213117e1f5d7ae3e105ddbcc6f13ddfd014ab30fd79,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.356787,51.814735,On or near LEYTON GREEN,E01023701,St Albans 003C,Investigation complete; no suspect identified
ad04d018dc86b2946fab80ab0c50eaa3107177ccf2d6bc9d6ff6bd5cde6db036,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.353859,51.766480,On or near Nightclub,E01023722,St Albans 006A,Investigation complete; no suspect identified
1b412cff444d86d7c71b6e4c77e411303b3f70abf9622ec6f1e835ef386c233e,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.356921,51.817435,On or near THE FORRESTERS,E01023701,St Albans 003C,Investigation complete; no suspect identified
d64071118178308ccaec7e7efbbbcb53530cffebee2bc3c80c12830912fcb4ae,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.356921,51.817435,On or near THE FORRESTERS,E01023701,St Albans 003C,Investigation complete; no suspect identified
7d687f6c915c817e0a51514ffed3cf3cd3aa5cdc81f26575717802293925b555,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.406469,51.796411,On or near STEPHENS WAY,E01023723,St Albans 006B,Investigation complete; no suspect identified
04e0c92107cd82a67901676c0ebc6536dee47f6dd4ddfa52f7efd49d9d06713f,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.066645,51.717658,On or near GLOVER CLOSE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
b3af9b96f484f407aa236e65ac497447ae8e8c08db7d81c7f0f4dbb1f866bec6,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.216550,51.977091,On or near BIDWELL CLOSE,E01023631,North Hertfordshire 006B,Investigation complete; no suspect identified
6b08df8176d4ef5aa2185a036922a3a01470af5ca85e0a8dc2327bfe3a7ef948,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.574603,51.762737,On or near WEST ROAD,E01023370,Dacorum 012B,Investigation complete; no suspect identified
6f086f5311bfe3924acc3b73f6850fc17eb33da84edbf7485505c8613d03a8b4,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.552633,51.756930,On or near Petrol Station,E01023362,Dacorum 009B,Investigation complete; no suspect identified
7a671909d1c20797e20a48a2af03f59e772a23401c79d682248082178739296d,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.560800,51.756167,On or near PHEASANT CLOSE,E01023366,Dacorum 014B,Investigation complete; no suspect identified
71b392acf6feb1791b534bc39b6464a3a47aa369496c41e3b801ca1b03a53a06,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.578101,51.762573,On or near LARCH RISE,E01023370,Dacorum 012B,Investigation complete; no suspect identified
a3f3f67984564a9f24d3b2189b82c19a40c3c4a060e8c23cafa685816ed57e8a,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.564127,51.760452,On or near Shopping Area,E01023361,Dacorum 009A,Investigation complete; no suspect identified
fcf66ddddd73aebc3a56a8c88ac2ed7979a7329594601536a92254c7d9747337,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.580819,51.767839,On or near NORTH BRIDGE ROAD,E01023363,Dacorum 009C,Investigation complete; no suspect identified
cfaf9a8673ba7e210be6d859ba4ae650426ba40168eeb3927933829fc143391f,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.555184,51.757815,On or near LONDRINA TERRACE,E01023361,Dacorum 009A,Investigation complete; no suspect identified
cee6721b4c626b4a2f370ac15c471893429be85677bfde04ef9890ea010c2ea3,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.554608,51.759067,On or near CAMBRIDGE TERRACE,E01023361,Dacorum 009A,Investigation complete; no suspect identified
2d56cb355d4a99909b1f17474d7024fc4a5c159930b7df8514905f05ac545d31,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.569778,51.762750,On or near ST JOHN'S WELL LANE,E01023361,Dacorum 009A,Investigation complete; no suspect identified
63656ea63e8367dc11e9bfc3fcaaa0e1545b52d07b9017a00fd9ed2acc07ef0a,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.569772,51.761078,On or near PARK VIEW ROAD,E01023368,Dacorum 014D,Investigation complete; no suspect identified
8ec5fe105f83383ecc40500bdcaa277ad59409a60c5dee6d2e166a74d3e08868,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.561581,51.753910,On or near CORAM CLOSE,E01023366,Dacorum 014B,Investigation complete; no suspect identified
