Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2015-06-09T00:08:00+00:00,,,53.325637,-2.255072,Male,25-34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Vehicle search,2015-06-09T00:08:00+00:00,,,53.325637,-2.255072,,,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-06-09T00:52:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Vehicle search,2015-06-09T00:52:00+00:00,,,,,,,,,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2015-06-09T01:29:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-09T01:29:00+00:00,,,,,Male,18-24,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-09T01:29:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-09T01:29:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-09T08:52:00+00:00,,,53.382324,-2.557497,Male,over 34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-09T09:08:00+00:00,,,53.393269,-2.577023,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-09T09:08:00+00:00,,,53.393269,-2.577023,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-09T15:01:00+00:00,,,53.101822,-2.449789,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-09T15:52:00+00:00,,,53.202868,-2.855063,Male,10-17,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-06-09T15:52:00+00:00,,,53.202868,-2.855063,Male,18-24,Black or Black British - African (B2),Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-06-09T16:42:00+00:00,,,53.364606,-2.772160,Male,25-34,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Vehicle search,2015-06-09T16:42:00+00:00,,,53.364606,-2.772160,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-06-09T18:59:00+00:00,,,53.266830,-2.910300,Male,25-34,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Person search,2015-06-09T18:59:00+00:00,,,53.266830,-2.910300,Male,25-34,Not Stated (NS),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-06-09T18:59:00+00:00,,,53.266830,-2.910300,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Vehicle search,2015-06-09T18:59:00+00:00,,,53.266830,-2.910300,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-06-09T23:42:00+00:00,,,53.087910,-2.334154,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Vehicle search,2015-06-09T23:42:00+00:00,,,53.087910,-2.334154,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-06-09T23:51:00+00:00,,,53.063563,-2.503858,Female,18-24,Mixed - White and Black Caribbean (M1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-06-09T23:51:00+00:00,,,53.063563,-2.503858,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,,
Vehicle search,2015-06-09T23:51:00+00:00,,,53.063563,-2.503858,,,,,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2015-06-09T23:51:00+00:00,,,53.063563,-2.503858,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Local resolution,,
Person search,2015-06-10T01:00:00+00:00,,,53.066383,-2.523336,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T01:00:00+00:00,,,53.066383,-2.523336,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T01:31:00+00:00,,,53.165708,-2.246792,Male,over 34,Not Stated (NS),,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
Person search,2015-06-10T03:58:00+00:00,,,53.317271,-2.709910,Male,18-24,Not Stated (NS),,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T08:47:00+00:00,,,53.327354,-2.228627,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T09:08:00+00:00,,,53.102638,-2.448036,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T09:19:00+00:00,,,53.410734,-2.576944,Male,over 34,Not Stated (NS),White,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,
Person search,2015-06-10T12:18:00+00:00,,,53.371173,-2.722619,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T12:18:00+00:00,,,53.325531,-2.227551,Male,10-17,Not Stated (NS),,Firearms Act 1968 (section 47),,Nothing found - no further action,,
Person search,2015-06-10T12:18:00+00:00,,,53.325531,-2.227551,Male,,Not Stated (NS),,Firearms Act 1968 (section 47),Firearms,Local resolution,,
Person search,2015-06-10T12:18:00+00:00,,,53.325531,-2.227551,Male,10-17,White - White British (W1),White,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,
Person search,2015-06-10T12:18:00+00:00,,,53.325531,-2.227551,Male,10-17,Not Stated (NS),,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,
Person search,2015-06-10T12:37:00+00:00,,,53.261170,-2.125510,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,,
Person search,2015-06-10T13:18:00+00:00,,,53.258828,-2.130420,Male,10-17,Asian or Asian British - Any other Asian ethnic background (A9),Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T13:18:00+00:00,,,53.258828,-2.130420,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T13:18:00+00:00,,,53.258828,-2.130420,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,,
Person search,2015-06-10T13:18:00+00:00,,,53.258828,-2.130420,Male,18-24,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,,
Person search,2015-06-10T14:45:00+00:00,,,53.263787,-2.509567,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2015-06-10T22:11:00+00:00,,,53.390247,-2.581162,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
