Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4a56b8d423ef8422ee6cdc3b0498f2a50587fb94deee91ebcb20cd9aad597ecc,2012-09,Sussex Police,Sussex Police,-0.213814,51.122324,On or near LINCHMERE PLACE,E01031571,Crawley 003B,Investigation complete; no suspect identified
b7ded3df7188d3178a1ab7c90db6064701512be0adc5d5a775765ed25d712b05,2012-09,Sussex Police,Sussex Police,-0.197594,51.128218,On or near Supermarket,E01031576,Crawley 001D,Investigation complete; no suspect identified
97d9a91357973faf63baa2ea6769f405824cbbba29bf91dde4492cf295b24244,2012-09,Sussex Police,Sussex Police,-0.188373,51.120260,On or near LONDON ROAD,E01031610,Crawley 003E,Investigation complete; no suspect identified
c8dc027f03649e432ec0229ea9fecb2e2dd0c1f165a57429d7a1c914cb3b5bff,2012-09,Sussex Police,Sussex Police,-0.188373,51.120260,On or near LONDON ROAD,E01031610,Crawley 003E,Investigation complete; no suspect identified
b919ba0da3a20e65ac1bf66dff5f9066d364ccbeede21315207a3ae05f001506,2012-09,Sussex Police,Sussex Police,-0.382404,50.813161,On or near RICHMOND ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
06bf776fb4e5126ba18f573133a2f58093a983dd80d052d15aeeafedf319efe9,2012-09,Sussex Police,Sussex Police,-0.377376,50.809952,On or near MONTAGUE STREET,E01031787,Worthing 011A,Investigation complete; no suspect identified
989f456d79f8c4a83c5bc9dabc7f45781a24b56235a6af73e655c6d2b4cb4394,2012-09,Sussex Police,Sussex Police,-0.369281,50.812942,On or near CHATSWORTH ROAD,E01031789,Worthing 011C,Investigation complete; no suspect identified
5c1ab6684c1393df7efb880b259114b09ccb4283e1e5a19407da4239c07822d7,2012-09,Sussex Police,Sussex Police,-0.378780,50.814091,On or near PARK CRESCENT,E01031790,Worthing 010A,Investigation complete; no suspect identified
8d6cae02cf6d345518ed9c2f37aecd427814683d52f0314c86af7fcc279a8551,2012-09,Sussex Police,Sussex Police,-0.382675,50.818057,On or near TARRING ROAD,E01031791,Worthing 008A,Investigation complete; no suspect identified
28d56f8cd080f95b27d92d81a6f8ce660e3f1f118cb7090ca5c37dc4bd80f022,2012-09,Sussex Police,Sussex Police,-0.378641,50.818118,On or near Supermarket,E01031791,Worthing 008A,Investigation complete; no suspect identified
32f3132f2a73a1626854a6763d71728d13f9ec932d33c41e0efec2e66acb73a7,2012-09,Sussex Police,Sussex Police,-0.380798,50.817302,On or near HOWARD STREET,E01031791,Worthing 008A,Investigation complete; no suspect identified
5d7028d42771604333a2f7097eaf939917862743c2e01551adf8d72619f90dd6,2012-09,Sussex Police,Sussex Police,-0.388726,50.815065,On or near BELSIZE ROAD,E01031807,Worthing 010B,Investigation complete; no suspect identified
fdf84c3c40336a7c61e4bd552db67a221724555c460c394c8ff27ca1ee42e2c7,2012-09,Sussex Police,Sussex Police,-0.382623,50.809674,On or near WORDSWORTH ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
bfae7327824919a0f5368d5bf0e6056c76560e42251f4f626cc3f0a000a3af1d,2012-09,Sussex Police,Sussex Police,-0.398085,50.817838,On or near TARRING ROAD,E01031816,Worthing 012E,Investigation complete; no suspect identified
09a6bdc58d17a40011c9b04dfb492f287a956bd1e700152f5192f8a87114475a,2012-09,Sussex Police,Sussex Police,-0.358244,50.813570,On or near SELDEN LANE,E01031835,Worthing 011E,Investigation complete; no suspect identified
61a7183ea9ea8846cd07137232a5dfbb179ecb39724f739cc99d67565a5b3e70,2012-09,Sussex Police,Sussex Police,-0.375392,50.809448,On or near NEW STREET,E01031787,Worthing 011A,Investigation complete; no suspect identified
84d965d4fdf340dac429ac31b016ab85c492b1cccfa191e2097e61ab7c2837d3,2012-09,Sussex Police,Sussex Police,-0.369193,50.812194,On or near Worthing Guildbourne Centre,E01031789,Worthing 011C,Investigation complete; no suspect identified
048d0c977c03105f73a3283bbba51fba92847ab308acd37a964dd0ae8e44725a,2012-09,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
4061824d2c5fccf9409df3c7845c9f594375ce9edb7ac0dfac9747fc9f45ab9a,2012-09,Sussex Police,Sussex Police,-0.376217,50.809406,On or near WEST BUILDINGS,E01031787,Worthing 011A,Investigation complete; no suspect identified
70cf80c751e42ff6f0a625784d44a477b8f806d13a6ed5c6ac771edae40aa9d5,2012-09,Sussex Police,Sussex Police,-0.365587,50.812630,On or near WYKE AVENUE,E01031789,Worthing 011C,Investigation complete; no suspect identified
08e78058469247deb795046d26d460bdae4341bf329c68a449c02f0a15d75252,2012-09,Sussex Police,Sussex Police,-0.376505,50.811757,On or near CRESCENT ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
02745c44cd70b7b57616dddd20fe78409592200c45812f6e7c85432bd2b9adf5,2012-09,Sussex Police,Sussex Police,-0.378480,50.818241,On or near SOUTH FARM ROAD,E01031791,Worthing 008A,Investigation complete; no suspect identified
03ad659d1ba4e4f534b2c503e5d7bc2001d91edaf0b463c3d1d096659b778c78,2012-09,Sussex Police,Sussex Police,-0.390756,50.812170,On or near DOWNVIEW ROAD,E01031812,Worthing 012A,Investigation complete; no suspect identified
