Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe001896096ae32df7ef972c4440310faca904d10979d6e18ecf3129a447719d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.636412,53.385569,On or near ROSSALL ROAD,E01012495,Warrington 016A,Suspect charged
c5dedeaf0f476d0eb284c1bb43085d8f2b2eb87bcd9209a0e1a59537617c6f60,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.465936,53.095018,On or near ALTON STREET,E01018512,Cheshire East 044C,Investigation complete; no suspect identified
25c7984da40899487bd367fc27d1fffff907bd0d23bb35dc1453eb045f9ca1d4,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.652491,53.394876,On or near CHARLES AVENUE,E01012492,Warrington 015B,Investigation complete; no suspect identified
062a5766b3a2a278d7822b0c2718b606cb1a6e0b559605b5c7c2c38d390ee474,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.534093,53.195121,On or near JOYCE AVENUE,E01018746,Cheshire West and Chester 038C,Local resolution
b8fa66dbc043dbc8ed416212594bfe6a8c8283d2383dd55b24c20c2e8c157767,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.880704,53.207050,On or near WELL LANE,E01018363,Cheshire West and Chester 028B,Investigation complete; no suspect identified
c6d744aedcc1d0bb5762e35134db7db73ab8b49b27ad810628013e401ac18c74,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.530796,53.182668,On or near TOWNFIELDS ROAD,E01018730,Cheshire West and Chester 040A,Investigation complete; no suspect identified
6687893d90d4cd7a71abcaeae8433747255e102649b445cb1f16e8118435040f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.410347,53.307262,On or near TABLEY HILL LANE,E01018648,Cheshire East 007C,Investigation complete; no suspect identified
3b676a13f06b1d7075f85321abaa9f57beec008c00200f1a7df8d8d4ba297fb8,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.435053,53.102308,On or near HENRY STREET,E01018463,Cheshire East 035A,Investigation complete; no suspect identified
6a1f08836e0d92ef6cd91baff43d50d5c8b62caa19c903dbfc40fd6979f42982,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.896882,53.285494,On or near Parking Area,E01018563,Cheshire West and Chester 007D,Investigation complete; no suspect identified
fab2681a67937da47c9b49123d920d1092bcaa53c9533187b3d94491c8b4aa8a,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.392126,53.149767,On or near NEW STREET,E01018440,Cheshire East 031A,Investigation complete; no suspect identified
328369e744fc98cd202022c89e6d4dcf32fa52db64f80cd5a5172553ed9e8c34,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.698774,53.326640,On or near SOUTHWAY,E01012408,Halton 013F,Investigation complete; no suspect identified
27fad55f5c95327d42f4fb2b399e63c9dc13fe4c3f7c6e4edab304a60e2212e3,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.897167,53.276215,On or near MCGARVA WAY,E01018521,Cheshire West and Chester 011A,Investigation complete; no suspect identified
7792fdb7a1ec5d75f88a8b8a8097095b5bb4c9ed75c959e3ec12acfa96ad083b,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.722423,53.338284,On or near PICTON AVENUE,E01012405,Halton 011E,Investigation complete; no suspect identified
ca4e3f8f992cf2250f66bb43306688eac9fe34f12d8de4e8998fa2740cf82a2f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.535089,53.187287,On or near HAZEL DRIVE,E01018732,Cheshire West and Chester 038A,Investigation complete; no suspect identified
552f136be202206d6747924d90c52cd237d7cd764131f2ef79b0e9710ec24b98,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.470600,53.378042,On or near LIMEFIELD AVENUE,E01012514,Warrington 021B,Investigation complete; no suspect identified
25b4e0baf0f0fe5493f2b545460a84dc2ca78894cf2818ac81c7c63e1129fc4e,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.525427,53.082473,On or near Sports/Recreation Area,E01018480,Cheshire East 049B,Investigation complete; no suspect identified
f70554fdb80a8e24c18b79ad03763239775a25021a55a9970693f14238856ba4,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.592274,53.386974,On or near BRIDGE STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
124980e6e73b5b53b42225252adee567ad56b3d0f25320ccb78fc8b991a54c52,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.138410,53.245147,On or near BUCKINGHAM DRIVE,E01018637,Cheshire East 021A,Investigation complete; no suspect identified
12469129801886874b1dffba2f77fc90635f020d5a58102007a22c4af3a82546,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.535059,53.180087,On or near BEDFORD RISE,E01018740,Cheshire West and Chester 042C,Investigation complete; no suspect identified
302267ab93e8abd6c13903bda6d2e6be439f1ba77cd1ea309a193d42aebe0d94,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.330954,53.124136,On or near CHARLES SQUARE,E01018418,Cheshire East 033C,Investigation complete; no suspect identified
1ad05ec2cde73fca3914ec7861b53531802494ace4877f3b930a1cef15bfdabb,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.410347,53.307262,On or near TABLEY HILL LANE,E01018648,Cheshire East 007C,Investigation complete; no suspect identified
0ac5fabbc37e25d87fa1c7e168aa829ea8100aff8d8c7de94e6f847d1c3d4b02,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.726032,53.340284,On or near Petrol Station,E01012431,Halton 012F,Investigation complete; no suspect identified
5ee5e4b8d8fe23bfd0dc1c5886ca3f114302baa63e351d844b44fee2043d1265,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.588083,53.384011,On or near LORD STREET,E01012510,Warrington 017D,Investigation complete; no suspect identified
1bfbcda391676e0f7e6957e95f1d8f1a292f65f90f5a2c993b61367af61401b5,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.912231,53.268082,On or near PLECK ROAD,E01018540,Cheshire West and Chester 010D,Investigation complete; no suspect identified
e64b53118249f7753e23300225ef0eb57b4f0e6aed606cbed037188410849fb7,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.520631,53.420270,On or near PARTRIDGE CLOSE,E01012466,Warrington 005D,Investigation complete; no suspect identified
d28eb2cd86454628530b0a10cc8c0087612b1647782666a701cedc69519acb5e,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.572034,53.257742,On or near LABURNUM GROVE,E01018729,Cheshire West and Chester 019D,Investigation complete; no suspect identified
ba06c051722c6988581c5d5a16a20d88b922a9c802b13f03ae73c37c59277d95,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.542558,53.396864,On or near NEW CUT LANE,E01012556,Warrington 014E,Investigation complete; no suspect identified
c1acb1da8608d90ce2bfb541f3cbc3922ab7cc5f7d26f27bf0324a109555024f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.249563,53.333577,On or near KING'S ROAD,E01018652,Cheshire East 006D,Investigation complete; no suspect identified
fd919fdc3d0e0124a71f576d2fb49e02d89cc6db3c28f2a5abd79fc0a09c6329,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.504438,53.359027,On or near Motorway Service Area,E01012515,Warrington 021C,Investigation complete; no suspect identified
3fc92c89bbed185f874abda4aed89e85e26a4d98c38bd005fa57970c31964448,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.726046,53.365858,On or near Parking Area,E01012367,Halton 007A,Investigation complete; no suspect identified
5dcc01e303fbd7318336e6279bb7f0c7f43b109148d53a2f104e5d5f99a8ac99,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.860454,53.193975,On or near BALLATER CRESCENT,E01018382,Cheshire West and Chester 036D,Investigation complete; no suspect identified
acc5eb9978cea11cdb2ba3c0d1c2b62d525cf24901b7f37ce2f4e2758f66b543,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.704264,53.329943,On or near B5155,E01012396,Halton 013B,Investigation complete; no suspect identified
a57def07e85330e7571b1bfa515a8f716c03cecfa31c0ce971cd9077cd92ca35,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.923196,53.200750,On or near COTES PLACE,E01018316,Cheshire West and Chester 031D,Investigation complete; no suspect identified
e8d66d6c47af0a14ae8045ccffa30e657c6c9d87bae436326721f82f425395cb,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.762290,53.198014,On or near ARDEN CLOSE,E01018368,Cheshire West and Chester 030C,Investigation complete; no suspect identified
2b5d06a1e3a05b200eef75b6d8915b50d78f2bd8a13783ca005bbb20729b27c6,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.594427,53.405534,On or near WINWICK ROAD,E01012455,Warrington 013C,Investigation complete; no suspect identified
b284b52421ba5d0a76022fde3a145cc13cf6b6e987d5b48185ec468aab77d837,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.898043,53.273647,On or near GREEN LANE,E01018521,Cheshire West and Chester 011A,Investigation complete; no suspect identified
b412e85d62e845ab87db189e2fd2c5aecd7318347fe2d99526d6329e6ea66219,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.919895,53.201792,On or near Sports/Recreation Area,E01018315,Cheshire West and Chester 031C,Investigation complete; no suspect identified
b5cf24e8a059a14503ee981e91f40caeabc229654ff436653a0ad046d4ffdbc1,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.437191,53.084862,On or near LAURA STREET,E01018445,Cheshire East 045A,Investigation complete; no suspect identified
928b4d99ea511517facc4536549f824ddfb4eace11e77339b2c34f21454a811a,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.529072,53.254039,On or near CHESTER ROAD,E01018711,Cheshire West and Chester 020C,Investigation complete; no suspect identified
f88f44f4b2119fb0ccdbec7691b4d31559244bdde1ac5500bc871312770145f0,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.119163,53.350570,On or near Sports/Recreation Area,E01018655,Cheshire East 003A,Investigation complete; no suspect identified
149fa34483ab26c3a9503cd31e09938c0e267db62b3644177e46d175eac45a63,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.939776,53.285901,On or near COOMBE PARK,E01018547,Cheshire West and Chester 005B,Investigation complete; no suspect identified
