Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
415069557949a782f9a0e1658429e1620ff828b4869c1b78f3cd753f378e9bb3,2013-11,Dorset Police,Dorset Police,-1.880056,50.900728,On or near BATTERLEY DROVE,E01020389,East Dorset 001C,Investigation complete; no suspect identified
2854f9ccef0d0242610b72bd44570a0820bfd88b9ab74378c1ad6b9a8aeafa9b,2013-11,Dorset Police,Dorset Police,-1.907402,50.806961,On or near Petrol Station,E01020375,East Dorset 009A,Investigation complete; no suspect identified
5243e915f3320f038708e238194a4dd1ea6c5a982253f089a1627aaf870eff4c,2013-11,Dorset Police,Dorset Police,-2.431663,50.703133,On or near SHASTON CRESCENT,E01020525,West Dorset 010F,Investigation complete; no suspect identified
e3827e388119d34465f94ece10e2fbbb57df687cb1a9652d77a019ea19575ff4,2013-11,Dorset Police,Dorset Police,-1.733286,50.741128,On or near HIGHCLIFFE ROAD,E01020370,Christchurch 004B,Investigation complete; no suspect identified
f39b8d28270bbfe1b8f1f06f34eb16b3ca4b36b5d6c6c0b7004469e0d0eb8159,2013-11,Dorset Police,Dorset Police,-2.159188,50.704516,On or near Park/Open Space,E01020476,Purbeck 003A,Investigation complete; no suspect identified
a6946687c307a82f5b0123a2558ec1ef97bca8dba05a54df43e20123efa52760,2013-11,Dorset Police,Dorset Police,-2.078840,50.755605,On or near PROSPECT ROAD,E01020469,Purbeck 001B,Investigation complete; no suspect identified
41342e3320bdb7ab4ab7ca06ffc2c20d24950b173fffa053267895419a953370,2013-11,Dorset Police,Dorset Police,-1.746996,50.729603,On or near CRICKET CLOSE,E01020356,Christchurch 007C,Investigation complete; no suspect identified
f04708cbe35d5b84ad76e28bd0e5cb660611d86317848c779ac5b589434002b9,2013-11,Dorset Police,Dorset Police,-2.469082,50.614409,On or near LINKS ROAD,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
aa7e2c26bb72f5a6202f68f051d754215034a3fafe0f5a40cb63f7866b9a6c49,2013-11,Dorset Police,Dorset Police,-2.026021,50.735539,On or near BLANDFORD ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
aefd8f776703809ac793a3fbd9bd39259b4ac17ba58f155dc8c015d151020bf6,2013-11,Dorset Police,Dorset Police,-2.458152,50.613886,On or near Pedestrian Subway,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
c8eb65298879351d805ff55cfe64d77f2f36da71ce77b86b296c7496fa5a76ec,2013-11,Dorset Police,Dorset Police,-2.119730,50.696506,On or near BOURNE DRIVE,E01020487,Purbeck 003E,Investigation complete; no suspect identified
aefb8465b73ee480d3762b0367adbb4759b7cd76070f241b33943bc274ff382b,2013-11,Dorset Police,Dorset Police,-2.286124,51.035457,On or near THE LAURELS,E01020464,North Dorset 001D,Investigation complete; no suspect identified
5bd74e2bed0d25e16d11ba1f7a49f30e79b4f1cddda14d5bec357e521be716c1,2013-11,Dorset Police,Dorset Police,-2.162161,50.859733,On or near NURSERY ROAD,E01020439,North Dorset 007E,Investigation complete; no suspect identified
9ca367cc89fb95797b039e42a40ca877727e9521c6a8056a18caa8b8387792ca,2013-11,Dorset Police,Dorset Police,-2.452982,50.605453,On or near Shopping Area,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
bef6caa38a45c7a38642781bea08be85dd0746967360e6fbc15b2cb3542861ce,2013-11,Dorset Police,Dorset Police,-2.087209,50.720339,On or near FIR AVENUE,E01020476,Purbeck 003A,Investigation complete; no suspect identified
b83711ec2d3723d3d25838c8ba86941716005a0284eac5c87aac7cb0f762843d,2013-11,Dorset Police,Dorset Police,-1.781268,50.730032,On or near Ferry Terminal,E01020367,Christchurch 006D,Investigation complete; no suspect identified
93e553997c92a0929cde77a5b3632e80672d9f94b541394963b33fb54c90cc82,2013-11,Dorset Police,Dorset Police,-1.812700,50.838789,On or near RINGWOOD ROAD,E01020403,East Dorset 004A,Investigation complete; no suspect identified
b11baae51cc48f22a294a71a4d4ec43d205e0923694421e2a8451dba222215de,2013-11,Dorset Police,Dorset Police,-1.867826,50.805358,On or near DERWENT CLOSE,E01020393,East Dorset 008D,Investigation complete; no suspect identified
6467a309d164fc2876efaee03f355788c669dae98f0229a2ed381d6a2d1d7157,2013-11,Dorset Police,Dorset Police,-1.872139,50.805525,On or near PETWYN CLOSE,E01020393,East Dorset 008D,Investigation complete; no suspect identified
b91e92d0a455eae0744e44a9a0e89b55c4c5eb0b50e113e1732fda55613a2e19,2013-11,Dorset Police,Dorset Police,-2.018617,50.858847,On or near POUND HILL,E01020396,East Dorset 005A,Investigation complete; no suspect identified
3a0996d0b8ff7b6beba776d2e3e96a9d185acd4968abdf51272a89873e0564ea,2013-11,Dorset Police,Dorset Police,-2.446768,50.562563,On or near CASTLE ROAD,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
