Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4ad289c4d71eecee614dc13d9428719f02835561de0587e189748e13345a922a,2013-12,Essex Police,Essex Police,0.138018,51.757797,On or near POTTERS FIELD,E01021834,Harlow 008B,Investigation complete; no suspect identified
0ad70a96a158b06bac00d8077ec6bcbc58cce131ec5f67f9ae859d0aba159a1b,2013-12,Essex Police,Essex Police,0.626039,51.803877,On or near SPA ROAD,E01021428,Braintree 015F,Investigation complete; no suspect identified
248c1d3a1bef7d13e84630fca736801f51c04b89e9b968d21a4cdad3b1c42242,2013-12,Essex Police,Essex Police,0.086303,51.771334,On or near Hospital,E01021843,Harlow 004E,Investigation complete; no suspect identified
61258365f56b18eb8987527e19f49bd0772cabf01aa32be06b5fde5e677d9c87,2013-12,Essex Police,Essex Police,0.992219,51.859196,On or near COCKAYNES LANE,E01021967,Tendring 009A,Investigation complete; no suspect identified
0deddc65e400b0920dd129497ef725c1fa07e719faa4652a8746222a75badfd8,2013-12,Essex Police,Essex Police,0.918755,51.922937,On or near HALE WAY,E01021682,Colchester 004D,Investigation complete; no suspect identified
ec4e0c4076f35e72a24579f78d750b41ea6cdf7826cfd2001e64f5412531fbdc,2013-12,Essex Police,Essex Police,0.510200,51.556892,On or near Park/Open Space,E01021310,Basildon 022B,Investigation complete; no suspect identified
0c3f4919e903043d494680bb518ed6093794f484391559bcc13b5380fa31be74,2013-12,Essex Police,Essex Police,0.780211,51.532041,On or near WATERLOO ROAD,E01015918,Southend-on-Sea 017E,Investigation complete; no suspect identified
f75859139944002fa05018886c9a781f3b2b63e7b2a07399e0e6bf2a567f6066,2013-12,Essex Police,Essex Police,0.455569,51.568490,On or near Further/Higher Educational Building,E01021318,Basildon 015C,Investigation complete; no suspect identified
32012d3a7d03c39b47a73d25e82ebc58872a30c9dd9864679c0ab893b58965b8,2013-12,Essex Police,Essex Police,0.574307,51.519961,On or near LONG ROAD,E01021502,Castle Point 011E,Investigation complete; no suspect identified
ff249323cdabaa7fa49e073f6a671ef702a3216fa10249ffb31938ae76b89c34,2013-12,Essex Police,Essex Police,0.717736,51.534325,On or near HERBERT GROVE,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
6bcf44351cdb792324ac96fd9848010760b8232fa2201c954dc8159ff6908efc,2013-12,Essex Police,Essex Police,1.142850,51.796290,On or near AGINCOURT ROAD,E01021968,Tendring 017A,Investigation complete; no suspect identified
2a1f17faf3b15cd6123f0d87d747b0778a27a2a32853c7e32fc4f1f6515ae5c9,2013-12,Essex Police,Essex Police,0.727293,51.543429,On or near OBAN ROAD,E01015843,Southend-on-Sea 014E,Investigation complete; no suspect identified
f831cbaec238ea0feed82e727b883dad356e973613b0ff96e7dc9f5099fc6c12,2013-12,Essex Police,Essex Police,0.572264,51.870329,On or near Shopping Area,E01021368,Braintree 011A,Investigation complete; no suspect identified
