Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8bd8a820089ffad61f43f43f51bb4d3da088e2fa5a56423b93acd909748ab8f,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045704,51.744010,On or near WHITE STUBBS LANE,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
a5d33a44eb6311752a9f65dfc14bacce746ab3f38c3b27911bceeada75c647b6,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021240,51.763851,On or near PADDICK CLOSE,E01023323,Broxbourne 003D,Investigation complete; no suspect identified
bc7aa4f999c66d1e42f6cc726508ea69c7b0c60b106fbd1007380b244e05c6d2,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031462,51.719744,On or near HALFHIDE LANE,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
8c9c918e838544f43694526f78b8fa55a0dcd14bc4e01674bab13df1aa6dadb5,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029883,51.720113,On or near HOLLYFIELDS,E01023344,Broxbourne 005E,Investigation complete; no suspect identified
c843b64f730fcf8e8558a2d88f17a388c59d89990bcab7a3fc06e1ab80127818,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013154,51.757896,On or near Petrol Station,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
d5ba8baf5a4ff5d4a88e45d301646d21a5b9cb598ec8a161c1f0b4ef3ec77159,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.017955,51.746863,On or near Parking Area,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
a3a2fbef193e0bf34241acca11203702ec631e4452106190ccf713fef0982e4a,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.011354,51.775788,On or near BEYERS PROSPECT,E01023317,Broxbourne 001B,Investigation complete; no suspect identified
16c713650c9554126eaa3f79080ceac6a6e69afdcdb7f8202fc02030533a19aa,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037893,51.745093,On or near Park/Open Space,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
bf6a9c7f2654beb388bbe6c6bb2ac5cebbd85b7e688045eb92f50a6124cdf462,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020050,51.772832,On or near WESTBUSH CLOSE,E01023319,Broxbourne 001D,Investigation complete; no suspect identified
f45b85d3da34e713f48fe03deb19a5956df90e1082b9a0ab83d1f41832a24a66,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045704,51.744010,On or near WHITE STUBBS LANE,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
