Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
093268ab506bda6d46966bd7ccb9c2354228061bc4d9208c4230671c3c903f1b,2013-12,Surrey Police,Surrey Police,-0.396859,51.409233,On or near SUNBURY COURT,E01030756,Spelthorne 010D,Investigation complete; no suspect identified
d2bfd9d339fdbadc944acb7a901f14458acab015437b4d94a074b67208fd7429,2013-12,Surrey Police,Surrey Police,-0.172075,51.241267,On or near DOME WAY,E01030615,Reigate and Banstead 010A,Investigation complete; no suspect identified
cf20515076d5a245995cd5d2e8df72b3627d8a9296856a368e1418ed83a48db2,2013-12,Surrey Police,Surrey Police,-0.506568,51.341261,On or near BIRCHWOOD ROAD,E01031004,Woking 002E,Investigation complete; no suspect identified
7c0ee143785a6b52b300cca916f4fa508b42d38a98787c31d7bb2dfb7778cd1b,2013-12,Surrey Police,Surrey Police,-0.565287,51.242404,On or near PARK CHASE,E01030438,Guildford 013A,Investigation complete; no suspect identified
99f89f89f8ed326cc8aeec96a8c327bee0cd05c30b79b6d9e8b57e71c7e2676c,2013-12,Surrey Police,Surrey Police,-0.336428,51.389704,On or near STATION ROAD,E01030352,Elmbridge 005C,Investigation complete; no suspect identified
013c8342e7136e53b70e933fdcb336d9d26f9a3367d21449aad24ad996e9f839,2013-12,Surrey Police,Surrey Police,-0.140592,51.292948,On or near BOWEN WAY,E01030569,Reigate and Banstead 004E,Investigation complete; no suspect identified
ece7c61c94abf9061de128e1347093b32e7b3a28ca54cd2e0a05cf1cf33c5ee7,2013-12,Surrey Police,Surrey Police,-0.159346,51.308883,On or near BOUVERIE ROAD,E01030568,Reigate and Banstead 004D,Investigation complete; no suspect identified
30e1196a98434ffb068ed9c68d8635a718bfa0841dd3af213eb0221713449c0c,2013-12,Surrey Police,Surrey Police,-0.539495,51.250214,On or near FINCHES RISE,E01030464,Guildford 008E,Investigation complete; no suspect identified
c72157ad289cf6a33eb975db8b305401b4ad4428f210a66df4a27f101919d0a8,2013-12,Surrey Police,Surrey Police,-0.609920,51.185598,On or near WHARF STREET,E01030916,Waverley 007A,Investigation complete; no suspect identified
1329df0b78e3a603f4a189b7ea6327b97bcb7afe4d186a2aad122c011dfb0f12,2013-12,Surrey Police,Surrey Police,-0.293601,51.318074,On or near FOREST WAY,E01030513,Mole Valley 001D,Investigation complete; no suspect identified
f7453cbe4fa9d1e6cd11fbe3cdb3a12392cbb9e6165e7bf8599885335f6c7ada,2013-12,Surrey Police,Surrey Police,-0.549002,51.259550,On or near MEADOW ROAD,E01030436,Guildford 011A,Investigation complete; no suspect identified
d11e8c99dcf9ae1405e4130a6421367eab584907e7a14efbd459a3bda648f98e,2013-12,Surrey Police,Surrey Police,-0.001291,51.257972,On or near Parking Area,E01030836,Tandridge 006C,Investigation complete; no suspect identified
4bf58ca3358020f51b660333e36f8ac6473c25d2a9dc34b21db3ac9ff051cef5,2013-12,Surrey Police,Surrey Police,-0.006027,51.256830,On or near HOSKINS WALK,E01030836,Tandridge 006C,Investigation complete; no suspect identified
216e2cd9b3369f44b72801437076ebaed4dd6d9a19f76125e947d7e1a8328074,2013-12,Surrey Police,Surrey Police,-0.475704,51.429348,On or near TALBOT ROAD,E01030715,Spelthorne 003F,Investigation complete; no suspect identified
f07c0962f90b108f41ee5951384039243335909960a163de3a1a95717495b86c,2013-12,Surrey Police,Surrey Police,-0.458354,51.211495,On or near HOOK LANE,E01030491,Guildford 018B,Investigation complete; no suspect identified
3097b406fc9dfe1f9e0c1e26c178158fe1bff212309d567a5cf803ee701a1c72,2013-12,Surrey Police,Surrey Police,-0.485827,51.197583,On or near RIDE LANE,E01030490,Guildford 018A,Investigation complete; no suspect identified
fb9a62b22a7bf84a1f6acbdd51e17166e4d9a3d3eca36fb6a09be33f2808c470,2013-12,Surrey Police,Surrey Police,-0.246185,51.348983,On or near PORTWAY CRESCENT,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
2da4ebdfdf9b45601396c16692a6ddcbf7649c4d6dc70b3f29b1424d0d51a0e7,2013-12,Surrey Police,Surrey Police,-0.717165,51.350851,On or near MITCHAM ROAD,E01030788,Surrey Heath 004C,Investigation complete; no suspect identified
