Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
31b2b923816fb71a342175ae372a7129ed6617406b8c1392359797caf29a33f2,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.714724,52.242182,On or near COLLEGE STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
3eff410a2326784fb507f4bc29b7335b85f899516ea33eacfbefe64ff4147e7e,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.520479,52.225674,On or near THE STREET,E01029957,Forest Heath 005C,Investigation complete; no suspect identified
168e32a67cafbb7f37ebdae4e174a40e572ab8ccbf1e935af26e682e686af602,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.401304,52.256171,On or near WESTON WAY,E01029955,Forest Heath 006D,Investigation complete; no suspect identified
d5b1794a66723fb9c6715d9d6b7fa8d46c9a661e77d15ee4da5fd04d596a8ea3,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.155239,52.056858,On or near Shopping Area,E01033125,Ipswich 007G,Investigation complete; no suspect identified
e5a83453fbaf880f780cb748c68b95f63ec40f2206cd72bd842e7435ef455a23,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.941866,52.302117,On or near ELM DRIVE,E01030068,Mid Suffolk 002F,Investigation complete; no suspect identified
e4a137016fadedeb6871bb9e4317aa2463c17f173fe313048a0af5c3c50c8e5a,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.709183,52.232022,On or near Park/Open Space,E01030142,St Edmundsbury 009B,Investigation complete; no suspect identified
f3d64bd262bd0bdc1f3140058340e5fa32daf6212217d3a751dfd17c2d3face9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.440064,52.450335,On or near SOUTHEND ROAD,E01030230,Waveney 013A,Investigation complete; no suspect identified
b7c6f5ba9a09baa099e27ab8e01d4bfea10ff64fe24c15107c6fcbd5355cc522,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.152112,52.057814,On or near Nightclub,E01033125,Ipswich 007G,Investigation complete; no suspect identified
3b1df728fea2ad370d568c6485117d917abc9f1d790687cd7729ee6caae59de5,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.732561,52.470949,On or near WAVENEY DRIVE,E01030255,Waveney 005A,Investigation complete; no suspect identified
4c935dc19d29bc11a3d8eac43bdbb4f42d388eb7848812d470aed5544e8d9567,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.246342,52.093668,On or near GRUNDISBURGH ROAD,E01030175,Suffolk Coastal 006A,Investigation complete; no suspect identified
7fc04e2ddaa39e0768c1564a87f5d4c298a0ed53612e9964f9183ae782853e42,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.397543,52.260060,On or near Supermarket,E01029953,Forest Heath 006B,Investigation complete; no suspect identified
190637cf01d1d5eca131a1f274510ba95b3582b1907c90defa624d36f84785b9,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.747583,52.486692,On or near KELLY-PAIN COURT,E01030262,Waveney 002B,Investigation complete; no suspect identified
de7463c8b72015091312de084b72ca4a8b16fdd181e50f77662bff0ba84ad846,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.147997,52.074401,On or near DALE HALL LANE,E01029973,Ipswich 002A,Investigation complete; no suspect identified
adbb50e613ee19ba8cc3d7d2d8cdb1093513b8f1d4a8de36b79f257b1a802e8a,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.443479,52.090797,On or near HILL CRESCENT,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
11495af635ea2313ff2475594e959b13c222fa2b173b291c42427dd4656f80d6,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.733968,52.041949,On or near UPPER EAST STREET,E01029912,Babergh 007A,Investigation complete; no suspect identified
85115d1934ae8c343bd97c7af10f59d55516afc8721082edf9a1c5856ac7b68b,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.705018,52.484796,On or near LIME AVENUE,E01030267,Waveney 003B,Investigation complete; no suspect identified
ff966a05b2ffe308eb44578a837055062178a9efde42da49c8d3e59e40dbd85c,2013-12,Suffolk Constabulary,Suffolk Constabulary,1.133114,52.086337,On or near AKENHAM CLOSE,E01030035,Ipswich 001D,Investigation complete; no suspect identified
7c876f285e76618eaf5dc2c2ff33e80db506c80fcbd31a0a77b4ca1c0992b125,2013-12,Suffolk Constabulary,Suffolk Constabulary,0.581700,52.298764,On or near THE STREET,E01029941,Forest Heath 005A,Investigation complete; no suspect identified
