Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
47bf42daf1f0866ee151f1c8132e41a1073d8a71a9338ac8ba0fdc74b7b745b6,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.252377,52.585692,On or near ENGLISH STREET,E01015604,Peterborough 010B,Investigation complete; no suspect identified
578453aa3ede2dd15677a140b142139631554810538dc211ff8946a538cc8fdb,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245356,52.571877,On or near PRIESTGATE,E01015599,Peterborough 014A,Investigation complete; no suspect identified
8650d5113c5d39b5495b1c89f31e00804ce2c1b200bcee80fdf7b8e6be85865a,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.234077,52.573832,On or near SOUTH STREET,E01015611,Peterborough 013B,Investigation complete; no suspect identified
a704b80ab8080938a75a8a558c6498d4c952fa5ee2d7a2a7bd30d47b523858fd,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.234077,52.573832,On or near SOUTH STREET,E01015611,Peterborough 013B,Investigation complete; no suspect identified
097ae66a867092fbee843c3c69f6da474becc96162ec43c4988911a8de215e11,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224022,52.583095,On or near Sports/Recreation Area,E01015615,Peterborough 013E,Investigation complete; no suspect identified
b5b0d8add460ea81ef4c45a83eb2c14a1d141fc06289d0426d1752914373bd5e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.045873,52.279349,On or near HADDOW'S CLOSE,E01018266,South Cambridgeshire 003B,Investigation complete; no suspect identified
d150d4c7ac8888bc68bbde1d573414743fe5feb634e840fd9e58ed834c6520c3,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244992,52.575828,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
f8425a089e13350dfbb9c31d9f3e2667adb430a34c4fb3dfb03b0b2906a0c57b,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.014105,52.364641,On or near DRURY LANE,E01018199,Huntingdonshire 006D,Investigation complete; no suspect identified
ff53911d6118571426a00fd43a259bb39225d185d5ee21e47409a4deb3b9d79a,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.259239,52.578295,On or near Supermarket,E01015692,Peterborough 016E,Investigation complete; no suspect identified
949854d5c90fa9fed737615efe19e433a11bde016ae30ee2c909758288ba45cf,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.171314,52.124964,On or near CHAPELFIELD WAY,E01018279,South Cambridgeshire 015A,Investigation complete; no suspect identified
b55188fd4f1cd164c0fc7d563e2882428f10b752b508062dfc5a262aacb5be2e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111338,52.220289,On or near Supermarket,E01017949,Cambridge 002A,Investigation complete; no suspect identified
5567426dafa309c6b15aa63c652e3b0cd41b7f67088aaf64fa462b876da37c07,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.248797,52.581081,On or near VICTORIA PLACE,E01015600,Peterborough 014B,Investigation complete; no suspect identified
2740ca18dfbd10a7f6deedb5dd8824641c208f2eca1badb8d01b37603789c53f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.262672,52.407673,On or near STOUR GREEN,E01033426,East Cambridgeshire 003F,Investigation complete; no suspect identified
6ab3956477511b109eb8466ed409fe6bdda25bb5f457ffc7e71f9a1231c12eab,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.173930,52.339311,On or near ASPEN GREEN,E01018143,Huntingdonshire 008A,Investigation complete; no suspect identified
cc36ff0f4f78967fc833faa2961af94e1065b7d6a76ede1cc512d0813885949c,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.171851,52.341670,On or near THONGSLEY,E01018144,Huntingdonshire 008B,Investigation complete; no suspect identified
5ababcc7b3b5d4e6bfebe7c87822a204f586f13c6a62faa9860196f76cf51692,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.218645,52.347759,On or near PUMP LANE,E01018054,East Cambridgeshire 005F,Investigation complete; no suspect identified
1cd5b6104a8ad8ef70569578e62fa748b514acecf48fc5efa86a8967aae0c10c,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.273592,52.628054,On or near WOODHALL RISE,E01015681,Peterborough 002C,Investigation complete; no suspect identified
f4950217c0c2f1c1a038446b58a6ac34203975cd6260292d583030fc87f8ad4f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.132384,52.204561,On or near ADAM AND EVE STREET,E01017983,Cambridge 007C,Investigation complete; no suspect identified
5d2414f8255b54d4be338053064a259540a430328ca3d1b19bae34be5d889a25,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120216,52.206273,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8fa5a00473265bf8c61129b65113ccdebd0adf5b1d5c9340f25f8f788d0bcffc,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.144030,52.213297,On or near ST BARTHOLOMEW'S COURT,E01017945,Cambridge 006C,Investigation complete; no suspect identified
24167c9f15a7f837aa0a9c5f6d835a625363b62fb3881ad9376f19986b59c4a1,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.314789,52.493227,On or near THE PADDOCKS,E01018127,Huntingdonshire 002A,Investigation complete; no suspect identified
55b4fd8b121faa7edc4417049cbd9679be44f93a87b49630ae0804a096139f21,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.175765,52.322552,On or near POST STREET,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
4113cd22901220f574ab506b9804398008ea0cb03d0fe7c50e430669d3bc9ced,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118839,52.205632,On or near PETTY CURY,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8dfea288d5162b3e569d4fca98de261b546c0bd3f7e3ae276bda82d16d0984d7,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118189,52.208890,On or near BLACKMOOR HEAD YARD,E01032797,Cambridge 007G,Investigation complete; no suspect identified
625e4a1a66861352b8410d05f8c3e542bbbfab8a9a3d84312fbcf4401b4a3bcc,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.171943,52.187735,On or near DESMOND AVENUE,E01017964,Cambridge 011F,Investigation complete; no suspect identified
8cbb4c0b3a1aeae1b016375f189894460443127fedfc5e613c52bb403b67090f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279526,52.619913,On or near SWALLOWFIELD,E01015679,Peterborough 001D,Investigation complete; no suspect identified
4b7afbae5f19ab1ff7b20b6afe285bfbdefc2f244a90acc14f725bb7f671c64e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121326,52.204688,On or near Nightclub,E01032797,Cambridge 007G,Investigation complete; no suspect identified
9dcfc69edad9e5a34b7c73a9937db0e078ed20cb7426bbeeeefb32bb701a93c9,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.158695,52.215062,On or near DITTON FIELDS,E01017945,Cambridge 006C,Investigation complete; no suspect identified
d0242104a5d929368e091c26b693f71691fc7dee16182aab02a2d88668cafbb4,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119789,52.204689,On or near GUILDHALL STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
3e336f29bb7609a96e100cc2edb4a248e758f399dbdba416da96a41b108b9ffa,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284534,52.591935,On or near FLAXLAND,E01015594,Peterborough 011C,Investigation complete; no suspect identified
067f7ca3a15f7371a2e10260c88e4f2a799bc679924b1e24a103c395c2e6f14c,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.075300,52.343023,On or near CONSTABLE ROAD,E01018162,Huntingdonshire 011B,Investigation complete; no suspect identified
864e47f305a5cf9292ededd8749c1e09a3a39aad9ec28804bbbc2f8790d32643,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.408367,52.245884,On or near EXETER ROAD,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
ea5a527db898a19bc78574deca5783092ce384b706c2e0290fbc776f27625b1a,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244096,52.334135,On or near Park/Open Space,E01018118,Huntingdonshire 010F,Investigation complete; no suspect identified
1ed9439f0efceb45c03cf6e267ef05e5c5e73645a4425e868eae68627fdfaa07,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
4ff976f8f5f6cffed46e2c65d8ee460d34c825e2542322fd3698fa06343e7e81,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.067176,52.562022,On or near Petrol Station,E01018081,Fenland 005A,Investigation complete; no suspect identified
