Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
70d4d1329e22f0374bb74190eaf0de62eac9085bd0f79261ddb38b56671ec00d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.891112,52.263499,On or near WEST RIDGE,E01027230,Northampton 009C,Investigation complete; no suspect identified
2645250c74c4fdad7ccd36571b6c8d061ade6d83cd6b0ab4b4e72c1d05bf46e6,2013-12,Northamptonshire Police,Northamptonshire Police,-0.588932,52.293577,On or near LAWTON ROAD,E01027060,East Northamptonshire 009C,Investigation complete; no suspect identified
104be1f98be9513aaad53ce49f3e7c10ca33ee5a15ebcd46cba47bdb58e91ae2,2013-12,Northamptonshire Police,Northamptonshire Police,-0.851344,52.250451,On or near MEADWAY,E01027256,Northampton 020B,Investigation complete; no suspect identified
1a588c4d006cab656d4e5ab8d1c776845fd5217ea1cfd1aac70df06bd42c4a8b,2013-12,Northamptonshire Police,Northamptonshire Police,-0.897219,52.235847,On or near BRIDGE STREET,E01032979,Northampton 021F,Investigation complete; no suspect identified
edd2a23b858635c0ddc6b36f3b8823bc031f6933737f319c2784dae203486b0d,2013-12,Northamptonshire Police,Northamptonshire Police,-0.702129,52.487554,On or near Parking Area,E01026949,Corby 005A,Investigation complete; no suspect identified
b01819bd7a6177ea9ee594f72cbc64dcb0aae8f629447bdf04f2f4d148222e45,2013-12,Northamptonshire Police,Northamptonshire Police,-0.707728,52.500050,On or near SHAKESPEARE WAY,E01026970,Corby 002B,Investigation complete; no suspect identified
23cea8e5c1b5901c255c0c7656503cf44736cce59fad075a036108073567f20e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.707728,52.500050,On or near SHAKESPEARE WAY,E01026970,Corby 002B,Investigation complete; no suspect identified
0876069c1a91421018a621628d1e2873571d53cb1dabc4cf2f20da9d3c0e9fa6,2013-12,Northamptonshire Police,Northamptonshire Police,-0.764714,52.502034,On or near DARESCROFT,E01026980,Corby 001C,Investigation complete; no suspect identified
fede60c3abdd4233244f7e512a195afec2a4edee949ba6120c8da984827137dc,2013-12,Northamptonshire Police,Northamptonshire Police,-0.961858,52.247087,On or near ROUNDWOOD WAY,E01032975,Northampton 029E,Investigation complete; no suspect identified
8b7951053ee49bc8cff0f1438fc946de01fdc1a53bbf87ecc13f8f2cc640c70c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.605957,52.292601,On or near MONTAGUE STREET,E01027065,East Northamptonshire 009D,Investigation complete; no suspect identified
7a18dcdba459f2bcd0136f164ae3f5a28e9f91b42b71170ec7adc20d80216d31,2013-12,Northamptonshire Police,Northamptonshire Police,-0.846252,52.252469,On or near WELLINGBOROUGH ROAD,E01027181,Northampton 010C,Investigation complete; no suspect identified
7087b4307ffc16fd4f3cec8f22f21d9f3b105cbae479522a9ec09a9d36314b37,2013-12,Northamptonshire Police,Northamptonshire Police,-0.863188,52.261606,On or near GREENFIELD AVENUE,E01027172,Northampton 006B,Investigation complete; no suspect identified
1f19076ecab64b70af5bca79c19699d4a0e2a55f408827f27fd83ebeb26bf0ff,2013-12,Northamptonshire Police,Northamptonshire Police,-0.881908,52.239668,On or near PALMERSTON ROAD,E01027228,Northampton 023D,Investigation complete; no suspect identified
7acae83a0476062b51724eb57e2b070a73bef111921483046d4951517e640787,2013-12,Northamptonshire Police,Northamptonshire Police,-0.864008,52.253594,On or near WHEATFIELD GARDENS,E01027169,Northampton 012B,Investigation complete; no suspect identified
d6e0eb49c7569927717d8c612dccfbf691c7e9aef739b52245f1a0942ba900b2,2013-12,Northamptonshire Police,Northamptonshire Police,-0.896084,52.256209,On or near EDINBURGH ROAD,E01027192,Northampton 009A,Investigation complete; no suspect identified
85c03baed49cfefbd6c690ecf13f6d13755e9cbcf01462639fb3d166865ea77e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.596781,52.289247,On or near Shopping Area,E01027060,East Northamptonshire 009C,Investigation complete; no suspect identified
