Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
60fccf3b9443a23bc1b6ad9fc34493bab249edac6fd61b837df549014029b4fb,2013-12,Lincolnshire Police,Lincolnshire Police,-0.142650,52.791514,On or near MARINE ROAD,E01026272,South Holland 007E,Investigation complete; no suspect identified
2cfa0764cb636976aaea5685efef49d992cc2a5522e54b05594982eceae47022,2013-12,Lincolnshire Police,Lincolnshire Police,-0.142650,52.791514,On or near MARINE ROAD,E01026272,South Holland 007E,Investigation complete; no suspect identified
c62b6fa5f9cb9d7a6487439262c44b8f443df4fa26cf28b9a14ad137d4a4a1ff,2013-12,Lincolnshire Police,Lincolnshire Police,-0.115756,53.207116,On or near WARING STREET,E01026067,East Lindsey 011D,Investigation complete; no suspect identified
3da97fd306b935847a63e0f7440be070111c6f023f4b7fb428e881c9ef7c9f81,2013-12,Lincolnshire Police,Lincolnshire Police,-0.010694,52.974675,On or near GOODSON CLOSE,E01026026,Boston 004C,Investigation complete; no suspect identified
9d04537b32ed33e77b0b3ffe26e818e2474ed11ce3feba85774edcbfd31672a6,2013-12,Lincolnshire Police,Lincolnshire Police,-0.551909,53.250414,On or near BUCHANAN STREET,E01026149,Lincoln 001A,Investigation complete; no suspect identified
c441e63136a6d89f2c9211c6743becd7d72bd5a3ef09c305c214adef260632c9,2013-12,Lincolnshire Police,Lincolnshire Police,0.040599,53.136600,On or near PADLEYS LANE,E01026060,East Lindsey 009A,Investigation complete; no suspect identified
c06224f74106b883fe6d8e740b4c42279b567e484fb903d1f3f3f4aca51b0f8d,2013-12,Lincolnshire Police,Lincolnshire Police,-0.756917,52.988938,On or near THE PASTURES,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
2a2a25ecfdf3d8238385d2bc9eaa52550e3a61108cba6a87816cbd8608fdaea7,2013-12,Lincolnshire Police,Lincolnshire Police,-0.010694,52.974675,On or near GOODSON CLOSE,E01026026,Boston 004C,Investigation complete; no suspect identified
5f0bca3c383a5b41b462f40281e0dc87ffecbef3ff1751f1292b9353c946a0fc,2013-12,Lincolnshire Police,Lincolnshire Police,-0.030564,52.975959,On or near TRAFALGAR PLACE,E01026006,Boston 003A,Investigation complete; no suspect identified
d7f14d8f0b4cc5801b1b493d931e663443e6c36f27e33933a3e6e607bf9a702c,2013-12,Lincolnshire Police,Lincolnshire Police,0.239880,53.107114,On or near MAWSON GARDENS,E01026112,East Lindsey 017D,Investigation complete; no suspect identified
