Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cf313ef3fda4626abb44d3732251fe0d96531541f70b18f73c0916c793895cbe,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
2be6028fe0914ffed3a6dc27a55c65928f703b21a8ae94e2bd0122cc87dba686,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
1594424c166a74a23633307013ddc17e5b8a02fb65dc780a74d774a7f45c61c8,2013-12,Kent Police,Kent Police,,,No location,,,Suspect charged
643a501949b5b6864cd0d9cc5c1ff2227ec1963943c659405d18a8aec09769cb,2013-12,Kent Police,Kent Police,1.330404,51.375392,On or near LINKSFIELD ROAD,E01024713,Thanet 007B,Investigation complete; no suspect identified
e116da58caeec06d919ee0f68565e194d4d83b9602f3f97ff2261a27edd33c08,2013-12,Kent Police,Kent Police,1.183485,51.083818,On or near QUEEN STREET,E01024504,Shepway 014A,Investigation complete; no suspect identified
be69129fe529de103654ca6aa71f03e5c9d51c4efd31ff8bc9305592cadb2480,2013-12,Kent Police,Kent Police,1.398966,51.391358,On or near FIRST AVENUE,E01024660,Thanet 001D,Investigation complete; no suspect identified
8e7f3a3dc0b2b63be90d26e594f0c97ab4740390f3e77f023f2f4cee53338be1,2013-12,Kent Police,Kent Police,0.851003,51.132809,On or near LEAVELAND CLOSE,E01024020,Ashford 008C,Investigation complete; no suspect identified
609b4647fc05ecf90920c077f2d182aada27a32e3970ba0dbd3a62eb354dbfc3,2013-12,Kent Police,Kent Police,1.415271,51.340033,On or near PERCY ROAD,E01024670,Thanet 015D,Investigation complete; no suspect identified
88627c26b95d7bb214c6b30f6cfa0f46a7e23d7d9895012c5d0b8b35ce33b7ee,2013-12,Kent Police,Kent Police,1.021548,51.346309,On or near MILLERS COURT,E01024062,Canterbury 009A,Investigation complete; no suspect identified
36c77313daefb88ce1b4baff9f949656a2dadb15cdad66ecf431eed1d870e9df,2013-12,Kent Police,Kent Police,0.878907,51.158748,On or near BYBROOK COURT,E01023984,Ashford 004C,Investigation complete; no suspect identified
dadcb4418a0dd24c588654847f2af62540fb7f8270c0eb625f1a80fc1653c51e,2013-12,Kent Police,Kent Police,0.875706,51.139030,On or near RUGBY GARDENS,E01024002,Ashford 005B,Investigation complete; no suspect identified
c67ed006469a4e3bbf4edd422758b3898b69c2ac9bad70862f19d19abd82cced,2013-12,Kent Police,Kent Police,1.077579,51.282481,On or near POUND LANE,E01024124,Canterbury 020D,Investigation complete; no suspect identified
da4c1ed9a22de0011762f7c1ffa45745da8abebc3a3454446136da78aa2f5ab9,2013-12,Kent Police,Kent Police,0.872854,51.139145,On or near TORRINGTON ROAD,E01024002,Ashford 005B,Investigation complete; no suspect identified
7a78c7d4d4173e1711537f7716ef4f6cf4c31221f22c5387abc604b1e4813b3b,2013-12,Kent Police,Kent Police,0.854851,51.139802,On or near BARNETT FIELD,E01023975,Ashford 007B,Investigation complete; no suspect identified
9e45f4d1843b96a70bf145088bbaaad0b1d501408818750072756d387f1867d1,2013-12,Kent Police,Kent Police,1.181474,51.083243,On or near CLARENCE STREET,E01024507,Shepway 014B,Investigation complete; no suspect identified
833db6cbcf5c4c244e439da38c099d32fd218245554df0ffd5047ee342a20cdd,2013-12,Kent Police,Kent Police,1.075912,51.072723,On or near SIR JOHN MOORE AVENUE,E01024524,Shepway 010B,Investigation complete; no suspect identified
cf3f7574812508339ef24c854c0a72bdafc59200f1b31c85c73daed0cc254004,2013-12,Kent Police,Kent Police,1.072927,51.272961,On or near YORK ROAD,E01024130,Canterbury 019C,Investigation complete; no suspect identified
c269ba4cdad7d982d69e2046937ffddf4101304eab259d957c59f3e3a632147c,2013-12,Kent Police,Kent Police,0.875706,51.139030,On or near RUGBY GARDENS,E01024002,Ashford 005B,Investigation complete; no suspect identified
c1a8d0982e411e92b70eada5fc9e8e0ec3f6fe3f7d6bcdc25c4ca02bb1fd1f52,2013-12,Kent Police,Kent Police,1.401011,51.235672,On or near GODWYN ROAD,E01024227,Dover 003D,Investigation complete; no suspect identified
ffa3b0f3b89d6126e9f6a35cf5b345281c763e2343093066b60fe8ea36c676f9,2013-12,Kent Police,Kent Police,1.313408,51.333301,On or near ST MARY'S ROAD,E01024702,Thanet 014B,Investigation complete; no suspect identified
27d2b7fdbc5fd0449834f7cd95800d5ad1dac8a20e7e2abc35915d42a46cb2b2,2013-12,Kent Police,Kent Police,1.409809,51.375535,On or near JENNIFER GARDENS,E01024663,Thanet 006D,Investigation complete; no suspect identified
733ea341a2c15d4ad6982aacffd353786aab95a4e947e50a945b07270244d4a3,2013-12,Kent Police,Kent Police,1.361414,51.374920,On or near KINGSTON AVENUE,E01024672,Thanet 005A,Investigation complete; no suspect identified
d8d333f9d4ac3e9b8ac98f4cb3d4e9fde1494f9fc46c10a02db6e275d9da0c14,2013-12,Kent Police,Kent Police,1.407425,51.343267,On or near THE CUTTINGS,E01024687,Thanet 013E,Investigation complete; no suspect identified
48d19e175f657dd127e071b4b04e565895f429b69e1f0578a2048f37c4b6800c,2013-12,Kent Police,Kent Police,1.410468,51.380724,On or near NORTHDOWN WAY,E01024662,Thanet 006C,Investigation complete; no suspect identified
d0bf5a5b2225377757c1b123d36cab7adebbe0b9b29a37b6905e4ffa03700934,2013-12,Kent Police,Kent Police,1.415839,51.330302,On or near ADDINGTON PLACE,E01024649,Thanet 016C,Investigation complete; no suspect identified
7411e3eea3fdbe37b4bfb80273c4449a5462e7a5ad4933f17b12d1e9a1352127,2013-12,Kent Police,Kent Police,1.408190,51.376382,On or near BALCOMB CRESCENT,E01024663,Thanet 006D,Investigation complete; no suspect identified
7ea302076debcf26c285c2f0ae65141933d5c546fcfb7ac824643d5e4036a8ef,2013-12,Kent Police,Kent Police,0.933711,51.097770,On or near BANK ROAD,E01024013,Ashford 010A,Investigation complete; no suspect identified
d73a2839c0af6b458f7966692775a2a0c7ebf6830cbd94b4e45a2c813bced34c,2013-12,Kent Police,Kent Police,0.933711,51.097770,On or near BANK ROAD,E01024013,Ashford 010A,Investigation complete; no suspect identified
50a3d963b6a4219aa32a5eb3114da20314b3b72ad1fc151bab7d60bcfc737058,2013-12,Kent Police,Kent Police,0.864412,51.117559,On or near CHURCH LANE,E01024034,Ashford 010D,Investigation complete; no suspect identified
dfed7e9dc23a5d6924b7078d441a24fe6e86c57c0ec2fe934e4b927102c98bd8,2013-12,Kent Police,Kent Police,1.402126,51.384142,On or near LAUREATE CLOSE,E01024659,Thanet 001C,Investigation complete; no suspect identified
9b35029570a3508f2ce3a8a578756f687b2a42c0b381e13a84a90e56caf5c74b,2013-12,Kent Police,Kent Police,1.412606,51.330270,On or near ROYAL ROAD,E01024649,Thanet 016C,Investigation complete; no suspect identified
92b30cd86113e1f15858b15100ecf2075446cc03bc34a1bb7aa917830cf01998,2013-12,Kent Police,Kent Police,0.905421,51.129777,On or near Shopping Area,E01023996,Ashford 006C,Investigation complete; no suspect identified
f47c1a9cdcc017ecfebc2e4d98c15c3867d1795bdbed386b5f4bab00a5265183,2013-12,Kent Police,Kent Police,1.065604,51.270230,On or near ST JACOB'S PLACE,E01024128,Canterbury 019A,Investigation complete; no suspect identified
8e86bb9522c70d1cbe4c93ab6829a87927caa99a2c207fba6e68c14b378c4b91,2013-12,Kent Police,Kent Police,1.398701,51.187435,On or near CLIM DOWN,E01024232,Dover 009A,Investigation complete; no suspect identified
fdb5c607b39967e781cff53918d114349308aa99ff536528055b76e0d5837b72,2013-12,Kent Police,Kent Police,1.387131,51.389956,On or near NORTHDOWN ROAD,E01024678,Thanet 001E,Investigation complete; no suspect identified
d7f4b3d714d3e8bc4a3559298d5bf1d943e1ca1586a17d74e19b5453795f4a71,2013-12,Kent Police,Kent Police,1.126901,51.368925,On or near PARK ROAD,E01024083,Canterbury 003D,Investigation complete; no suspect identified
f8523188ea76c3fc014437663dd8b56be39efccbb7d0648afebae9ee22030558,2013-12,Kent Police,Kent Police,1.424186,51.359239,On or near ROYAL CLOSE,E01024690,Thanet 011D,Investigation complete; no suspect identified
a1fa6a8e7451088eb47b9634afaac58ae7d15ef3b9f213b273f355de3dd2a9f8,2013-12,Kent Police,Kent Police,1.318832,51.127708,On or near VICTORIA PARK,E01033209,Dover 012E,Investigation complete; no suspect identified
3d7ba460a9c9161752436508b6925ac1af0758a53d9caff54d9f237b636d0c82,2013-12,Kent Police,Kent Police,1.289913,51.112433,On or near ST PATRICKS ROAD,E01024249,Dover 013E,Investigation complete; no suspect identified
74af21d056aabbe908d6fe45e41074f3ef21ff872668426ce7ae9a2db22356fc,2013-12,Kent Police,Kent Police,0.854089,51.134397,On or near MONTFORT CLOSE,E01023976,Ashford 008A,Investigation complete; no suspect identified
66bbc0dd6d5dce0ccf5bcbded85fcb2e41984d4debe98ec770c13848e6820ee2,2013-12,Kent Police,Kent Police,1.406580,51.381026,On or near DENTON WAY,E01024666,Thanet 006E,Investigation complete; no suspect identified
ed522efb25f53ab9f86acadfaf5f76491e35ea83e6bff3d3134158fb3473a791,2013-12,Kent Police,Kent Police,0.705837,51.104474,On or near HOPES GROVE,E01024032,Ashford 011C,Investigation complete; no suspect identified
b04d46566b6e4257cf1b6498371d455aa91af1dcb71bf66684fc9ba515392c95,2013-12,Kent Police,Kent Police,1.412443,51.337147,On or near JARDINES CLOSE,E01024648,Thanet 016B,Investigation complete; no suspect identified
f72c797d023b43c2046d5a58ac741e429e538e23c5273226ab1a9a576a299f46,2013-12,Kent Police,Kent Police,1.414450,51.338258,On or near PARK ROAD,E01024646,Thanet 016A,Investigation complete; no suspect identified
89bfcea7de1c5203e7de40d778dc1d7e2eb04e44fcfca5ea51dfa6a864c1acfa,2013-12,Kent Police,Kent Police,1.410751,51.384916,On or near HOLLY GARDENS,E01024655,Thanet 002C,Investigation complete; no suspect identified
856a6a44505759690297a757fc9b8b82f1513fc670b995036c4f027ec7ed24ee,2013-12,Kent Police,Kent Police,0.884584,51.129385,On or near FAIRVIEW DRIVE,E01032815,Ashford 009F,Investigation complete; no suspect identified
87a6b3fe694326d538d085bfbc716dea7e6359ff6eff40cf5664ac0604feb397,2013-12,Kent Police,Kent Police,0.875290,51.151417,On or near Theatre/Concert Hall,E01024021,Ashford 004G,Investigation complete; no suspect identified
0e0c342636cae71688b569edb3ed6042208c4c6a26a83d764a8a56c26496db63,2013-12,Kent Police,Kent Police,0.937177,51.183239,On or near CHURCH STREET,E01024041,Ashford 001E,Investigation complete; no suspect identified
b65994b69715e2728ed165e01416ac72daef8a2619b1fbe2652b5eb4023b1f87,2013-12,Kent Police,Kent Police,0.869800,51.148682,On or near Shopping Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
68628f44c3fdd4dafa27e8bb3709cf80b1473a6452669eec11781ab5c8ad2420,2013-12,Kent Police,Kent Police,1.025825,51.358890,On or near WILLIAM STREET,E01024069,Canterbury 008B,Investigation complete; no suspect identified
3bfaf1065f21a343b29ef7dea167bf518a0d6671a0423fbe84f8bfca11efe228,2013-12,Kent Police,Kent Police,0.844332,51.129400,On or near CHARMINSTER,E01032823,Ashford 008F,Investigation complete; no suspect identified
072ee0ab666fe8fa1e26f707d997aded4b681ed6411d2ef23979393d09183de9,2013-12,Kent Police,Kent Police,1.392857,51.218143,On or near WILTON CLOSE,E01024218,Dover 007A,Investigation complete; no suspect identified
9e4e90e964892601b00a534b18e629fd7cfb16e796d50db5c90397a101740e6d,2013-12,Kent Police,Kent Police,1.201074,51.228103,On or near WINDERMERE GARDENS,E01024191,Dover 006B,Investigation complete; no suspect identified
