Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
22998f67fe174d75733fd02b3c1abe39c2e9fb74664498e03874ce6b6ae2b3ae,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.438786,52.480197,On or near Conference/Exhibition Centre,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
cf6111bc69e5130c5f28d6f1115122c5e52608c585d6607507c6d4237289e00b,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.268277,52.660482,On or near HASTINGS AVENUE,E01026531,Broadland 011B,Investigation complete; no suspect identified
9e728978ef8d765cf1004f265e174afe3d5b1861154041a57035fed4128a25c0,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.735471,52.602101,On or near SULTAN PLACE,E01026626,Great Yarmouth 006E,Investigation complete; no suspect identified
d365a82961da26238a6887372231f471aeddf5446e752001358e5eb9a5c1897d,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.305263,52.625909,On or near Parking Area,E01033439,Norwich 014B,Investigation complete; no suspect identified
33544639b38ae739e466c28eb72dd9b1caf476b1bceb35f1311ac9abf9be06d8,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.723860,52.574278,On or near ALBEMARLE ROAD,E01026631,Great Yarmouth 010E,Investigation complete; no suspect identified
75220a1e0fc5eab60b135227cc2d149aa6eda68382f4df4a837e275a187c8307,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.957558,52.671843,On or near HURN ROAD,E01026427,Breckland 005C,Investigation complete; no suspect identified
6449d82c974e687e78ac0ec1d59068bdb9245e1c8c0b16bd8093cc7ac4b366a9,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.849985,52.469446,On or near TOP DRIFTWAY,E01026491,Breckland 010E,Investigation complete; no suspect identified
861323397866efe0594959c5293e6672abd2f742796fba604c505a7c28260a9a,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.599610,52.686551,On or near A47,E01026445,Breckland 002C,Investigation complete; no suspect identified
0515a9709041c7e2a9477bc01e6d690ac90c52971331202bbc34f28a28631082,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.399663,52.746284,On or near ETHEL TERRACE,E01026700,King's Lynn and West Norfolk 011C,Investigation complete; no suspect identified
5e11d5e8dceca3397f3f9867f5e2234b834d5c405e5d7759420f03d8e2deea10,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.424369,52.612234,On or near LEACH'S TURN,E01026930,South Norfolk 008F,Investigation complete; no suspect identified
ae34aabeed9e79c6303be3db0fc274c64adbc908136e4e89076f688b8a71972b,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.732236,52.600377,On or near HAVELOCK ROAD,E01026626,Great Yarmouth 006E,Investigation complete; no suspect identified
0f76aa1ea8bf83fc79d034dca2c3e05ccd25142923f5f91e6e7d98629843e888,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.396215,52.604770,On or near LOWRY WAY,E01033036,King's Lynn and West Norfolk 017E,Investigation complete; no suspect identified
