Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
faaff38d56b7fa1308aeab2dbff4865347922d284877e8e586b05af3df20118a,2013-12,Warwickshire Police,Warwickshire Police,-1.543306,52.295853,On or near GREATHEED ROAD,E01031294,Warwick 009E,Investigation complete; no suspect identified
a9c4a382385c0f582696aa172103e8798f6a612d321fcea1baf977a4095c6d2d,2013-12,Warwickshire Police,Warwickshire Police,-1.872048,52.214908,On or near Supermarket,E01031184,Stratford-on-Avon 006B,Investigation complete; no suspect identified
a68ce2e64b0bcf0c48e55f47a85052d54a9113668feaa8dca6c36a59eddb4af4,2013-12,Warwickshire Police,Warwickshire Police,-1.872048,52.214908,On or near Supermarket,E01031184,Stratford-on-Avon 006B,Investigation complete; no suspect identified
507b17950f93d376e40932a905b078c07bd036edb31cd25cf05b218f3e39e3c3,2013-12,Warwickshire Police,Warwickshire Police,-1.872048,52.214908,On or near Supermarket,E01031184,Stratford-on-Avon 006B,Investigation complete; no suspect identified
dbf672631398425c57c7b8488020312efb507b8c3e2eb293beebee3d9e17c7e8,2013-12,Warwickshire Police,Warwickshire Police,-1.714581,52.186691,On or near SANDFIELD ROAD,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
de5d344173e80e9871eead514ce586eb03b8ba912b3d80e8ca92457c677d9081,2013-12,Warwickshire Police,Warwickshire Police,-1.587765,52.289418,On or near PERCY ROAD,E01031321,Warwick 011A,Investigation complete; no suspect identified
f681b1dd2f2c152bf9ec0b8eb3780ce6fbb8be95255c4ab0806c5d2eb3328cab,2013-12,Warwickshire Police,Warwickshire Police,-1.583474,52.288926,On or near GREEN LANE,E01031323,Warwick 011C,Investigation complete; no suspect identified
a6e4ff132a6084f9b8bfe5a4e00d53b17ca87752cc7b7dece3de92fa77bf0b14,2013-12,Warwickshire Police,Warwickshire Police,-1.535854,52.289063,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
1584c1fec2616b4e40f74853a9887f5a9e7b5c66080f272b5ef590dbb3ed0ded,2013-12,Warwickshire Police,Warwickshire Police,-1.744684,52.135514,On or near Airport/Airfield,E01031212,Stratford-on-Avon 014B,Investigation complete; no suspect identified
4bde31c78a52a27461d406271c99a0e4c080ab45188e7489803bccf82963fd17,2013-12,Warwickshire Police,Warwickshire Police,-1.896426,52.274511,On or near CRENDON CLOSE,E01031240,Stratford-on-Avon 003B,Investigation complete; no suspect identified
