Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f137cc2ccacfc41dbe6a923d3fd233e2aa18130c7bf1dd1e44ce281ab78a67fd,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.490414,52.938957,On or near WESTGATE,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
5c59663503e8fb55d73d725197ae14444d9795329e57f143620597a7f04a806d,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.980996,52.817280,On or near LYNG HALL LANE,E01026729,North Norfolk 008A,Investigation complete; no suspect identified
07cf71113e05b987c40ee3a35470b1f1642ddb9144e9e139a6f518aeee83c487,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.018260,52.509543,On or near Sports/Recreation Area,E01026423,Breckland 011B,Investigation complete; no suspect identified
38e3df339d3c11d71825c0b99730fda395a10265c543c4401a29dcf40cfddd97,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.261419,52.635930,On or near WINCHCOMB ROAD,E01026863,Norwich 006A,Investigation complete; no suspect identified
6a58fdfee7e1d31eeffff63dbcfdbea365ac07c1b9a37e6aa5771453df1e3007,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.820921,52.567256,On or near PRINCESS CLOSE,E01026490,Breckland 009E,Investigation complete; no suspect identified
c7951f3c9873f4fc2fefe4a782948ba7a84f3c742b82e8ee63ccb6c02cd4d511,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.283805,52.650196,On or near PALMER ROAD,E01026800,Norwich 001D,Investigation complete; no suspect identified
1772a63ced1e0ce57e08d748be79bdd3586dbcd7fff277b172afbe24c795b94a,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.505320,52.954028,On or near SANDY LANE,E01026681,King's Lynn and West Norfolk 001B,Investigation complete; no suspect identified
b1f5fa793b2130951552c2b3697cbf48ab2028be2b29362628977936c2ef4d9b,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.430356,52.755190,On or near BRUMMEL CLOSE,E01026663,King's Lynn and West Norfolk 010B,Investigation complete; no suspect identified
07b2a153e21b7436bace0b282acd22bcd32e531c463afa4022c75f62c645cedb,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.431589,52.753124,On or near HIGHFIELD,E01026663,King's Lynn and West Norfolk 010B,Investigation complete; no suspect identified
c4e5160ebb96c1c0f1dbeac981d06c6ca409819c149ea7e226497c729f4771b4,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.296055,52.401322,On or near Sports/Recreation Area,E01026900,South Norfolk 013B,Investigation complete; no suspect identified
1e68397a23f46418dd61dd8f1018ff431f2a94f94dd9785e432870f36769a83d,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.292642,52.629265,On or near Supermarket,E01026823,Norwich 007B,Investigation complete; no suspect identified
512e45c60aed7e5b93a6a0b0e8c750cd81c4b44ecd7e9869f07543bb2bf2537f,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.290420,52.629983,On or near Parking Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
e6d6843f375125cf17ba41a1d5519519a79775bd21cf24acc0c38784e99342b2,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.703886,52.580059,On or near SANDPIPER CLOSE,E01026583,Great Yarmouth 008C,Investigation complete; no suspect identified
71be1c5d5195b3f8b929c653de06c32cf2db40cca65e67b30bcf0833560e592e,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.946739,52.681879,On or near MATSELL WAY,E01026426,Breckland 005B,Investigation complete; no suspect identified
a7acf9404b90609d322369f0b2d2b9ac24905b5813ae8646344838cddad53213,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.849162,52.741737,On or near STANFIELD ROAD,E01026462,Breckland 002D,Investigation complete; no suspect identified
e59872e0d708089fd89f3ba2fde3a4197b81a6671fee066ce8580df84f89d0d1,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.244308,52.639017,On or near DEREHAM ROAD,E01026867,Norwich 006E,Investigation complete; no suspect identified
039744cf5687907af7239539ba59ca2959217336cc2d34d6199d89a7d07f2c6d,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.285689,52.664065,On or near OULTON ROAD,E01026797,Norwich 001A,Investigation complete; no suspect identified
719b0de3b42aae563ac107d0e899400b9aa23b462d4e451435b2f39819ee424d,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.277242,52.661691,On or near BRABAZON ROAD,E01026530,Broadland 011A,Investigation complete; no suspect identified
41a817dd1c50fd45737f05ce9f2888fb64d4c8eb35c08a1c7ba4b8e8996d9702,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.206617,52.640323,On or near FULLER MEWS,E01026794,Norwich 005D,Investigation complete; no suspect identified
fe27b4d179983af5d0660f847896bbb579e85e4e57f344813e70acd3234e98f3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.295902,52.626620,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
47080a5f6f0de455a94fda198f95c21e44d6200b8916c0cc37510d9bd7e209fe,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
74080dbb1c1665757dbcf8bfadf111ba52c120458f33d477d150ab6f45ab0683,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.278398,52.845162,On or near Petrol Station,E01026737,North Norfolk 006D,Investigation complete; no suspect identified
065bfe5a8ac20b95938142019b472fd25d7d590fa880c94b5df664b492b80a92,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.431574,52.749662,On or near FERNLEA ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
75bb023b77f9dcd198c9fa668acbd45be4d1866455ff70d9c726a84014186323,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.731384,52.628207,On or near Sports/Recreation Area,E01026640,Great Yarmouth 004C,Investigation complete; no suspect identified
9351b409ffec24505405fd05e0d92f72fdb76f01c32c12e5c5afef532946a3b9,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.414167,52.724814,On or near MILLFIELD LANE,E01026724,King's Lynn and West Norfolk 014E,Investigation complete; no suspect identified
83d30179f780557fb81874a9e0e11590d086208b10fd2cde2e987ce80ea46d09,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.402800,52.700942,On or near KEYS DRIVE,E01026580,Broadland 008E,Investigation complete; no suspect identified
38808288fa5ccb14f41dcf310e3b51492d536bd49e749221797dc37c90c558df,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.350679,52.632655,On or near GARGLE HILL,E01026573,Broadland 015E,Investigation complete; no suspect identified
2ee135f937d16eae5202dfc070fb9b998186517f07d74d9b2ffcc307b284fcd3,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.630873,52.898792,On or near MILL LANE,E01026656,King's Lynn and West Norfolk 002C,Investigation complete; no suspect identified
d1f606fb24142d3ebe9423c3e50d0dfd1fb08d45cb890edff2f34453b4e6a186,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.397435,52.818492,On or near FAIRVIEW ROAD,E01026755,North Norfolk 010C,Investigation complete; no suspect identified
bc689802f260d4b88d385367ae312d5580b9a39b44013eb3a035506aedcd4677,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.294877,52.627539,On or near Bus/Coach Station,E01026822,Norwich 007A,Investigation complete; no suspect identified
7e8058db6bd4bcff0eb71c551b5846a10a737a189dbca0eda2be915b9fe6a452,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.361692,52.598036,On or near SAINT JOHNS WAY,E01026707,King's Lynn and West Norfolk 017D,Investigation complete; no suspect identified
52a272cc527db6413753285ffd976594ef0f46d60c950562ca3ca771a314d87c,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.929472,52.666866,On or near LISBON ROAD,E01026433,Breckland 005E,Investigation complete; no suspect identified
