Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b12d1baf5a5983119d44c5821d16b4834903f5ecd7cb2c092b8b2865f0fbc808,2012-07,Kent Police,Kent Police,0.511638,51.409522,On or near WAINSCOTT ROAD,E01016146,Medway 004A,Investigation complete; no suspect identified
26cc80a97a1affcb377b6bdaee08a3af83fe26508048a5db97bab46056d22b25,2012-07,Kent Police,Kent Police,0.352430,51.346744,On or near WILSONS WAY,E01024273,Gravesham 013A,Investigation complete; no suspect identified
4d38929e47a1ab451122aa8aaa75bd58fa10dc334d4983aea72031dbd1e5a006,2012-07,Kent Police,Kent Police,0.321474,51.394271,On or near THE DRIVE,E01024160,Dartford 013D,Investigation complete; no suspect identified
89a3168a73de1ab18a792f5b98cb44153524671bce2b12490658c15fd28bae07,2012-07,Kent Police,Kent Police,0.373252,51.423379,On or near ELM ROAD,E01024305,Gravesham 011C,Investigation complete; no suspect identified
016988b0a20fb3dc36d74ba244c851df16960328267e29addcac381f239c3138,2012-07,Kent Police,Kent Police,0.668177,51.352504,On or near STATION ROAD,E01024571,Swale 008B,Investigation complete; no suspect identified
babb3fc44611a2aa1b3407331ef5198a191f92097e8369732950ec15143c3a2b,2012-07,Kent Police,Kent Police,0.733585,51.340643,On or near Supermarket,E01024608,Swale 010E,Investigation complete; no suspect identified
caf4c83edf43e654399abbda114ffdd3b7f083b10f3cf09acdadb6d54cbca021,2012-07,Kent Police,Kent Police,0.774118,51.387133,On or near Park/Open Space,E01024620,Swale 005D,Investigation complete; no suspect identified
bd42f189186f4a2628f4d427b124bd4f90edf814e0d6605522fd872aa989467b,2012-07,Kent Police,Kent Police,0.332625,51.430346,On or near Petrol Station,E01024280,Gravesham 006A,Investigation complete; no suspect identified
21d6f97d2de56e12e2f645041d23df39e6a120ceb2de4ae9b36d3487523c0f95,2012-07,Kent Police,Kent Police,0.375485,51.442849,On or near GORDON PLACE,E01024295,Gravesham 002E,Investigation complete; no suspect identified
124f55b84e220e30c396a59c9b291add11565d12a8adb393c8e785a6329e9614,2012-07,Kent Police,Kent Police,0.354936,51.443156,On or near CROSS ROAD,E01032800,Gravesham 002G,Investigation complete; no suspect identified
ab94a06c0c7bf6ac3213f8c85d2d955ac876bac5a66422b213dc8fee2bd24a18,2012-07,Kent Police,Kent Police,0.543877,51.378644,On or near WINDMILL ROAD,E01016048,Medway 016D,Investigation complete; no suspect identified
1a5068ee2296e055ae91c4da825a4bc20ccc8ab1a22bd12223e7c52b4d91957d,2012-07,Kent Police,Kent Police,0.572741,51.341598,On or near Supermarket,E01016052,Medway 035C,Investigation complete; no suspect identified
65f2765c2ce9271c6e696599356ca8135060bcbd9db261bb14566fc0962d04cc,2012-07,Kent Police,Kent Police,0.540773,51.335048,On or near ACHILLES ROAD,E01016055,Medway 038A,Investigation complete; no suspect identified
a5d645983597cd77321b8fa8bd905b0abc8d45a99b74281b8b42ef4652c5b532,2012-07,Kent Police,Kent Police,0.544315,51.370990,On or near FIRST AVENUE,E01016062,Medway 022D,Investigation complete; no suspect identified
6e38834ae3f14ef327f001be471868fe7f8476e15f7c6caf7a848760dbc41c97,2012-07,Kent Police,Kent Police,0.215503,51.438690,On or near LOWFIELD STREET,E01024167,Dartford 009C,Investigation complete; no suspect identified
d22a7a9f4517c705039e834454b03cea362e0e44b6132b146710453906eaf1dd,2012-07,Kent Police,Kent Police,0.355115,51.423430,On or near GRIEVES ROAD,E01024264,Gravesham 009A,Investigation complete; no suspect identified
6fb3ba321ea9643fa6b081c887151181dd7fc4d2551454fa907e2b4d3fe8eba0,2012-07,Kent Police,Kent Police,0.725473,51.342595,On or near Supermarket,E01024562,Swale 012B,Investigation complete; no suspect identified
f0cdd2d998ebdfd44a5df2c4dc29379f80368ef4ccdf511e0a2345f48d631330,2012-07,Kent Police,Kent Police,0.736943,51.339881,On or near HIGH STREET,E01024608,Swale 010E,Investigation complete; no suspect identified
0079aaabe2e106e26ef4f52af0908b503d0c388a5fbef749d31133f86f1d8293,2012-07,Kent Police,Kent Police,0.507957,51.380363,On or near Supermarket,E01016118,Medway 017D,Investigation complete; no suspect identified
9074243ab95f484fac24a64edae831917e355b5b0ad4f09a3eeb59c0e54cf714,2012-07,Kent Police,Kent Police,0.498448,51.408159,On or near LARKIN CLOSE,E01016148,Medway 004C,Investigation complete; no suspect identified
dad22d8830830a3de29c9652df55cea1c7028a936759bd30143f9cc0dcfb2ce5,2012-07,Kent Police,Kent Police,0.575147,51.380146,On or near A289,E01016159,Medway 019A,Investigation complete; no suspect identified
ff7fd2e94a51033b54fc6f69fee04c89d73b2b70a333e664f0ef69c56c93536b,2012-07,Kent Police,Kent Police,0.547443,51.394468,On or near EXMOUTH ROAD,E01016037,Medway 009C,Investigation complete; no suspect identified
d93d98f5e552f5c2e5cf136328bb6e99b40ddfdde2a5b03579545498396f54fe,2012-07,Kent Police,Kent Police,0.545050,51.386839,On or near Nightclub,E01016049,Medway 012D,Investigation complete; no suspect identified
67fd5911bf10acad54ba205512771db26aec892484744681556c7bcf7f4f97d3,2012-07,Kent Police,Kent Police,0.217780,51.439348,On or near Sports/Recreation Area,E01024167,Dartford 009C,Investigation complete; no suspect identified
4fcfe3cf2fbee8b38c75fff69b3e704fc4537e7fc3fe3db63f023d7969c83635,2012-07,Kent Police,Kent Police,0.543474,51.334818,On or near Parking Area,E01016056,Medway 038B,Investigation complete; no suspect identified
19d4581dd60f0660f36df1db8d831246f0d529c896d5c05b74efd136baf6fd11,2012-07,Kent Police,Kent Police,0.537849,51.376976,On or near THOROLD ROAD,E01016069,Medway 020D,Investigation complete; no suspect identified
266ead100557cd4a6340f9b4a7057b1aa8f8f1d724199c72c83a0cd31b11e8cf,2012-07,Kent Police,Kent Police,0.535081,51.379411,On or near CHELMAR ROAD,E01016111,Medway 015E,Investigation complete; no suspect identified
fc40f22995e5b4b826803ac1a8547aca77c66eee3eb4a55617f47b8df590aff5,2012-07,Kent Police,Kent Police,0.260890,51.442832,On or near HAYES ROAD,E01024171,Dartford 006C,Investigation complete; no suspect identified
a2b3520c5f543a21a1cd94fc1a5b62341b94051e3cf45d7c129c8679ea4c77d5,2012-07,Kent Police,Kent Police,0.370073,51.441169,On or near MANOR ROAD,E01024257,Gravesham 002A,Investigation complete; no suspect identified
af690edeef6369e8822118ea0ec6d89c2a1e11d6be2106696b2719f179226571,2012-07,Kent Police,Kent Police,0.736178,51.356915,On or near VECTIS DRIVE,E01024576,Swale 007B,Investigation complete; no suspect identified
4e61890fa19493238e01ade24f6ae1fa9153fcd3422ac7a98465b9569461f205,2012-07,Kent Police,Kent Police,0.491270,51.376888,On or near GODDINGS DRIVE,E01016132,Medway 024D,Investigation complete; no suspect identified
ab675530a01ffbf9fed620a50ecf5cabe7b664c347626a17363f1fd32c1a21f8,2012-07,Kent Police,Kent Police,0.499769,51.435525,On or near BATTLESMERE ROAD,E01016144,Medway 002B,Investigation complete; no suspect identified
02217b77db5d6dc3521d71e5ecf701649fd118680d5d26337b487fb3ed5e9bab,2012-07,Kent Police,Kent Police,0.335972,51.433068,On or near CAMDEN CLOSE,E01024280,Gravesham 006A,Investigation complete; no suspect identified
8fe1324d40edbbfa6d6fdfde41af07ae6efe212f0f4156e80c8811a0b7a06a72,2012-07,Kent Police,Kent Police,0.546124,51.336793,On or near ASCOT CLOSE,E01016055,Medway 038A,Investigation complete; no suspect identified
0024a896acc20c10e442eee87341eb2eea9dbe349f0b10142ffa81154e968938,2012-07,Kent Police,Kent Police,0.544657,51.372503,On or near AMBROSE HILL,E01016061,Medway 020A,Investigation complete; no suspect identified
4f9a0f6163db8d1a86f4723f1635293e1469b64105f06f7c08111c2512ed8820,2012-07,Kent Police,Kent Police,0.355572,51.433422,On or near SALISBURY ROAD,E01024284,Gravesham 004E,Investigation complete; no suspect identified
d3a2340f9c452a8c8accdf5938480712d9fb3019b1b9ae53ffc52f05ac880fd5,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
df48db33551bff42afbdd962f3dba5539c5f357768cc8c11ec767ea79d93ba73,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
15f6e9577d88edbb2ae1e3bba4c2ceb62a1ed9ce556a3b2f467a4067e1cdc0aa,2012-07,Kent Police,Kent Police,0.227977,51.451970,On or near HILLTOP GARDENS,E01024148,Dartford 001A,Investigation complete; no suspect identified
fc5cf1fffa5f1194c25fd134a11058760e12362eae16817a37c6b30b953018df,2012-07,Kent Police,Kent Police,0.264610,51.450539,On or near CHURCH HILL,E01024172,Dartford 006D,Investigation complete; no suspect identified
d4acd10203cbf1a527093dfee3b2a3b8905d52ea114e083e304ba054b7b99962,2012-07,Kent Police,Kent Police,0.310071,51.448123,On or near Supermarket,E01024179,Dartford 002D,Investigation complete; no suspect identified
7c685695e8c4a9678097f6680279b3af997524fdaafbe6a89c2f1cf57da17dcf,2012-07,Kent Police,Kent Police,0.377350,51.418359,On or near DUNKIRK CLOSE,E01024306,Gravesham 011D,Investigation complete; no suspect identified
bfa0bdbb98d553d60fe2d905ebf6b3a5ee372cc1e5a7cf295951858bc9022fc4,2012-07,Kent Police,Kent Police,0.660321,51.349049,On or near ORCHARD DRIVE,E01024570,Swale 008A,Investigation complete; no suspect identified
d84fc8224ee68e33c79112b0b53f323a6fb243ad6a1b6113c42c06f9524079da,2012-07,Kent Police,Kent Police,0.790848,51.419221,On or near DARLINGTON DRIVE,E01024619,Swale 004D,Investigation complete; no suspect identified
7faae964ab3ddd318d16c7a667b2156ba3d3cd5adea91a625c44f3867667f3e7,2012-07,Kent Police,Kent Police,0.875469,51.315073,On or near CRESS WAY,E01024627,Swale 014F,Investigation complete; no suspect identified
8fa25aab2d39bee246be73280bcd0e0462c22e841a0016da1db1e0d5a09584d4,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a56c4a02ffb81c33e736833171e3dd92ae613b993dac2232b9e43db14a2ab7a2,2012-07,Kent Police,Kent Police,0.537591,51.374644,On or near CASTLE ROAD,E01016063,Medway 020B,Investigation complete; no suspect identified
c51436ccd53c1ebd44494beb40d8c0f7feea9c7d4adebd24c1660d8463df5792,2012-07,Kent Police,Kent Police,0.652210,51.473319,On or near AVERY CLOSE,E01016070,Medway 001A,Investigation complete; no suspect identified
