Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd17d3bcde11f89d26ad7c01cf33135f0e4b84d77aa0a8351209aa1400a82034,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.198630,53.704489,On or near EARNSHAW ROW,E01025368,Rossendale 003B,Investigation complete; no suspect identified
cec07c0696140f6a05ba937bc1b4f62d92d6eefa99f280d98e820ab97a39fab6,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.204136,53.696525,On or near LODGE LANE,E01025370,Rossendale 010F,Investigation complete; no suspect identified
10f97ba1de55d2ad1afe5c08bf1bb192d85c275b6e23a2eab74e400eb63acb91,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.204136,53.696525,On or near LODGE LANE,E01025370,Rossendale 010F,Investigation complete; no suspect identified
a45fbef13fac91fe533a00045bff6f85b43413af8f6114a9e745f99d0935e523,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.284663,53.703291,On or near BANK STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
5602b16009c0b859961f383066cc5c959a522349b1e564ab376b3db2c8d51ad3,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.189318,53.705448,On or near GREAVE CLOUGH DRIVE,E01025381,Rossendale 003D,Investigation complete; no suspect identified
adb51ffe8d547d34fd7cbde91cdb4b6e4f8451bd38a12cd554667bc611b4c68a,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.195331,53.698751,On or near METTLE COTE,E01025382,Rossendale 003E,Investigation complete; no suspect identified
31dc715bfdbce476d58a71ff795c4f060e6898c06fc3712b7d4fadc1b89bdbb7,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.216480,53.690787,On or near BRUNSWICK TERRACE,E01025389,Rossendale 010H,Investigation complete; no suspect identified
596e1fa53230e7e81f25e97a35a0e7e62ed40694334b3fda8577f0eb1ff7d928,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.215165,53.694313,On or near OSBORNE TERRACE,E01025389,Rossendale 010H,Investigation complete; no suspect identified
83c4e5a453f2550bb1dfb135228f24c8c3c28ef180d5265ef731f9269af8e884,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.236372,53.821975,On or near SACKVILLE STREET,E01025186,Pendle 013B,Investigation complete; no suspect identified
d074cfe394760010a85586455bc2bd2458dc18a940969ae62bccb6180cda8ce8,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.235130,53.822552,On or near ROSS STREET,E01025186,Pendle 013B,Investigation complete; no suspect identified
ff30dc9b410996b3d6b802ccf86d67aba712eee84678ab7f325273289efdd4e4,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.214494,53.827193,On or near JENNY STREET,E01025187,Pendle 012A,Investigation complete; no suspect identified
412da37b0d778452db6aa3e1d83dcc3a2369425978d1edc0266b4ab63e48cfc8,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.249889,53.847042,On or near NOGGARTH ROAD,E01025204,Pendle 008E,Investigation complete; no suspect identified
18e2bdcde35ecdc1e8abb4d14703f52370a9a1dd7fd1529c9c15ff0ed70c74ef,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.232567,53.815115,On or near Sports/Recreation Area,E01025213,Pendle 013D,Investigation complete; no suspect identified
a17114b9e2a6b0627da90b0856ad1c248c67c34ab165202c127eca690518c54a,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.220002,53.817125,On or near BOWLAND VIEW,E01025214,Pendle 013E,Investigation complete; no suspect identified
89ca3aba4a4131b1ffc48f2790396e2f2711ad63f3d6d5aedbe3f1284d7b6108,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.233540,53.823409,On or near CRAVEN STREET,E01025215,Pendle 013F,Investigation complete; no suspect identified
