Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bc08eed7b3d9fdae7eaf69c79a1877612dd82662ff7b1805f1ff336b53ed69ab,2012-05,Northamptonshire Police,Northamptonshire Police,-0.886053,52.095008,On or near BROWNSFIELD ROAD,E01027284,South Northamptonshire 003D,Investigation complete; no suspect identified
ad35e350441747163fa7239032b2c8101ce5e085f3611ed363995037434d11b2,2012-05,Northamptonshire Police,Northamptonshire Police,-0.695781,52.287648,On or near JOHN LEA WAY,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
598dfd989b50ba9eec47d11ffc3a790f2cd72eda556db148b3b32499a694d658,2012-05,Northamptonshire Police,Northamptonshire Police,-0.675700,52.220083,On or near HEWLETT'S CLOSE,E01027348,Wellingborough 010D,Investigation complete; no suspect identified
0e09be689a3d2b0aae12622f3c0054361a7ed5610aedd48e5a947a1a79a3b159,2012-05,Northamptonshire Police,Northamptonshire Police,-0.585355,52.292159,On or near SLATERS CLOSE,E01027058,East Northamptonshire 009A,Investigation complete; no suspect identified
212f4fb627b4105275f1e3df29e70d350b9fe718214f7c0886ff733f50a458ee,2012-05,Northamptonshire Police,Northamptonshire Police,-0.610596,52.281184,On or near FARNHAM DRIVE,E01027071,East Northamptonshire 010E,Investigation complete; no suspect identified
0e6bc274d83e40837e66eb2af5aae993fe9738a28a9cb06847a0de86e4598d48,2012-05,Northamptonshire Police,Northamptonshire Police,-0.728806,52.414301,On or near COTSWOLD AVENUE,E01027089,Kettering 004E,Investigation complete; no suspect identified
f6f24c2044cd918b73d8377bb163d99fee9eb307a35ec5974374860f6997f619,2012-05,Northamptonshire Police,Northamptonshire Police,-0.726515,52.394794,On or near BOWLING GREEN AVENUE,E01027113,Kettering 007C,Investigation complete; no suspect identified
00dd602fa6935835e2528fbb53d35565ebfb8ba79d04d04c140b6a57b0cb8370,2012-05,Northamptonshire Police,Northamptonshire Police,-0.814698,52.249702,On or near GALLFIELD COURT,E01027140,Northampton 011A,Investigation complete; no suspect identified
00dceef8f1c828425c39bb0c578e78275e4b327d0766af8f1f9b516c08918366,2012-05,Northamptonshire Police,Northamptonshire Police,-0.894302,52.237725,On or near DYCHURCH LANE,E01027223,Northampton 025A,Investigation complete; no suspect identified
e1273bea324a716585df88b7c011d7ea3070399baf7220a372134e46da53d1a7,2012-05,Northamptonshire Police,Northamptonshire Police,-0.797302,52.221816,On or near CHURCH LANE,E01027273,South Northamptonshire 002A,Investigation complete; no suspect identified
8f8758b2b25fee4289aaaa10c71d48e306b279d93b607bdd02e10c54c0c07863,2012-05,Northamptonshire Police,Northamptonshire Police,-0.683867,52.302774,On or near RANELAGH ROAD,E01027314,Wellingborough 004B,Investigation complete; no suspect identified
d0acc51427b7dca6b78af0df45b0e06303ff0f2c107e2fe73832a831dcf2525f,2012-05,Northamptonshire Police,Northamptonshire Police,-0.722901,52.314261,On or near CHEPSTOW DRIVE,E01027346,Wellingborough 003D,Investigation complete; no suspect identified
14ee47936bf35660504eb8f50f0e93c5391b84578ee0a413bf76593c5b0ca21f,2012-05,Northamptonshire Police,Northamptonshire Police,-0.691588,52.301061,On or near Shopping Area,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
537ec67a6a10be88b730fda1b1f5432d86a2c25e159fe80ef846ecc8eefb0567,2012-05,Northamptonshire Police,Northamptonshire Police,-0.598077,52.305797,On or near GARDENFIELD,E01033245,East Northamptonshire 007F,Investigation complete; no suspect identified
32a98edc7fda1e9000455498064cc066ddea0f6cebae1f7ff4c40b7af9d03110,2012-05,Northamptonshire Police,Northamptonshire Police,-0.686297,52.496451,On or near GILCHRIST AVENUE,E01026958,Corby 003B,Investigation complete; no suspect identified
322f5a4012d6587ba3769cb7dc2beb984bde587ed0f7829275075dd268c12295,2012-05,Northamptonshire Police,Northamptonshire Police,-1.161741,52.256964,On or near Parking Area,E01026992,Daventry 007D,Investigation complete; no suspect identified
49507fbd6529741295945e170f9aa7ef1be58214237b4bb1b453f2c019b37ecd,2012-05,Northamptonshire Police,Northamptonshire Police,-0.592131,52.287025,On or near ESSEX ROAD,E01027059,East Northamptonshire 009B,Investigation complete; no suspect identified
8692fd546203e7a3852bfbb3054df16660a55dced241ba0745512a2566ad7eac,2012-05,Northamptonshire Police,Northamptonshire Police,-0.697785,52.391226,On or near GLENEAGLES CLOSE,E01027098,Kettering 008C,Investigation complete; no suspect identified
d51f6b1e039fce97c3427e50aec958f8e7e73c886a452d288ede47df7690e92b,2012-05,Northamptonshire Police,Northamptonshire Police,-0.718581,52.401316,On or near FORD STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
500e8c861c93d7d3b8db58d541674c222fd5de7d80591e4ab498d6fd5d29ccec,2012-05,Northamptonshire Police,Northamptonshire Police,-0.892569,52.270894,On or near WHITTLEBURY CLOSE,E01027145,Northampton 001A,Investigation complete; no suspect identified
ca2a420238b45aa1483fda3103a156a6fbc51b367e2ad4319992d252eecad0e5,2012-05,Northamptonshire Police,Northamptonshire Police,-0.874060,52.252342,On or near OAKWOOD ROAD,E01027186,Northampton 013B,Investigation complete; no suspect identified
9075ff0d288393a13d2381c74c886fb7ec61459c63bd38a30ff8620f1f58b2f6,2012-05,Northamptonshire Police,Northamptonshire Police,-0.895365,52.259223,On or near ST DAVID'S ROAD,E01027229,Northampton 009B,Investigation complete; no suspect identified
7f862f8a995070036dc2239205fb9feaa5a9b8a427c536f827adaa6cd9d0d64e,2012-05,Northamptonshire Police,Northamptonshire Police,-0.701691,52.321195,On or near OAK VIEW,E01027333,Wellingborough 002D,Investigation complete; no suspect identified
79434445ed6c438ff061a53c0e848938db9be238222dc80d22d7f449df83b7c0,2012-05,Northamptonshire Police,Northamptonshire Police,-0.720385,52.313505,On or near VARDON CLOSE,E01027347,Wellingborough 003E,Investigation complete; no suspect identified
e82bf46fefde258049ed3f55c6f0392ac515eb4ce0e3b767f9255421c95c9529,2012-05,Northamptonshire Police,Northamptonshire Police,-0.898287,52.237655,On or near COLLEGE STREET,E01032979,Northampton 021F,Investigation complete; no suspect identified
87c321899181751f4bf03e221dc218bfdfdfcbaa871c2145d8998454f579fbc8,2012-05,Northamptonshire Police,Northamptonshire Police,-1.078715,52.233680,On or near Shopping Area,E01027025,Daventry 009D,Investigation complete; no suspect identified
5f202b895c072c17d0e96efc3bab1160832c9895355292786c1ce59a66cde7bc,2012-05,Northamptonshire Police,Northamptonshire Police,-0.590552,52.291483,On or near CROMWELL ROAD,E01027059,East Northamptonshire 009B,Investigation complete; no suspect identified
8c82ad34670d07fe97cefa6ac8e05bb4944e75a3e1bad4d8c6f82be349a276ed,2012-05,Northamptonshire Police,Northamptonshire Police,-0.675000,52.362994,On or near BARLEY DRIVE,E01027101,Kettering 011C,Investigation complete; no suspect identified
f298b8b520dd9dd7a7522a9fcdbfdee7b932f4e23dbc0a630c4ac39c2a35acc6,2012-05,Northamptonshire Police,Northamptonshire Police,-0.720533,52.405985,On or near NELSON STREET,E01027106,Kettering 006B,Investigation complete; no suspect identified
09ba3b7d80bc31e2d7acd4e1e39c631b3d3ea512f5133575edcde6e0ad3326a4,2012-05,Northamptonshire Police,Northamptonshire Police,-0.808428,52.271576,On or near CROWTHORP ROAD,E01027178,Northampton 005C,Investigation complete; no suspect identified
cdea17e4dbdb1139540630e905eaee6c771f8d73864b22a9fea99b22c78b4de0,2012-05,Northamptonshire Police,Northamptonshire Police,-0.886687,52.237132,On or near Hospital,E01027223,Northampton 025A,Investigation complete; no suspect identified
c865964777db195d6f5f40869ab4d9f00a8996bfa3f411b49976a4eb0902a7e3,2012-05,Northamptonshire Police,Northamptonshire Police,-0.921389,52.228868,On or near KNAPHILL CRESCENT,E01027233,Northampton 026A,Investigation complete; no suspect identified
