Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9766a8773050e12f630cdaa71342faff78da5f1e70b7001c0857031b459cd9b3,2013-05,Dorset Police,Dorset Police,-1.774661,50.733913,On or near CASTLE STREET,E01020367,Christchurch 006D,Investigation complete; no suspect identified
40a468b6367ac6aba22bb767d8406f574ab2a6284764868dc74a7e22c84a168a,2013-05,Dorset Police,Dorset Police,-2.496400,50.930118,On or near A3030,E01020508,West Dorset 002B,Investigation complete; no suspect identified
b5b570a0abd8f207e186b9a5fba366c9d99876af1b9bde186c1766ab6cb606bc,2013-05,Dorset Police,Dorset Police,-2.029566,50.761311,On or near AMBER ROAD,E01020388,East Dorset 012G,Investigation complete; no suspect identified
187436bb3537b42b6b13fc7751b3b3d22b6c669db05e5f9db0deff1986a1f37c,2013-05,Dorset Police,Dorset Police,-1.753710,50.730067,On or near MINTERNE ROAD,E01020362,Christchurch 007D,Investigation complete; no suspect identified
1ce16f207656cfca2080e45996428b184e2fe8a1f483f68129c1e842df44dbe9,2013-05,Dorset Police,Dorset Police,-1.845904,50.829863,On or near OAKS DRIVE,E01020406,East Dorset 004D,Investigation complete; no suspect identified
392460c87741a2a4adda379a252bcab529580506c58d162d0d7820f7ff46bc1d,2013-05,Dorset Police,Dorset Police,-1.984127,50.797824,On or near Shopping Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
dafa5d922e18ebabff13bc1c7c4eeb97bed03411394ca934867cd3e67a43943a,2013-05,Dorset Police,Dorset Police,-2.155897,50.864580,On or near SALISBURY ROAD,E01020439,North Dorset 007E,Investigation complete; no suspect identified
072fc11030efc9df289c5d9a1d25392b31d2ff9f2c01c01e72f230517d3eee64,2013-05,Dorset Police,Dorset Police,-2.104401,50.914671,On or near SCHOOL CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
3f1dcdaa8d157ed3a30e4dd79a4168228d6d5a5c074e35a08b1d706103a862a9,2013-05,Dorset Police,Dorset Police,-2.253512,50.619889,On or near Parking Area,E01020489,Purbeck 004A,Investigation complete; no suspect identified
b4d598eaa67165dbf7e68425972a0fab923b24d20e3966daa43d6f090ff6d3b0,2013-05,Dorset Police,Dorset Police,-2.387224,50.677021,On or near THE SPINNEY,E01020505,West Dorset 011A,Investigation complete; no suspect identified
06f3c410ca841049506d3ee777c6716dd3dd81968b2d92cca1002a6009547f8a,2013-05,Dorset Police,Dorset Police,-2.483868,50.611786,On or near WINCHESTER CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
fc6bb98c36fda02b603cf4494d48290ff0e96c0aa5adc1f679078246e92bdb2c,2013-05,Dorset Police,Dorset Police,-2.454726,50.613351,On or near TURTON STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
a4e126d61d3e44165bca232bffa4823ce4368320e58335866ca385ded66e3076,2013-05,Dorset Police,Dorset Police,-2.516402,50.948942,On or near CHEAP STREET,E01020546,West Dorset 001E,Investigation complete; no suspect identified
e34094af39af6a49cb5aa0470fa49b6da58df940dee26a41204a20e29e517083,2013-05,Dorset Police,Dorset Police,-1.785946,50.738907,On or near CLARENDON ROAD,E01020360,Christchurch 006A,Investigation complete; no suspect identified
f80505a7986f2cacbfa3ef7860faaba8d75a68dc12e94a6ef2fddaeb69c4d4d5,2013-05,Dorset Police,Dorset Police,-2.015279,50.773481,On or near PYE CLOSE,E01020384,East Dorset 012C,Investigation complete; no suspect identified
6a95f371f3419fe45450f902bfb423e9d6cb7836b2815f4d16a66cb8bee1778e,2013-05,Dorset Police,Dorset Police,-1.875444,50.811661,On or near Supermarket,E01020390,East Dorset 008A,Investigation complete; no suspect identified
813217719d2c62405c5d1e63067b8afc2f268345f19a86346b544929b10faf54,2013-05,Dorset Police,Dorset Police,-2.276377,51.041613,On or near Supermarket,E01020443,North Dorset 001A,Investigation complete; no suspect identified
8cfcf5fe015794f1a4bcb2f958ab8bf0fc222f1bfac7cddcdb5fac27fb306e77,2013-05,Dorset Police,Dorset Police,-2.319320,50.972470,On or near BURTON STREET,E01020449,North Dorset 004C,Investigation complete; no suspect identified
8f06d19738760413b6ae551b4f49337cd41aa260a5960ffa65508c35db3f107c,2013-05,Dorset Police,Dorset Police,-2.082002,50.715640,On or near STATION ROAD,E01020476,Purbeck 003A,Investigation complete; no suspect identified
4dcba1b7ebb22e4e98d1f7da4c9f1cb1eeae0f925b19d80c02884f75d8d51aad,2013-05,Dorset Police,Dorset Police,-2.113547,50.698302,On or near STOUR DRIVE,E01020487,Purbeck 003E,Investigation complete; no suspect identified
b83d439b2d1bdc15a231473557b1c34313b48d0156f35bd65cf4c0370ed032cc,2013-05,Dorset Police,Dorset Police,-2.427409,50.704048,On or near HOLBAEK CLOSE,E01020519,West Dorset 010B,Investigation complete; no suspect identified
2bb0789d2ef15fdac1e10dc20e65395997520a20ceb64edd954718d309e6940d,2013-05,Dorset Police,Dorset Police,-2.451553,50.645054,On or near GLADSTONE CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
a029d8f6530268fe310933b2d9510ceac3511b751c0d762ed08a1de5f7cc0474,2013-05,Dorset Police,Dorset Police,-2.465786,50.634153,On or near Pedestrian Subway,E01020580,Weymouth and Portland 003E,Investigation complete; no suspect identified
a4e1cc65c0479539d0a357d8e903f561ec4aabf363e787be1fb06e7e91497dab,2013-05,Dorset Police,Dorset Police,-1.784805,50.737269,On or near ARTHUR LANE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
4ae60a60002bbf70c2ff435c74f95d2cf00f1cd711b1195bbc4980aa87167d3d,2013-05,Dorset Police,Dorset Police,-2.466120,50.604978,On or near EVEREST ROAD,E01020584,Weymouth and Portland 006B,Investigation complete; no suspect identified
689b08f1aba82e5f8514311ecbca7d0d4f1a6f554247cc911baba4d5909dcb5a,2013-05,Dorset Police,Dorset Police,-2.010782,50.767762,On or near HIGHFIELD ROAD,E01015400,Poole 003F,Investigation complete; no suspect identified
80bf8afd8eb9edf97f165e71cef3f728b4d943dc1bb2919d94cc58395ea21cdd,2013-05,Dorset Police,Dorset Police,-1.875444,50.811661,On or near Supermarket,E01020390,East Dorset 008A,Investigation complete; no suspect identified
6458bde135dcd575d99874c40dc6e84eb779c5363146f5866a2c31c44c527d37,2013-05,Dorset Police,Dorset Police,-2.267378,50.816232,On or near Sports/Recreation Area,E01020431,North Dorset 008B,Investigation complete; no suspect identified
f0db06290d3f5d8b0a964d25a17d069cf0b3d0878f693ea18056c36cabe62d3f,2013-05,Dorset Police,Dorset Police,-2.219224,50.887831,On or near Parking Area,E01020444,North Dorset 005A,Investigation complete; no suspect identified
81a40564eee4283e066fddec50e42578321c340dc2ee95fd08914243bc8fd1fb,2013-05,Dorset Police,Dorset Police,-2.047078,50.593978,On or near BONVILS ROAD,E01020468,Purbeck 005C,Investigation complete; no suspect identified
761adc3d150ec82017aecc139227ecd089d75850edd0032399ee6448ce34d0b4,2013-05,Dorset Police,Dorset Police,-2.072413,50.716060,On or near HOLTON ROAD,E01020476,Purbeck 003A,Investigation complete; no suspect identified
013bb0f49a7d8ee479f1fc3f4edabfb3be68bad697cd150a79736353a8c89c3d,2013-05,Dorset Police,Dorset Police,-2.108774,50.685699,On or near Supermarket,E01020485,Purbeck 003C,Investigation complete; no suspect identified
b9124c5e9f943586ba286f32c49e33d736bf85306997a974562468aef5a1795c,2013-05,Dorset Police,Dorset Police,-2.457475,50.752297,On or near CHESTNUT ROAD,E01020510,West Dorset 004B,Investigation complete; no suspect identified
0e252f5f79e890f9d1b57ec772324101c16cac416f510af0d1fac5ae7d46a866,2013-05,Dorset Police,Dorset Police,-2.454429,50.620636,On or near KIRTLETON AVENUE,E01020556,Weymouth and Portland 004D,Investigation complete; no suspect identified
39230a31e4ef3f98085b4df924a8b13351ba4d2469e7575b42c91ef7b8de2ca4,2013-05,Dorset Police,Dorset Police,-2.459705,50.605103,On or near RODWELL STREET,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
8a9ea13beabe3495aa58fad76927293806129035d961fc55f9ee9bfbe4f095e8,2013-05,Dorset Police,Dorset Police,-2.516046,50.946372,On or near HALF MOON STREET,E01020546,West Dorset 001E,Investigation complete; no suspect identified
d685696b08b2ba1db6e61a916083acecef3bd63428a58c07bc361dc6de90a220,2013-05,Dorset Police,Dorset Police,-1.849883,50.784438,On or near COMMERCIAL ROAD,E01020365,Christchurch 001D,Investigation complete; no suspect identified
b75696fa9e0bd9b19052fd4d595ae393b69ec47ff928617a98d7f724fd9a4be2,2013-05,Dorset Police,Dorset Police,-2.165039,50.850017,On or near CHETTELL WAY,E01020452,North Dorset 006B,Investigation complete; no suspect identified
e4d7c757e8b6bcff7edd6ad48347b55de61d491e4d9fc540238089abd8e3cff8,2013-05,Dorset Police,Dorset Police,-2.181999,50.827835,On or near Parking Area,E01020453,North Dorset 006C,Investigation complete; no suspect identified
